מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 36,סוף מידע
1328,2196.0,"בנק הפועלים בע""מ",520000118,ח.פ.,פועליםאגח 204,IL0012274531,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,Aaa,מידרוג Moodys,נייר ערך,ILS,4.99,2035-08-21,0.0261,0.0257,החוב לא נחות,,658.32,1.0,101.11,0.0,0.6656273520000001,,,שווי הוגן,1.925304096e-09,0.001135,5.7e-05,,
1328,2196.0,"מזרחי טפחות חברה להנפקות בע""מ",520032046,ח.פ.,מזרחי הנפקות 46,IL0023102259,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,AAA,S&P מעלות,נייר ערך,ILS,1.98,2027-09-28,0.0122,0.0258,החוב לא נחות,,29596.81,1.0,116.7,0.0,34.539477270000006,,,שווי הוגן,9.8145285268e-08,0.058939,0.002972,,
1328,2196.0,"מזרחי טפחות חברה להנפקות בע""מ",520032046,ח.פ.,מזרחי הנפקות 49,IL0023102820,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,AAA,S&P מעלות,נייר ערך,ILS,0.73,2026-06-23,0.0038,0.0322,החוב לא נחות,,14227.29,1.0,114.65,0.0,16.311587985000003,,,שווי הוגן,4.74243e-08,0.027834,0.001403,,
1328,2196.0,"מזרחי טפחות חברה להנפקות בע""מ",520032046,ח.פ.,מזרחי טפ הנפ אגח61,IL0023104644,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,Aaa,מידרוג Moodys,נייר ערך,ILS,1.17,2026-12-04,0.005,0.029,החוב לא נחות,,7855.77,1.0,114.73,0.0,9.012924921,,,שווי הוגן,1.02926579319e-07,0.015379,0.000775,,
1328,2196.0,"חברת החשמל לישראל בע""מ",520000472,ח.פ.,חשמל אגח 29,IL0060002362,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,Aaa,מידרוג Moodys,נייר ערך,ILS,0.41,2026-03-01,0.045,0.0528,החוב לא נחות,,2523.13,1.0,120.41,0.0,3.038100833,,,שווי הוגן,1.7073530826e-08,0.005184,0.000261,,
1328,2196.0,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,לאומי אגח 179,IL0060403727,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,AAA,S&P מעלות,נייר ערך,ILS,0.75,2026-06-30,0.0083,0.0321,החוב לא נחות,,3159.12,1.0,116.83,0.0,3.6907998959999997,,,שווי הוגן,2.0770729834e-08,0.006298,0.000317,,
1328,2196.0,"חברת השקעות דיסקונט בע""מ",520023896,ח.פ.,דיסק השק אגח ו,IL0063902071,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,BBB,S&P מעלות,נייר ערך,ILS,0.25,2025-12-31,0.0495,0.0635,החוב לא נחות,,2031.85,1.0,148.12,0.0,3.00957622,,,שווי הוגן,1.10755020877e-07,0.005135,0.000259,,
1328,2196.0,"צור שמיר אחזקות בע""מ",520025586,ח.פ.,צור אגח י,IL0073001716,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,NR,NR,NR,ILS,2.18,2028-06-30,0.037,0.0387,החוב לא נחות,,5516.6,1.0,119.38,0.0,6.585717079999999,,,שווי הוגן,1.2525207616e-07,0.011238,0.000566,,
1328,2196.0,GRAND CITY PROPERTIES SA,5299002QLUYKK2WBMB18,LEI,GYCGR 1 1/2 PERP,XS2271225281,ISIN,"צמוד למט""ח","חו""ל",גרמניה,סחיר,אחר,Real Estate Management & Development,לא,BB+,S&P,נייר ערך,EUR,0.4,2026-03-09,0.015,0.0657,החוב נחות,,2029.51,3.8807,98.4376,0.0,7.752866091403832,,,שווי הוגן,2.8993e-08,0.013229,0.000667,,
1328,2196.0,CITIGROUP INC,6SHGI4ZSSLCXXQSBB395,LEI,C Float 08/25/36,US172967DS78,ISIN,"צמוד למט""ח","חו""ל","ארה""ב",סחיר,אחר,Banks,לא,Baa2,Moodys,נייר ערך,USD,0.12,2025-11-25,0.05007,0.0577,החוב נחות,,874.21,3.306,92.4384,0.0,2.6715975653318402,,,שווי הוגן,1.6651619047e-08,0.004558,0.000229,,
1328,2196.0,PETROLEOS MEXICANOS,549300CAZKPF4HKMPX17,LEI,PEMEX 5.95 01/28/31,US71654QDE98,ISIN,"צמוד למט""ח","חו""ל",מקסיקו,חסום,אחר,"Oil, Gas & Consumable Fuels",לא,B1,Moodys,נייר ערך,USD,4.42,2031-01-28,0.0595,0.066,החוב לא נחות,,3230.99,3.306,86.6892,0.0,9.259839480462478,,,שווי הוגן,8.553518959e-09,0.015801,0.000796,,
1328,2196.0,SABRA HEALTH/CAPTL CORP,549300OVKLRFSIQG0H81,LEI,SBRA 3.9 10/15/29,US78572XAG60,ISIN,"צמוד למט""ח","חו""ל","ארה""ב",סחיר,אחר,Health Care Equipment & Supplies,לא,Baa3,Moodys,נייר ערך,USD,3.6,2029-10-15,0.039,0.0469,החוב לא נחות,,2973.37,3.306,98.8035,0.0,9.7123457340027,,,שווי הוגן,8.4953428571e-08,0.016573,0.000835,,
1328,2196.0,PETROLEOS MEXICANOS,549300CAZKPF4HKMPX17,LEI,PEMEX 6.84 01/23/30,US71654QDC33,ISIN,"צמוד למט""ח","חו""ל",מקסיקו,חסום,אחר,"Oil, Gas & Consumable Fuels",לא,B1,Moodys,נייר ערך,USD,3.45,2030-01-23,0.0684,0.0626,החוב לא נחות,,4985.51,3.306,101.655,0.0,16.754874749793,,,שווי הוגן,2.1255294094e-08,0.028591,0.001441,,
1328,2196.0,PETROLEOS MEXICANOS,549300CAZKPF4HKMPX17,LEI,PEMEX 4.75 02/26/29,XS1824424706,ISIN,"צמוד למט""ח","חו""ל",מקסיקו,סחיר,אחר,"Oil, Gas & Consumable Fuels",לא,B1,Moodys,נייר ערך,EUR,2.99,2029-02-26,0.0475,0.0443,החוב לא נחות,,3925.84,3.8807,103.4274,0.0,15.757171927788914,,,שווי הוגן,3.140672e-08,0.026888,0.001356,,
1328,2196.0,EMPRESA ELECTRICA COCHRA,5493000S11JF8TJHYT07,LEI,AES 5 1/2 05/14/27,USP3713CAB48,ISIN,"צמוד למט""ח","חו""ל",צילה,סחיר,אחר,Electric Utilities,לא,Ba1,Moodys,נייר ערך,USD,0.78,2027-05-14,0.055,0.0629,החוב לא נחות,,2181.52,3.306,101.5777,0.0,7.32589050247824,,,שווי הוגן,1.63496691124e-07,0.012501,0.00063,,
1328,2196.0,PETROLEOS MEXICANOS,549300CAZKPF4HKMPX17,LEI,PEMEX 4.5 01/23/26,US71654QBW15,ISIN,"צמוד למט""ח","חו""ל",מקסיקו,סחיר,אחר,"Oil, Gas & Consumable Fuels",לא,B1,Moodys,נייר ערך,USD,0.07,2026-01-23,0.045,0.0891,החוב לא נחות,,5337.37,3.306,100.2854,0.0,17.695705035257877,,,שווי הוגן,1.23956533452e-07,0.030196,0.001522,,
1328,2196.0,BLUE OWL CREDIT INCOME,5493003I42XBWPE05N35,LEI,OCINCC 7.95 06/13/28,US69120VBB62,ISIN,"צמוד למט""ח","חו""ל","ארה""ב",חסום,אחר,Financial Services,לא,Baa3,Moodys,נייר ערך,USD,2.29,2028-06-13,0.0795,0.0494,החוב לא נחות,,4693.26,3.306,109.7128,0.0,17.022947600767683,,,שווי הוגן,7.2204e-08,0.029048,0.001465,,
1328,2196.0,APOLLO DEBT SOLUTIONS BD,549300UMUGX092P8DW87,LEI,APODS 6.7 07/29/31,US03770DAD57,ISIN,"צמוד למט""ח","חו""ל","ארה""ב",סחיר,אחר,Financial Services,לא,BBB-,S&P,נייר ערך,USD,4.64,2031-07-29,0.067,0.0537,החוב לא נחות,,1902.67,3.306,107.107,0.0,6.7372734543114,,,שווי הוגן,1.9131810165e-08,0.011496,0.000579,,
1328,2196.0,BLUE OWL CREDIT INCOME,5493003I42XBWPE05N35,LEI,OCINCC 7.95 06/13/28,US69120VBB62,ISIN,"צמוד למט""ח","חו""ל","ארה""ב",סחיר,אחר,Financial Services,לא,Baa3,Moodys,נייר ערך,USD,2.29,2028-06-13,0.0795,0.0494,החוב לא נחות,,887.91,3.306,109.6177,0.0,3.21775135535142,,,שווי הוגן,1.3660153846e-08,0.00549,0.000276,,
1328,2196.0,BLACKSTONE SECURED LEND,549300KM7KWQHVBNH962,LEI,BXSL 3.625 01/15/26,US09261LAC28,ISIN,"צמוד למט""ח","חו""ל","ארה""ב",סחיר,אחר,Financial Services,לא,BBB-,S&P,נייר ערך,USD,0.27,2026-01-15,0.03625,0.0439,החוב לא נחות,,3424.81,3.306,100.5095,0.0,11.380109599376702,,,שווי הוגן,4.2935173693e-08,0.019419,0.000979,,
1328,2196.0,BLUE OWL CAPITAL CORP,2549000BD79OOCPF2L94,LEI,OBDC 4.25 01/15/26,US69121KAD63,ISIN,"צמוד למט""ח","חו""ל","ארה""ב",סחיר,אחר,Financial Services,לא,Baa3,Moodys,נייר ערך,USD,0.27,2026-01-15,0.0425,0.0457,החוב לא נחות,,1648.98,3.306,100.7974,0.0,5.494998363315121,,,שווי הוגן,3.29796e-08,0.009376,0.000472,,
1328,2196.0,FS KKR CAPITAL CORP,549300TYRSI1T21B1360,LEI,FSK 6 ⅛ 01/15/31,US302635AQ03,ISIN,"צמוד למט""ח","חו""ל","ארה""ב",סחיר,אחר,Financial Services,לא,Baa3,Moodys,נייר ערך,USD,4.43,2031-01-15,0.06125,0.0626,החוב לא נחות,,3171.12,3.306,99.0038,0.0,10.37928387426336,,,שווי הוגן,7.9278e-08,0.017711,0.000893,,
1328,2196.0,PETROLEOS MEXICANOS,549300CAZKPF4HKMPX17,LEI,PEMEX 6.84 01/23/30,US71654QDC33,ISIN,"צמוד למט""ח","חו""ל",מקסיקו,סחיר,אחר,"Oil, Gas & Consumable Fuels",לא,B1,Moodys,נייר ערך,USD,3.45,2030-01-23,0.0684,0.0626,החוב לא נחות,,607.2,3.306,102.9423,0.0,2.0664670243536003,,,שווי הוגן,2.588745098e-09,0.003526,0.000177,,
1328,2196.0,PETROLEOS MEXICANOS,549300CAZKPF4HKMPX17,LEI,PEMEX 5.95 01/28/31,US71654QDE98,ISIN,"צמוד למט""ח","חו""ל",מקסיקו,סחיר,אחר,"Oil, Gas & Consumable Fuels",לא,B1,Moodys,נייר ערך,USD,4.42,2031-01-28,0.0595,0.066,החוב לא נחות,,450.42,3.306,97.584,0.0,1.4531121413568,,,שווי הוגן,1.192413473e-09,0.002479,0.000125,,
1328,2196.0,STANLEY BLACK & DECKER I,549300DJ09SMTO561131,LEI,SWK 6.707 03/15/60,US854502AM31,ISIN,"צמוד למט""ח","חו""ל","ארה""ב",סחיר,אחר,Machinery,לא,Ba1,Moodys,נייר ערך,USD,3.77,2030-03-15,0.06707,0.0655,החוב נחות,,469.83,3.306,100.3108,0.0,1.5580855058018397,,,שווי הוגן,6.2644e-09,0.002658,0.000134,,
1328,2196.0,GRAND CITY PROP FINANCE,OML71K8X303XQONU6T67,LEI,GYCGR 6 1/8 PERP,XS2799494633,ISIN,"צמוד למט""ח","חו""ל",גרמניה,סחיר,אחר,Real Estate Management & Development,לא,BB+,S&P,נייר ערך,EUR,3.61,2030-04-16,0.06125,0.05,החוב נחות,,4312.72,3.8807,107.0823,0.0,17.921692613850794,,,שווי הוגן,9.9897848802e-08,0.030582,0.001542,,
1328,2196.0,GOLDMAN SACHS BDC INC,6D01AGSGBNZIJSN77043,LEI,GSBD 5.65 09/09/30,US38147UAF49,ISIN,"צמוד למט""ח","חו""ל",גלובלי,סחיר,אחר,Financial Services,לא,Baa3,Moodys,נייר ערך,USD,4.17,2030-09-09,0.0565,0.0544,החוב לא נחות,,3171.12,3.306,101.0179,0.0,10.590436533566878,,,שווי הוגן,7.9278e-08,0.018071,0.000911,,
1328,9757.0,"מזרחי טפחות חברה להנפקות בע""מ",520032046,ח.פ.,מזרחי טפ הנפ אגח61,IL0023104644,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,Aaa,מידרוג Moodys,נייר ערך,ILS,1.17,2026-12-04,0.005,0.029,החוב לא נחות,,2512543.79,1.0,114.73,0.0,2882.6414902670003,,,שווי הוגן,3.2919438539353e-05,0.013324,0.00015,,
1328,9757.0,"חברת החשמל לישראל בע""מ",520000472,ח.פ.,חשמל אגח 29,IL0060002362,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,Aaa,מידרוג Moodys,נייר ערך,ILS,0.41,2026-03-01,0.045,0.0528,החוב לא נחות,,806983.17,1.0,120.41,0.0,971.688434997,,,שווי הוגן,5.460698429896e-06,0.004491,5e-05,,
1328,9757.0,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,לאומי אגח 179,IL0060403727,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,AAA,S&P מעלות,נייר ערך,ILS,0.75,2026-06-30,0.0083,0.0321,החוב לא נחות,,1010395.73,1.0,116.83,0.0,1180.445331359,,,שווי הוגן,6.643197071826e-06,0.005456,6.1e-05,,
1328,9757.0,"מזרחי טפחות חברה להנפקות בע""מ",520032046,ח.פ.,מזרחי הנפקות 49,IL0023102820,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,AAA,S&P מעלות,נייר ערך,ILS,0.73,2026-06-23,0.0038,0.0322,החוב לא נחות,,4550368.71,1.0,114.65,0.0,5216.997726015001,,,שווי הוגן,1.51678957e-05,0.024114,0.000272,,
1328,9757.0,"מזרחי טפחות חברה להנפקות בע""מ",520032046,ח.פ.,מזרחי הנפקות 46,IL0023102259,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,AAA,S&P מעלות,נייר ערך,ILS,1.98,2027-09-28,0.0122,0.0258,החוב לא נחות,,9466061.98,1.0,116.7,0.0,11046.894330660001,,,שווי הוגן,3.1390185408467e-05,0.051062,0.000577,,
1328,9757.0,"בנק הפועלים בע""מ",520000118,ח.פ.,פועליםאגח 204,IL0012274531,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,Aaa,מידרוג Moodys,נייר ערך,ILS,4.99,2035-08-21,0.0261,0.0257,החוב לא נחות,,210554.33,1.0,101.11,0.0,212.89148306299998,,,שווי הוגן,6.15781252559e-07,0.000984,1.1e-05,,
1328,9757.0,"מזרחי טפחות חברה להנפקות בע""מ",520032046,ח.פ.,מז טפ הנ אגח 68,IL0012021429,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,AAA,S&P מעלות,נייר ערך,ILS,3.95,2033-12-25,0.0199,0.0253,החוב לא נחות,,13252171.25,1.0,105.83,0.0,14024.772833875,,,שווי הוגן,5.4535684156378e-05,0.064827,0.000732,,
1328,9757.0,"מזרחי טפחות חברה להנפקות בע""מ",520032046,ח.פ.,מז טפ הנ אגח 70,IL0012138835,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,AAA,S&P מעלות,נייר ערך,ILS,5.09,2036-11-28,0.0268,0.0259,החוב לא נחות,,11675213.37,1.0,105.34,0.0,12298.669763958,,,שווי הוגן,4.1697190607142e-05,0.056848,0.000642,,
1328,9757.0,"דיסקונט מנפיקים בע""מ",520029935,ח.פ.,דיסק מנ אגח  טז,IL0012031576,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,AAA,S&P מעלות,נייר ערך,ILS,4.65,2035-03-20,0.0211,0.0258,החוב לא נחות,,13344686.35,1.0,105.47,0.0,14074.640693345,,,שווי הוגן,5.129357873901e-05,0.065058,0.000735,,
1328,9757.0,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,לאומי אגח 185,IL0012018219,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,AAA,S&P מעלות,נייר ערך,ILS,2.11,2029-08-31,0.0186,0.0257,החוב לא נחות,,11780381.69,1.0,105.1,0.0,12381.181156190001,,,שווי הוגן,4.6117753561913e-05,0.05723,0.000647,,
1328,9757.0,"הבינלאומי הראשון הנפקות בע""מ",513141879,ח.פ.,בינל הנפק אגח יג,IL0012284696,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,Aaa,מידרוג Moodys,נייר ערך,ILS,2.86,2028-09-04,0.0252,0.0254,החוב נחות,,2476614.45,1.0,100.78,0.0,2495.93204271,,,שווי הוגן,1.4568320294117e-05,0.011537,0.00013,,
1328,9757.0,שמוס אינטרנשיונל לימיטד,633896,ח.פ.,שמוס אגח א,IL0011559510,ISIN,"צמוד למט""ח",ישראל,בריטניה,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,Aa3,מידרוג Moodys,נייר ערך,ILS,2.28,2028-07-10,0.043,0.0712,החוב נחות,,15979084.28,1.0,88.55,0.0,14149.479129939999,,,שווי הוגן,0.00015477217622407,0.065404,0.000739,,
1328,9757.0,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,לאומי אגח 186,IL0012018391,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,AAA,S&P מעלות,נייר ערך,ILS,4.14,2033-11-30,0.0202,0.0253,החוב לא נחות,,14236275.48,1.0,105.02,0.0,14950.936509096,,,שווי הוגן,3.989969630181e-05,0.069108,0.000781,,
1328,9757.0,"תמר פטרוליום בע""מ",515334662,ח.פ.,תמר פטרו  אגח א,IL0011413320,ISIN,"צמוד למט""ח",ישראל,ישראל,סחיר,TASE,חיפושי נפט וגז,לא,A1,מידרוג Moodys,נייר ערך,ILS,2.36,2028-08-30,0.0469,0.0597,החוב נחות,,4249501.02,1.0,91.73,0.0,3898.067285646,,,שווי הוגן,3.4520998590778e-05,0.018018,0.000203,,
1328,9757.0,"בנק הפועלים בע""מ",520000118,ח.פ.,פועלים אגח 201,IL0011913451,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,AAA,S&P מעלות,נייר ערך,ILS,3.47,2032-11-29,0.0139,0.0251,החוב לא נחות,,6650980.66,1.0,107.22,0.0,7131.181463652001,,,שווי הוגן,4.1568629125e-05,0.032962,0.000372,,
1328,9757.0,"בנק הפועלים בע""מ",520000118,ח.פ.,פועלים אגח 2-רמ,IL0012275454,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE-UP,בנקים,לא,AAA,מידרוג Moodys,נייר ערך,ILS,2.87,2028-11-07,0.0225,0.0646,החוב לא נחות,,4954219.76,1.0,99.52,0.0,4930.439505152,,,שווי הוגן,3.5745298698824e-05,0.02279,0.000257,,
1328,9757.0,דה זראסאי גרופ לטד,1744984,ח.פ.,דה זראסאי אגח ה',IL0011695561,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,"ארה""ב",סחיר,TASE,"נדל""ן מניב בחו""ל",לא,NR,NR,NR,ILS,0.16,2025-11-30,0.0695,1.6908,החוב לא נחות,,1464870.93,1.0,86.46,0.0,1266.5274060779998,,,שווי הוגן,5.2921637644508e-05,0.005854,6.6e-05,,
1328,9757.0,"בנק הפועלים בע""מ",520000118,ח.פ.,פועלים אגח 202,IL0011998502,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,AAA,S&P מעלות,נייר ערך,ILS,1.56,2028-04-30,0.006,0.0268,החוב לא נחות,,2303441.37,1.0,116.21,0.0,2676.8292160769997,,,שווי הוגן,3.4521750605288e-05,0.012373,0.000139,,
