מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה,Unnamed: 17,סוף מידע
1328,9757.0,התחייבות להשקעה,Israel Infrastructure G.P. Management II L.P.,,מספר שותפות,IIF 2,29991728.0,פנימי,USD,2011-08-08,75.0,266.4,0.75,2.4795,0.0001,2027-10-05 00:00:00,,
1328,9757.0,התחייבות להשקעה,"קרדיטו בע""מ",,ח.פ.,קרדיטו,29993691.0,פנימי,ILS,2020-03-19,21934.99845,21934.99845,6087.05413,6087.05413,0.00277504196951516,2028-02-02 00:00:00,,
1328,9757.0,התחייבות להשקעה,Glilot Investments II Limited Partnership,,"מספר תאגיד או שותפות בחו""ל",Glilot 2,29992332.0,פנימי,USD,2015-02-19,257.9986,991.7466184,6.148709999,20.327635256694,0.000238323386212173,2026-05-18 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Fortissimo Capital Fund V GP, LP",,מספר שותפות,Fortissimo 5,29993715.0,פנימי,USD,2020-04-16,5270.3103,18941.4952182,158.10928,522.70927968,0.000299999944974776,2034-10-01 00:00:00,,
1328,9757.0,התחייבות להשקעה,Kedma Capital S.C.S.M Limited Partnership,,מספר שותפות,Kedma Capital 2,29992344.0,פנימי,ILS,2015-04-02,2519.97128,2519.97128,350.272089999,350.272089999,0.00138998445251725,2026-04-02 00:00:00,,
1328,9757.0,התחייבות להשקעה,Kreos Capital Group V Limited,,"מספר תאגיד או שותפות בחו""ל",Kreos 5,29992663.0,פנימי,EUR,2016-01-04,285.37037,1218.217572493,12.43342,48.250372994,0.000435694147223483,2028-01-21 00:00:00,,
1328,9757.0,התחייבות להשקעה,Strategic Value Special Situations Feeder Fund V,,"מספר תאגיד או שותפות בחו""ל",Strategic Value Special Situations Offshore Fund (SVP 5),29994292.0,פנימי,USD,2021-06-17,10992.0,35833.92,1995.57429,6597.36860274,0.00181547879366812,2026-09-30 00:00:00,,
1328,9757.0,התחייבות להשקעה - קרן בהנזלה,"יסודות אנקס 1 ג',.פי",,ח.פ.,יסודות א אנקס 1,29992728.0,פנימי,ILS,2016-09-29,3261.00361,3261.00361,1255.53842,1255.53842,0.00385015955256792,NR,,
1328,9757.0,התחייבות להשקעה,ICG Strategic Secondaries II (Offshore) GP LP,,"מספר תאגיד או שותפות בחו""ל",ICG Secondaries 2,29992777.0,פנימי,USD,2017-06-07,612.00083,2170.15494318,362.8627,1199.6240862,0.0059291210438391,2026-06-07 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Noy E.I Infrastructure and Energy G.P, Limited Partnership",,מספר שותפות,נוי כוכב הירדן,29992808.0,פנימי,ILS,2017-07-19,3574.00144,3574.00144,105.44325,105.44325,0.000295028560480938,2027-12-14 00:00:00,,
1328,9757.0,התחייבות להשקעה,Stage One Capital (G.P.) 3 Limited Partnership,,מספר שותפות,StageOne 3,29992953.0,פנימי,USD,2018-01-16,462.99752,1578.8215432,52.77211,174.46459566,0.00113979249824059,2031-01-01 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Stage One Capital  (G.P.) IV, L.P",,"מספר תאגיד או שותפות בחו""ל",STAGEONE4,29994429.0,פנימי,USD,2022-03-21,4011.0,12991.629,2203.91755,7286.1514203,0.00549468349538768,2035-01-01 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Hyperwise Ventures GP, LP",,מספר שותפות,Hyperwise Ventures Fund,29993895.0,פנימי,USD,2020-10-08,4225.75967,14342.22831998,456.55911,1509.38441766,0.00108041901493181,2032-02-26 00:00:00,,
1328,9757.0,התחייבות להשקעה,"10D Management II, L.P",,"מספר תאגיד או שותפות בחו""ל",10D,28999106.0,פנימי,USD,2021-12-31,3007.0,9351.77,1416.297,4682.277882,0.00471,2035-10-31 00:00:00,,
1328,9757.0,התחייבות להשקעה,Peregrine Ventures Growth GP L.P.,,מספר שותפות,Peregrine Growth,29993946.0,פנימי,USD,2021-03-14,9747.00002,32321.05206632,2163.83566,7153.64069196,0.00222000169853287,2029-03-31 00:00:00,,
1328,9757.0,התחייבות להשקעה,Zeev Ventures management VII,,"מספר תאגיד או שותפות בחו""ל",Zeev ventures 7,29994278.0,פנימי,USD,2021-05-26,1687.0,5477.689,16.87,55.77222,0.0001,2031-05-26 00:00:00,,
1328,9757.0,התחייבות להשקעה,Northwind Healthcare Debt Fund I GP LLC,,"מספר תאגיד או שותפות בחו""ל",NORTHWIND HEALTHCARE DEBT FUND 1 FEEDER C LP,28999147.0,פנימי,USD,2022-04-27,3942.75,12975.59025,407.99862,1348.84343772,0.00103480722845729,2030-12-06 00:00:00,,
1328,9757.0,התחייבות להשקעה,State of minds ventures momentum GP LP,,ח.פ.,SOMV Momentum,29994360.0,פנימי,USD,2021-12-08,3608.0,11224.488,377.63633,1248.46570698,0.00104666388580931,2032-08-16 00:00:00,,
1328,9757.0,התחייבות להשקעה - קרן בהנזלה,יסודות מעטפת פיננסית ג'י.פי שותפות מוגבלת,,ח.פ.,יסודות א,29992351.0,פנימי,ILS,2014-12-01,1686.00327,1686.00327,368.08326,368.08326,0.00218317049883301,NR,,
1328,9757.0,התחייבות להשקעה,"Noy E.I Infrastructure and Energy G.P, Limited Partnership",,מספר שותפות,נוי 2,29992358.0,פנימי,ILS,2015-07-02,2470.86725,2470.86725,284.81734,284.81734,0.00115270191063481,2027-01-01 00:00:00,,
1328,9757.0,התחייבות להשקעה,LCN Sterling GP S.à r.l.,,"מספר תאגיד או שותפות בחו""ל",LCN UK QII,28999109.0,פנימי,GBP,2022-05-30,10484.6,43955.63704,18.18101,80.740047309,1.73406806172863e-05,2039-05-26 00:00:00,,
1328,9757.0,התחייבות להשקעה,"OEP VIII General Partner, L.P.,",,"מספר תאגיד או שותפות בחו""ל",One Equity Partners 8 - A,28999101.0,פנימי,USD,2021-12-14,7117.11804,22155.58845852,1201.022949999,3970.581872696694,0.00168751304003804,2034-04-07 00:00:00,,
1328,9757.0,התחייבות להשקעה,Francisco Partners VII ,,מספר שותפות,	Francisco Partners VII[-A] L.P,28999122.0,פנימי,USD,2022-02-17,10632.0,33905.448,6543.996,21634.450776,0.006155,2035-04-30 00:00:00,,
1328,9757.0,התחייבות להשקעה - קרן בהנזלה,Shiboleth Capital GP Limited Partnership,,מספר שותפות,SOMV,29992699.0,פנימי,USD,2016-05-25,242.00058,932.9122359,1.814929999,6.000158576694,7.49969276519915e-05,NR,,
1328,9757.0,התחייבות להשקעה,Terramont Infrastructure GP LLC,,"מספר תאגיד או שותפות בחו""ל",Terramont,28999149.0,פנימי,USD,2022-04-15,9455.87512,30249.34450888,3371.70664,11146.86215184,0.00356572670134839,2035-04-15 00:00:00,,
1328,9757.0,התחייבות להשקעה,Mideal Assets Management Ltd,,ח.פ.,Mideal 1,29992746.0,פנימי,EUR,2016-12-01,768.00146,3129.98995023,53.21976,206.529922632,0.000692964307645977,2027-01-30 00:00:00,,
1328,9757.0,התחייבות להשקעה - צמיתה,RM-GP LLC,,"מספר תאגיד או שותפות בחו""ל","עורק ארה""ב - JV ניו יורק",28999152.0,פנימי,USD,2022-06-30,4934.0,16405.55,1324.65915,4379.3231499,0.00268475709363599,NR,,
1328,9757.0,התחייבות להשקעה,Zeev Ventures management IX,,"מספר תאגיד או שותפות בחו""ל",ZEEV Ventures 9,28999179.0,פנימי,USD,2022-10-03,508.0,1820.164,7.112,23.512272,0.00014,2037-07-01 00:00:00,,
1328,9757.0,התחייבות להשקעה,Signal Alpha II GP limited,,"מספר תאגיד או שותפות בחו""ל",Signal Alpha 2,29993539.0,פנימי,EUR,2019-07-31,5306.99751,20695.698189747,620.63695,2408.505811865,0.00116946908083248,2027-07-31 00:00:00,,
1328,9757.0,התחייבות להשקעה,LCN European Fund III GP S.à r.l.,,"מספר תאגיד או שותפות בחו""ל",LCN EU 3,29993727.0,פנימי,EUR,2020-01-15,2906.25146,11205.343129176,124.57656,483.444256392,0.000428650313693089,2030-08-24 00:00:00,,
1328,9757.0,התחייבות להשקעה - צמיתה,"Noy E.I Infrastructure and Energy G.P, Limited Partnership",,מספר שותפות,נוי חוצה לישראל 1,28999198.0,פנימי,ILS,2023-01-17,1623.97816,1623.97816,387.25223,387.25223,0.00238459013512841,NR,,
1328,9757.0,התחייבות להשקעה,"Clarion CLO II GP, LP",,מספר שותפות,CLARION 2,28999104.0,פנימי,USD,2022-01-31,7480.0,23898.6,117.985649999,390.060558896694,0.000157734826201871,2028-05-07 00:00:00,,
1328,9757.0,התחייבות להשקעה,"ECV IL OPP GP I, L.P.",,מספר שותפות,Entree ECV IL OPP 1,29993937.0,פנימי,USD,2020-11-29,3904.99673,12960.68414687,147.46816,487.52973696,0.000377639650417837,2031-06-03 00:00:00,,
1328,9757.0,התחייבות להשקעה,"LCN North American GP III, L.P.",,"מספר תאגיד או שותפות בחו""ל",LCN NA 3 QFPF,29993940.0,פנימי,USD,2020-12-02,4769.39286,15686.53311654,212.5448,702.6731088,0.000445643305634503,2028-08-24 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Klirmark Fund IV (G.P.), L.P",,"מספר תאגיד או שותפות בחו""ל",Klirmark Opportunity Fund 4,28999218.0,פנימי,ILS,2023-03-15,75320.517,75320.517,39919.87401,39919.87401,0.0053,2033-03-13 00:00:00,,
1328,9757.0,התחייבות להשקעה,KPS Special Situations Mid-Cap Fund II,,מספר שותפות,KPS Mid-Cap II,28999282.0,פנימי,USD,2024-09-30,1774.13739,6571.40489256,1774.13724,5865.29771544,0.00999999915451869,2037-09-27 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Thoma Bravo Discover Partners IV[-P]9, L.P.",,"מספר תאגיד או שותפות בחו""ל",Thoma Bravo Discover 4,28999125.0,פנימי,USD,2022-05-18,5905.0,19805.37,944.8,3123.5088,0.0016,2035-06-30 00:00:00,,
1328,9757.0,התחייבות להשקעה,Signal Alpha III GP Limited,,מספר שותפות,Signal 3,28999293.0,פנימי,EUR,2025-05-28,7521.083,30160.2949383,3573.65799,13868.294561793,0.00475152047916503,2031-07-13 00:00:00,,
1328,9757.0,התחייבות להשקעה,Fimi V 2012 Ltd,,מספר שותפות,Fimi 5,29992015.0,פנימי,USD,2012-08-27,52.99786,213.3163865,4.784799999,15.818548796694,0.000902828906487922,2025-12-31 00:00:00,,
1328,9757.0,התחייבות להשקעה,"ASSF Management IV, L.P",,"מספר תאגיד או שותפות בחו""ל",Ares 4,29992320.0,פנימי,USD,2015-02-25,509.0004,2004.4435752,23.55178,77.86218468,0.000462706512607848,2026-06-23 00:00:00,,
1328,9757.0,התחייבות להשקעה - צמיתה,"Noy E.I Infrastructure and Energy G.P, Limited Partnership",,מספר שותפות,נוי פסולת 1,29992357.0,פנימי,GBP,2015-06-08,118.23511,697.433443357,0.902819999,4.0093333335591,7.63580292689709e-05,NR,,
1328,9757.0,התחייבות להשקעה,investcorp investment advisers LLC,,"מספר תאגיד או שותפות בחו""ל",Investcorp Special Opportunities Italian 1,29992801.0,פנימי,EUR,2017-10-30,872.25046,3579.27976261,116.78465,453.206191255,0.00133888894710356,2027-10-31 00:00:00,,
1328,9757.0,התחייבות להשקעה,Pontifax IV GP L.P.,,מספר שותפות,Pontifax 4,29992637.0,פנימי,USD,2015-09-07,372.99998,1467.00892134,11.18998,36.99407388,0.000299999479892733,2026-09-03 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Noy E.I Infrastructure and Energy G.P, Limited Partnership",,מספר שותפות,נוי פסולת 2,29992664.0,פנימי,GBP,2015-12-14,123.2968,720.37388368,0.042839999,0.1902481515591,3.47454264830879e-06,2025-12-14 00:00:00,,
1328,9757.0,התחייבות להשקעה,accolade investment associates VIII-C LLC,,"מספר תאגיד או שותפות בחו""ל",Accolade Partners 8-C Feeder (Anthos 5),29994299.0,פנימי,USD,2021-06-28,6483.0,21141.063,324.15,1071.6399,0.0005,2033-03-31 00:00:00,,
1328,9757.0,התחייבות להשקעה,Northwind Healthcare Debt Fund I GP LLC,,"מספר תאגיד או שותפות בחו""ל",NORTHWIND HEALTHCARE DEBT FUND 1 FEEDER D LP,28999146.0,פנימי,USD,2022-04-27,6571.25,21625.98375,679.99767,2248.07229702,0.00103480718280388,2030-12-06 00:00:00,,
1328,9757.0,התחייבות להשקעה,LCN European Fund IV GP S.à r.l.,,"מספר תאגיד או שותפות בחו""ל",LCN European Fund 4,28999155.0,פנימי,EUR,2022-06-21,20451.0,74613.4284,7086.650299999,27501.16381920612,0.00346518522321597,2036-07-21 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Noy E.I Infrastructure and Energy G.P, Limited Partnership",,מספר שותפות,נוי נגב אנרגיה,29992710.0,פנימי,ILS,2016-07-17,961.66907,961.66907,13.5558,13.5558,0.0001409611728492,2026-07-21 00:00:00,,
1328,9757.0,התחייבות להשקעה,TPY Capital (Israel) II LTD,,ח.פ.,TPY 2,29993208.0,פנימי,USD,2018-08-29,1761.0,6415.323,316.98,1047.93588,0.0018,2026-05-09 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Crescent Mezzanine VII, LLC",,מספר שותפות,Crescent Mezzanine Partners 7,29992743.0,פנימי,USD,2016-12-11,501.99804,1916.62851672,151.04947,499.36954782,0.00300896533380887,2028-12-01 00:00:00,,
1328,9757.0,התחייבות להשקעה,קוגיטו קפיטל אל.אמ.אי שותף כללי,,מספר שותפות,קוגיטו בי.אמ.אי משלימה,29992793.0,פנימי,ILS,2017-01-08,1743.0,1743.0,1889.45966,1889.45966,0.0108402734366035,2029-01-07 00:00:00,,
1328,9757.0,התחייבות להשקעה,State of Minds Ventures Momentum GP L.P,,ח.פ.,SOMV Elastic,29994359.0,פנימי,USD,2021-09-29,715.37921,2297.79802252,65.86524,217.75048344,0.000920703859984972,2032-08-16 00:00:00,,
1328,9757.0,התחייבות להשקעה,Northwind Debt Fund II GP LLC,,"מספר תאגיד או שותפות בחו""ל",Northwind Debt Fund 2 FEEDER C LP,28999161.0,פנימי,USD,2022-06-13,3873.76093,13325.7375992,203.74194,673.57085364,0.000525953830609779,2030-04-13 00:00:00,,
1328,9757.0,התחייבות להשקעה,ICG Strategic Equity III (Offshore) GP LP,,"מספר תאגיד או שותפות בחו""ל",ICG Strategic Equity 3,29993445.0,פנימי,USD,2019-06-03,5256.00234,19095.05650122,1824.33396,6031.24807176,0.00347095347754354,2030-06-03 00:00:00,,
1328,9757.0,התחייבות להשקעה - צמיתה,Kotani AS Management B.V,,"מספר תאגיד או שותפות בחו""ל",Kotani,29993522.0,פנימי,USD,2019-08-20,6374.565,22463.96706,1052.61383,3479.94132198,0.00165127162402454,NR,,
1328,9757.0,התחייבות להשקעה,Value AP Partners Ltd,,ח.פ.,AP Partners Fund,29992997.0,פנימי,ILS,2018-01-24,3739.78603,3739.78603,288.135169999,288.135169999,0.000770458971950863,2029-01-25 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Francisco Partners Agility GP III, L.P",,מספר שותפות,"Francisco Partners Agility GP III, L.P",28999121.0,פנימי,USD,2022-02-17,3544.0,11301.816,3361.484,11113.066104,0.009485,2035-04-30 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Stage One Capital (GP), L.P",,"מספר תאגיד או שותפות בחו""ל",StageOne 2,29993017.0,פנימי,USD,2015-06-25,191.24946,721.0104642,4.06306,13.43247636,0.000212448181553035,2026-01-02 00:00:00,,
1328,9757.0,התחייבות להשקעה,CCP IV GP ltd.,,"מספר תאגיד או שותפות בחו""ל",CITIC Capital China Partners 4,29993317.0,פנימי,USD,2019-02-21,3346.99867,12106.09418939,151.90022,502.18212732,0.000453840096685786,2031-08-30 00:00:00,,
1328,9757.0,התחייבות להשקעה,accolade associates Blockchain II LLC,,"מספר תאגיד או שותפות בחו""ל",Accolade Partners Blockchain 2 Feeder,29994400.0,פנימי,USD,2021-11-16,3703.0,11442.27,259.21,856.94826,0.0007,2034-02-11 00:00:00,,
1328,9757.0,התחייבות להשקעה,Italian NPL Opportunities Fund II (GP),,"מספר תאגיד או שותפות בחו""ל",Italian NPL Opportunities 2,29993566.0,פנימי,EUR,2019-09-29,3137.77652,11939.2396586,1430.44908,5551.143744756,0.00455879847045321,2026-10-23 00:00:00,,
1328,9757.0,התחייבות להשקעה,AnaCap GP Lux S.à r.l.,,"מספר תאגיד או שותפות בחו""ל",AnaCap 4,29993592.0,פנימי,EUR,2019-12-11,3199.0103,12326.10658693,289.16041,1122.144803087,0.000903905842378813,2028-08-09 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Peregrine IV General Partner, L.P",,מספר שותפות,Peregrine 4,29993494.0,פנימי,USD,2019-07-22,2363.21352,8351.59657968,472.56687,1562.30607222,0.00199967910643977,2030-07-22 00:00:00,,
1328,9757.0,התחייבות להשקעה,Northwind Debt Fund II GP LLC,,"מספר תאגיד או שותפות בחו""ל",Northwind Debt Fund 2 FEEDER D LP,28999160.0,פנימי,USD,2022-06-13,4726.23906,16258.2623664,248.57827,821.79976062,0.000525953653305044,2030-04-12 00:00:00,,
1328,9757.0,התחייבות להשקעה,Northwind Debt Fund I GP LLC,,"מספר תאגיד או שותפות בחו""ל",Northwind Debt 1,29993809.0,פנימי,USD,2020-07-27,5724.00094,19536.01520822,3008.88419,9947.37113214,0.00525661023039594,2027-07-20 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Triton Debt Opportunities Fund II General Partner L.P.,",,מספר שותפות,Triton Debt Opportunities  2,29993565.0,פנימי,EUR,2019-10-22,2986.99853,11775.644304819,2585.7626,10034.56892182,0.008656725385131,2025-10-12 00:00:00,,
1328,9757.0,התחייבות להשקעה,MBP Capital GP LLC,,מספר שותפות,MBP 1 QFPF,29993607.0,פנימי,USD,2018-03-06,921.0,3194.949,72.33122,239.12701332,0.0007853552660152,2026-12-11 00:00:00,,
1328,9757.0,התחייבות להשקעה,ISFM GPLP Ltd.,,ח.פ.,Israel Secondary Fund 2,29992679.0,פנימי,USD,2015-12-20,426.99861,1663.58658456,23.48494,77.64121164,0.000550000385247155,2028-01-25 00:00:00,,
1328,9757.0,התחייבות להשקעה,"קוגיטו קפיטל שותף כללי בע""מ.",,ח.פ.,קוגיטו אס.אמ.אי,29992707.0,פנימי,ILS,2016-07-18,2223.00347,2223.00347,962.66679,962.66679,0.00433047812561444,2028-03-15 00:00:00,,
1328,9757.0,התחייבות להשקעה,accolade associates VII LLC,,"מספר תאגיד או שותפות בחו""ל",Accolade Partners 8,29993988.0,פנימי,USD,2021-01-27,6825.0,22276.8,1160.25,3835.7865,0.0017,2034-08-03 00:00:00,,
1328,9757.0,התחייבות להשקעה,"KPS INVESTORS V, LP",,"מספר תאגיד או שותפות בחו""ל",KPS 5,29993789.0,פנימי,USD,2020-07-09,3400.1969,11710.2781236,568.73714,1880.24498484,0.00167265942745845,2034-07-20 00:00:00,,
1328,9757.0,התחייבות להשקעה,"NOY E.I Infrastructure and Energy G.P., Limited Partnership",,מספר שותפות,נוי פשה 2,29992822.0,פנימי,ILS,2017-12-25,916.80564,916.80564,100.21757,100.21757,0.00109311685735266,2027-01-01 00:00:00,,
1328,9757.0,התחייבות להשקעה - קרן בהנזלה,יסודות מעטפת פיננסית ג'י.פי שותפות מוגבלת,,ח.פ.,יסודות ב,29992954.0,פנימי,ILS,2018-01-25,8074.00315,8074.00315,651.00127,651.00127,0.000806293059224283,NR,,
1328,9757.0,התחייבות להשקעה,Pontifax VI GP L.P.,,מספר שותפות,PONTIFAX 6,29993951.0,פנימי,USD,2020-10-11,8931.0,30195.711,2232.75,7381.4715,0.0025,2033-11-28 00:00:00,,
1328,9757.0,התחייבות להשקעה,Pollen Street Capital,,"מספר תאגיד או שותפות בחו""ל",PSC Credit IV,28999299.0,פנימי,GBP,2025-08-21,5531.5429,18912.3451751,5531.5429,24565.02886461,0.01,2032-09-30 00:00:00,,
1328,9757.0,התחייבות להשקעה,Mideal Assets Management Ltd,,ח.פ.,Mideal 2,29993972.0,פנימי,EUR,2020-01-10,5314.00659,20473.804589952,1503.81958,5835.872644106,0.00282991666369009,2030-11-01 00:00:00,,
1328,9757.0,התחייבות להשקעה,"מרתון ניהול נדל""ן בע""מ",,ח.פ.,Marathon,29994254.0,פנימי,ILS,2021-09-05,14700.0,14700.0,3122.88604,3122.88604,0.00212441227210884,2030-08-31 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Noy E.I Infrastructure and Energy G.P, Limited Partnership",,מספר שותפות,נוי 4,29994268.0,פנימי,ILS,2021-05-13,53548.6667,53548.6667,11679.54498,11679.54498,0.0021811084569917,2035-04-01 00:00:00,,
1328,9757.0,התחייבות להשקעה - קרן בהנזלה,Reality Funds Management III Ltd.,,ח.פ.,ריאליטי 3,29992353.0,פנימי,ILS,2015-06-30,1849.09154,1849.09154,323.59097,323.59097,0.00174999973230097,NR,,
1328,9757.0,התחייבות להשקעה,"Anacap Credit Opportunities GP III, L..P",,"מספר תאגיד או שותפות בחו""ל",AnaCap 3,29992706.0,פנימי,EUR,2016-05-31,362.00864,1554.863309664,24.34752,94.485420864,0.000672567372977617,2026-05-19 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Forma European Fund II General Partner,",,ח.פ.,Forma 2,29994253.0,פנימי,EUR,2021-07-08,3500.0,13574.4,574.56269,2229.705431083,0.00164160768571428,2031-11-08 00:00:00,,
1328,9757.0,התחייבות להשקעה,ICG ASIA PACIFIC FUND III GP LIMITED,,"מספר תאגיד או שותפות בחו""ל",ICG Asia 3,29993018.0,פנימי,USD,2015-12-21,349.99962,1364.998518,72.96516,241.22281896,0.00208472112055435,2026-07-31 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Klirmark Fund II (G.P.), L.P",,"מספר תאגיד או שותפות בחו""ל",Klirmark 2,29992297.0,פנימי,ILS,2014-10-02,1572.05284,1572.05284,29.86532,29.86532,0.000189976565927644,2026-10-02 00:00:00,,
1328,9757.0,התחייבות להשקעה,ICG North American Private Debt II (Offshore) GP LP,,"מספר תאגיד או שותפות בחו""ל",ICG NA Private Debt 2,29993318.0,פנימי,USD,2018-03-01,2784.99824,9705.7188664,694.81058,2297.04377748,0.00249483310265933,2031-09-29 00:00:00,,
1328,9757.0,התחייבות להשקעה,Gatewood Capital GP LLC,,"מספר תאגיד או שותפות בחו""ל",Gatewood 1,29992724.0,פנימי,USD,2016-09-22,566.00294,2127.60505146,135.92129,449.35578474,0.00240142374525475,2031-04-30 00:00:00,,
1328,9757.0,התחייבות להשקעה,"Noy E.I Infrastructure and Energy G.P, Limited Partnership",,מספר שותפות,נוי 3,29993169.0,פנימי,ILS,2018-05-31,14666.52677,14666.52677,725.80514,725.80514,0.00049487186119935,2030-06-04 00:00:00,,
