מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13910.0,קרן השקעה אחרת,HarbourVest GP LLC,ריק במקור,פנימי,Dover Street XI L.P Dover Street XI L.P,11019995.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-02-14 00:00:00,350000.0,1157.1,206500.0,682.689,0.59,2027-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"קרן נדל""ן","Oak Street Real Estate Capital Fund VI, LP",ריק במקור,פנימי,"Oak Street Real Estate Capital Fund VI, LP",11020012.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-04-16 00:00:00,2699693.166740398,8925.185609243756,1291700.744740398,4270.3626621117555,0.4784620565973406,2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"קרן נדל""ן","Oak Street Real Estate Capital Fund VI, LP",ריק במקור,פנימי,"Oak Street Real Estate Capital Fund VI, LP",11020012.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-04-16 00:00:00,699920.4230825646,2313.9369187109587,334885.3650825646,1107.1310169629585,0.4784620565973406,2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,"קרן נדל""ן","Oak Street Real Estate Capital Fund VI, LP",ריק במקור,פנימי,"Oak Street Real Estate Capital Fund VI, LP",11020012.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-04-16 00:00:00,199977.32345137783,661.1250313302551,95681.56145137783,316.3232421582551,0.4784620565973406,2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,קרן השקעה אחרת,PANTHEON PGIF IV GP,ריק במקור,פנימי,Pantheon Global Infrastructure Fund IV -Luxembourg,11020456.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-06-12 00:00:00,2600000.0051005473,8595.600016862409,791731.6701005474,2617.46490135241,0.3045121802105264,2026-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,קרן השקעה אחרת,PANTHEON PGIF IV GP,ריק במקור,פנימי,Pantheon Global Infrastructure Fund IV -Luxembourg,11020456.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-06-12 00:00:00,800000.0131827199,2644.800043582072,243609.74818271992,805.3738274920721,0.3045121802105264,2026-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,קרן השקעה אחרת,PANTHEON PGIF IV GP,ריק במקור,פנימי,Pantheon Global Infrastructure Fund IV -Luxembourg,11020456.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-06-12 00:00:00,249999.98713511846,826.4999574687016,76128.04113511846,251.67930399270165,0.30451218021052634,2026-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,קרן השקעה אחרת,PANTHEON PGIF IV GP,ריק במקור,פנימי,Pantheon Global Infrastructure Fund IV -Luxembourg,11020456.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-06-12 00:00:00,69999.99513253424,231.4199839081582,21315.85113253424,70.47020384415819,0.30451218021052645,2026-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,קרן השקעה אחרת,PANTHEON PGIF IV GP,ריק במקור,פנימי,Pantheon Global Infrastructure Fund IV -Luxembourg,11020456.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-06-12 00:00:00,29999.99339501846,99.17997816393104,9135.36339501846,30.201511383931027,0.3045121802105263,2026-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,פרייבט אקוויטי,Scintilla Tech Ltd,ריק במקור,פנימי,"MORETECH VENTURES II, L.P",11020463.0,ח.פ.,USD,2023-07-17 00:00:00,1613793.0419604843,5335.199796721362,935840.6449604844,3093.8891722393614,0.5799012764509116,2031-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,פרייבט אקוויטי,Scintilla Tech Ltd,ריק במקור,פנימי,"MORETECH VENTURES II, L.P",11020463.0,ח.פ.,USD,2023-07-17 00:00:00,421379.3141395136,1393.080012545232,244358.40213951358,807.8488774732318,0.5799012764509116,2031-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,פרייבט אקוויטי,Scintilla Tech Ltd,ריק במקור,פנימי,"MORETECH VENTURES II, L.P",11020463.0,ח.פ.,USD,2023-07-17 00:00:00,80689.66673744026,266.7600382339775,46792.040737440264,154.69448667797752,0.5799012764509115,2031-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,פרייבט אקוויטי,Scintilla Tech Ltd,ריק במקור,פנימי,"MORETECH VENTURES II, L.P",11020463.0,ח.פ.,USD,2023-07-17 00:00:00,1093793.0568272898,3616.07984587102,634291.9898272897,2096.9693183690197,0.5799012764509115,2031-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,קרן השקעה אחרת,HPS GP Lux Sarl,ריק במקור,פנימי,"HPS Specialty Loan International Fund VI-L, SCSp",11020470.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-07-28 00:00:00,1449999.9887016914,4793.699962647792,987983.9287016913,3266.2748682877914,0.681368232,2027-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,קרן השקעה אחרת,HPS GP Lux Sarl,ריק במקור,פנימי,"HPS Specialty Loan International Fund VI-L, SCSp",11020470.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-07-28 00:00:00,400000.00878757326,1322.4000290517172,272547.29878757324,901.0413697917171,0.681368232,2027-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,קרן השקעה אחרת,HPS GP Lux Sarl,ריק במקור,פנימי,"HPS Specialty Loan International Fund VI-L, SCSp",11020470.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-07-28 00:00:00,100000.01004294086,330.6000332019625,68136.83004294086,225.26036012196246,0.681368232,2027-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13921.0,קרן גידור (Hedge Fund),. 1L-MORE ALTERNATIVE CREDIT GP LTD,ריק במקור,פנימי,1L - More Alternative Credit פנסיה 2,11140563.0,ח.פ.,USD,2023-08-02 00:00:00,2000000.0,6612.0,1993000.0,6588.858,0.9965,2027-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"קרן נדל""ן",Henderson Park Real Estate Fund II GP S.? r.l,ריק במקור,פנימי,Henderson Park Real Estate Fund II,11020471.0,"מספר תאגיד או שותפות בחו""ל",EUR,2023-08-01 00:00:00,3000000.0078210267,11642.100030351057,969275.2378210267,3761.4664154120587,0.3230917450980392,2034-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"קרן נדל""ן",Henderson Park Real Estate Fund II GP S.? r.l,ריק במקור,פנימי,Henderson Park Real Estate Fund II,11020471.0,"מספר תאגיד או שותפות בחו""ל",EUR,2023-08-01 00:00:00,549999.9849372816,2134.3849415461086,177700.45493728155,689.6021554751086,0.3230917450980392,2034-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,"קרן נדל""ן",Henderson Park Real Estate Fund II GP S.? r.l,ריק במקור,פנימי,Henderson Park Real Estate Fund II,11020471.0,"מספר תאגיד או שותפות בחו""ל",EUR,2023-08-01 00:00:00,150000.00260700897,582.1050101170197,48463.76260700896,188.07332354901968,0.32309174509803923,2034-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,קרן גידור (Hedge Fund),. 1L-MORE ALTERNATIVE CREDIT GP LTD,ריק במקור,פנימי,1L - More Alternative Credit פנסיה 2,11140563.0,ח.פ.,USD,2023-08-02 00:00:00,20000000.0,66120.0,19930000.0,65888.58,0.9965,2027-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,קרן גידור (Hedge Fund),. 1L-MORE ALTERNATIVE CREDIT GP LTD,ריק במקור,פנימי,1L - More Alternative Credit פנסיה 2,11140563.0,ח.פ.,USD,2023-08-02 00:00:00,8000000.0,26448.0,7972000.0,26355.432,0.9965,2027-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"קרן נדל""ן",Henderson Park Real Estate Fund II GP S.? r.l,ריק במקור,פנימי,Henderson Park Real Estate Fund II,11020471.0,"מספר תאגיד או שותפות בחו""ל",EUR,2023-08-01 00:00:00,100000.00666235622,388.0700258546058,32309.176662356214,125.38222187360577,0.3230917450980392,2034-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,התחייבות להשקעה,HP Islazul Co-Invest GP S.?.r.l,ריק במקור,פנימי,Henderson Park Real Estate Fund II (Co-Invest ),11019352.0,"מספר תאגיד או שותפות בחו""ל",EUR,2024-11-18 00:00:00,1769999.9942910182,6868.838977845155,66754.60429101833,259.05459287215484,0.037714465822785044,2034-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,התחייבות להשקעה,HP Islazul Co-Invest GP S.?.r.l,ריק במקור,פנימי,Henderson Park Real Estate Fund II (Co-Invest ),11019352.0,"מספר תאגיד או שותפות בחו""ל",EUR,2024-11-18 00:00:00,760000.0041830791,2949.332016233275,28662.994183079107,111.2324815262751,0.037714465822784884,2034-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,התחייבות להשקעה,HP Islazul Co-Invest GP S.?.r.l,ריק במקור,פנימי,Henderson Park Real Estate Fund II (Co-Invest ),11019352.0,"מספר תאגיד או שותפות בחו""ל",EUR,2024-11-18 00:00:00,260000.00115758166,1008.9820044922271,9805.76115758167,38.05321732422719,0.03771446582278498,2034-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,קרן השקעה אחרת,"HPS Strategic Investment Partners V Offshore GP, L.P.",ריק במקור,פנימי,HPS-Capricorn Co-Invest LP HPS-Capricorn Co-Inves,11019350.0,"מספר תאגיד או שותפות בחו""ל",EUR,2023-12-15 00:00:00,10000.0,38.807,350.0,1.3582450000000001,0.035,2029-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,קרן השקעה אחרת,HARBOURVEST GP LLC,ריק במקור,פנימי,HV Gondor Feeder L.P,11020502.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-12-18 00:00:00,2119999.9950818215,7008.719983740502,806311.9950818215,2665.6674557405017,0.38033584761904765,2033-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,קרן השקעה אחרת,HARBOURVEST GP LLC,ריק במקור,פנימי,HV Gondor Feeder L.P,11020502.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-12-18 00:00:00,700000.005379258,2314.2000177838268,266235.095379258,880.1732253238268,0.38033584761904765,2033-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,קרן השקעה אחרת,HARBOURVEST GP LLC,ריק במקור,פנימי,HV Gondor Feeder L.P,11020502.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-12-18 00:00:00,199999.99923153457,661.1999974594532,76067.16923153457,251.4780614794533,0.3803358476190476,2033-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,קרן השקעה אחרת,HARBOURVEST GP LLC,ריק במקור,פנימי,HV Gondor Feeder L.P,11020502.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-12-18 00:00:00,60000.001383237766,198.36000457298405,22820.151383237768,75.44342047298406,0.38033584761904765,2033-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,קרן השקעה אחרת,HARBOURVEST GP LLC,ריק במקור,פנימי,HV Gondor Feeder L.P,11020502.0,"מספר תאגיד או שותפות בחו""ל",USD,2023-12-18 00:00:00,19999.995081821282,66.11998374050117,7606.715081821281,25.147800060501154,0.38033584761904765,2033-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,קרן השקעה אחרת,Pantheon Zilker GP LLC,ריק במקור,פנימי,"Pantheon Zilker, L.P",11020508.0,"מספר תאגיד או שותפות בחו""ל",USD,2024-01-22 00:00:00,1900000.0,6281.4,154850.0,511.93410000000006,0.0815,2031-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,קרן השקעה אחרת,Pantheon Zilker GP LLC,ריק במקור,פנימי,"Pantheon Zilker, L.P",11020508.0,"מספר תאגיד או שותפות בחו""ל",USD,2024-01-22 00:00:00,400000.0,1322.4,32600.0,107.77560000000001,0.0815,2031-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,קרן השקעה אחרת,Pantheon Zilker GP LLC,ריק במקור,פנימי,"Pantheon Zilker, L.P",11020508.0,"מספר תאגיד או שותפות בחו""ל",USD,2024-01-22 00:00:00,100000.0,330.6,8150.0,26.943900000000003,0.0815,2031-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,קרן אנרגיה ותשתיות,EQT Infrastructure VI (General Partner) S.à r.l.,ריק במקור,פנימי,EQT Infrastructure VI Co-Investment,11020523.0,"מספר תאגיד או שותפות בחו""ל",USD,2024-04-03 00:00:00,2099999.991272194,6942.599971145873,295422.8012721939,976.6677810058729,0.14067752500000003,2028-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,קרן אנרגיה ותשתיות,EQT Infrastructure VI (General Partner) S.à r.l.,ריק במקור,פנימי,EQT Infrastructure VI Co-Investment,11020523.0,"מספר תאגיד או שותפות בחו""ל",USD,2024-04-03 00:00:00,800000.0,2644.8,112542.02000000002,372.06391812000004,0.14067752500000003,2028-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,קרן אנרגיה ותשתיות,EQT Infrastructure VI (General Partner) S.à r.l.,ריק במקור,פנימי,EQT Infrastructure VI Co-Investment,11020523.0,"מספר תאגיד או שותפות בחו""ל",USD,2024-04-03 00:00:00,200000.00581853747,661.2000192360849,28135.505818537466,93.01598223608487,0.14067752500000008,2028-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,קרן אנרגיה ותשתיות,EQT Infrastructure VI (General Partner) S.à r.l.,ריק במקור,פנימי,EQT Infrastructure VI Co-Investment,11020523.0,"מספר תאגיד או שותפות בחו""ל",USD,2024-04-03 00:00:00,50000.00727317181,165.300024045106,7033.877273171813,23.253998265106013,0.14067752500000008,2028-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,קרן השקעה אחרת,"HPS Strategic Investment Partners V Offshore GP, L.P.",ריק במקור,פנימי,HPS-Capricorn Co-Invest LP HPS-Capricorn Co-Inves,11019350.0,"מספר תאגיד או שותפות בחו""ל",EUR,2023-12-15 00:00:00,800000.0,3104.56,28000.0,108.65960000000001,0.035,2029-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,קרן השקעה אחרת,"HPS Strategic Investment Partners V Offshore GP, L.P.",ריק במקור,פנימי,HPS-Capricorn Co-Invest LP HPS-Capricorn Co-Inves,11019350.0,"מספר תאגיד או שותפות בחו""ל",EUR,2023-12-15 00:00:00,280000.0,1086.596,9800.0,38.030860000000004,0.035,2029-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,קרן השקעה אחרת,"HPS Strategic Investment Partners V Offshore GP, L.P.",ריק במקור,פנימי,HPS-Capricorn Co-Invest LP HPS-Capricorn Co-Inves,11019350.0,"מספר תאגיד או שותפות בחו""ל",EUR,2023-12-15 00:00:00,80000.0,310.456,2800.0,10.865960000000001,0.035,2029-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,קרן אנרגיה ותשתיות,EQT Infrastructure VI (General Partner) S.à r.l.,ריק במקור,פנימי,EQT Infrastructure VI (No.1) USD SCSp,11020525.0,"מספר תאגיד או שותפות בחו""ל",USD,2024-05-08 00:00:00,5249999.970106492,17356.49990117206,3106595.937106492,10270.406168074061,0.5917325628181818,2030-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,קרן אנרגיה ותשתיות,EQT Infrastructure VI (General Partner) S.à r.l.,ריק במקור,פנימי,EQT Infrastructure VI (No.1) USD SCSp,11020525.0,"מספר תאגיד או שותפות בחו""ל",USD,2024-05-08 00:00:00,1999999.999109318,6611.999997055405,1183465.1251093182,3912.535703611406,0.5917325628181819,2030-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,קרן אנרגיה ותשתיות,EQT Infrastructure VI (General Partner) S.à r.l.,ריק במקור,פנימי,EQT Infrastructure VI (No.1) USD SCSp,11020525.0,"מספר תאגיד או שותפות בחו""ל",USD,2024-05-08 00:00:00,499999.9887551426,1652.9999628245016,295866.27475514263,978.1339043405015,0.5917325628181819,2030-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,קרן אנרגיה ותשתיות,EQT Infrastructure VI (General Partner) S.à r.l.,ריק במקור,פנימי,EQT Infrastructure VI (No.1) USD SCSp,11020525.0,"מספר תאגיד או שותפות בחו""ל",USD,2024-05-08 00:00:00,125000.05719846992,413.25018909814156,73966.60419846993,244.53359348014158,0.5917325628181819,2030-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,קרן השקעה אחרת,"Qumra Capital GP IV, L.P.",ריק במקור,פנימי,Qumra Capital IV,11021256.0,"מספר תאגיד או שותפות בחו""ל",USD,2024-05-15 00:00:00,2000000.0,6612.0,1335000.0,4413.51,0.6675,2029-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,קרן השקעה אחרת,"Qumra Capital GP IV, L.P.",ריק במקור,פנימי,Qumra Capital IV,11021256.0,"מספר תאגיד או שותפות בחו""ל",USD,2024-05-15 00:00:00,600000.0,1983.6,400500.0,1324.053,0.6675,2029-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,קרן השקעה אחרת,"Qumra Capital GP IV, L.P.",ריק במקור,פנימי,Qumra Capital IV,11021256.0,"מספר תאגיד או שותפות בחו""ל",USD,2024-05-15 00:00:00,100000.00000000001,330.6000000000001,66750.00000000001,220.67550000000006,0.6675000000000001,2029-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,קרן השקעה אחרת,"Qumra Capital GP IV, L.P.",ריק במקור,פנימי,Qumra Capital IV,11021256.0,"מספר תאגיד או שותפות בחו""ל",USD,2024-05-15 00:00:00,600000.0,1983.6,400500.0,1324.053,0.6675,2029-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,קרן השקעה אחרת,"Qumra Capital GP IV, L.P.",ריק במקור,פנימי,Qumra Capital IV,11021256.0,"מספר תאגיד או שותפות בחו""ל",USD,2024-05-15 00:00:00,70000.0,231.42,46725.0,154.47285,0.6675,2029-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13922.0,קרן השקעה אחרת,"Qumra Capital GP IV, L.P.",ריק במקור,פנימי,Qumra Capital IV,11021256.0,"מספר תאגיד או שותפות בחו""ל",USD,2024-05-15 00:00:00,30000.0,99.18,20025.0,66.20264999999999,0.6675,2029-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,קרן גידור (Hedge Fund),1L-MORE ALTERNATIVE CREDIT GP LTD,ריק במקור,פנימי,1L - More Alternative Credit 4,11021286.0,ח.פ.,USD,2024-09-24 00:00:00,4247787.610619465,14043.18584070795,3447787.610619465,11398.38584070795,0.8116666666666665,2027-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,קרן גידור (Hedge Fund),1L-MORE ALTERNATIVE CREDIT GP LTD,ריק במקור,פנימי,1L - More Alternative Credit 4,11021286.0,ח.פ.,USD,2024-09-24 00:00:00,2123893.8053097324,7021.592920353975,1723893.8053097324,5699.192920353975,0.8116666666666665,2027-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,קרן גידור (Hedge Fund),1L-MORE ALTERNATIVE CREDIT GP LTD,ריק במקור,פנימי,1L - More Alternative Credit 4,11021286.0,ח.פ.,USD,2024-09-24 00:00:00,530973.4513274331,1755.3982300884938,430973.4513274331,1424.7982300884937,0.8116666666666665,2027-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
