מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,"NAV
(במטבע הדיווח של קרן ההשקעה)","שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,MORE INVESTMENTS,ריק במקור,ריק במקור,1L-MORE ALTERNATIVE CREDIT FU,11140555.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,2021-07-05,USD,דיווח מנהל הקרן,קיימת תלות,2025-09-30,3.306,2375.83529945554,7854.5115,0.012673949665,0.0323733513572854,0.0015288827343661205,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,MORE INVESTMENTS,ריק במקור,ריק במקור,MORE Alternativ,11140571.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,2024-12-31,ILS,דיווח מנהל הקרן,קיימת תלות,2025-09-30,1.0,652.936,652.936,0.003911712859,0.0026911573739271375,0.0001270941645506633,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"HPS Strategic Investment Partners V Offshore GP, L.P.",ריק במקור,ריק במקור,HPS CAPRICORN,11019350.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,איי קיימן,לא,2023-12-14,EUR,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.8807,839.903576674311,3259.41381,7.85426711215516e-06,0.013434081609011366,0.0006344457574813526,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,LCN European Fund IV GP S.a.r.l,ריק במקור,ריק במקור,LCN IV,11019351.0,פנימי,"קרן נדל""ן",ריק במקור,"חו""ל",ריק במקור,ריק במקור,אירופה,לא,2024-05-07,EUR,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.8807,1631.69193959853,6332.10691,0.001851977148,0.02609857046225278,0.0012325462795311215,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"HP Islazul Co-Invest GP S.?.r.l.,",ריק במקור,ריק במקור,HENDERSON ISLAZU,11019352.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,ספרד,לא,2024-11-19,EUR,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.8807,2719.5123019043,10553.61139,7.83734006354074e-05,0.0434980290775205,0.002054263239589201,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"SPHERA TECH FUND, LP",ריק במקור,ריק במקור,SPHERA TECH FUND LP 1,11019906.0,פנימי,קרן גידור (Hedge Fund),ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2022-09-01,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,798.758998790079,2640.69725,0.004927778332,0.010883963936199894,0.0005140124159488589,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Madison Realty Capital Debt Fund VI GP LLC,ריק במקור,ריק במקור,MADISON REALTY,11019980.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2022-11-22,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,1407.25581972172,4652.38774,0.011034983171,0.019175397853494383,0.0009055885002221483,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,HGI Multifamily Credit Fund GP LLC,ריק במקור,ריק במקור,HGI MULTIFAMILY,11019991.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2023-01-12,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,1853.12399879008,6126.42794,0.000950721223,0.02525083886715427,0.0011925108137920734,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,HarbourVest GP LLC,ריק במקור,ריק במקור,DOVER STREET XL,11019995.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2023-06-21,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,587.761403508772,1943.1392,0.000159196674,0.008008891203191246,0.0003782325576008128,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Sheva Growth Investments L.P,ריק במקור,ריק במקור,SHEVA GROWTH INVESTMENTS S1,11020002.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2023-03-02,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,216.028690260133,714.19085,4.31682824529384e-06,0.0029436268981474292,0.00013901743725338792,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"LUCID ALTERNATIVE FUND, LP",ריק במקור,ריק במקור,LUCID ALTERNATIVE FUND,11020009.0,פנימי,קרן גידור (Hedge Fund),ריק במקור,"חו""ל",ריק במקור,ריק במקור,איי קיימן,לא,2023-03-30,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,940.495683605566,3109.27873,0.031270427852,0.012815281102335152,0.000605221924575299,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"Oak Street Real Estate Capital Fund VI, LP",ריק במקור,ריק במקור,OAK STREET REAL ESTATE VI,11020012.0,פנימי,"קרן נדל""ן",ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2023-05-11,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,1459.5756291591,4825.35703,8.54992616713486e-05,0.019888312412113363,0.0009392570181250843,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,PANTHEON PGIF IV GP,ריק במקור,ריק במקור,PANTHEON GLOBAL INFRASTRUCTURE,11020456.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,לוכסמבורג,לא,2023-06-27,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,1897.04164851785,6271.61969,0.004843576072,0.02584926482106995,0.0012207724262102873,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Scintilla Tech Ltd,ריק במקור,ריק במקור,MORETECH VENTURES II,11020463.0,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,ישראל,לא,2023-07-13,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,655.970471869329,2168.63838,0.001685480694,0.00893831427233052,0.00042212603244208297,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,HPS GP Lux Sarl,ריק במקור,ריק במקור,HPS SPECIALTY LOAN,11020470.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2024-07-14,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,487.414467634604,1611.39223,0.000363818181,0.00664155458123521,0.0003136579224231476,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Henderson Park Real Estate Fund II GP S.? r.l,ריק במקור,ריק במקור,HENDERSON PARK REAL,11020471.0,פנימי,"קרן נדל""ן",ריק במקור,"חו""ל",ריק במקור,ריק במקור,לוכסמבורג,לא,2023-09-05,EUR,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.8807,2421.39763187054,9396.71779,0.000784289822,0.038729747435079113,0.0018290735953269623,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Sheva Growth Investments L.P,ריק במקור,ריק במקור,SHEVA GROWTH 2,11020475.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2023-08-22,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,1388.44311554749,4590.19294,6.06623309029906e-06,0.018919054207807942,0.0008934822660041,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Target Global Selected Opportunities LLC,ריק במקור,ריק במקור,TARGET GLOBAL BOHRIUM,11020481.0,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2023-08-31,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,577.132577132486,1908.0003,3.96039995647481e-06,0.007864061832706713,0.0003713927614512218,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,HARBOURVEST GP LLC,ריק במקור,ריק במקור,HV GONDOR FEEDER,11020502.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,איי קיימן,לא,2023-12-18,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,1655.63179068361,5473.5187,1.17117280347305e-05,0.022559791787913484,0.0010654218580824655,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Pantheon Zilker GP LLC,ריק במקור,ריק במקור,PANTHEON ZILKER,11020508.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2024-01-30,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,2102.9877707199,6952.47757,1.70447198231824e-05,0.028655505715060165,0.001353301592064729,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,EQT CO INVEST,ריק במקור,ריק במקור,EQT CO INVEST,11020523.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2024-04-03,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,2173.6547307925,7186.10254,0.003181818181,0.029618420243817972,0.0013987767540719145,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,EQT CO INVEST,ריק במקור,ריק במקור,EQT VI 10.4,11020525.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,לוכסמבורג,לא,2024-05-08,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,2209.8388384755,7305.7272,2.0680537819066e-05,0.030111468239123067,0.001422061725680705,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"Qumra Capital GP IV, L.P.",ריק במקור,ריק במקור,QUMRA CAPITAL IV,11021256.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,ישראל,לא,2024-05-15,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,592.882081064731,1960.06816,0.024456716787,0.008078666028804962,0.000381527784128239,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Sheva Fund GP LP,ריק במקור,ריק במקור,SHEVA GROWTH SE3,11021278.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2024-08-05,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,1107.96796128252,3662.94208,0.22,0.015097273835199784,0.0007129926416296067,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"ECP V (CALIFORNIA CO-INVEST), LP",ריק במקור,ריק במקור,ECP CALIFORNIA,11021280.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,קנדה,לא,2024-12-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,3693.58486085904,12210.99155,0.003532110024,0.05032912866306111,0.0023768727247118543,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"Greenfield Partners GP Fund III, L.P.",ריק במקור,ריק במקור,GREENFIELD 1,11021293.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2024-10-09,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,812.069159104658,2684.70064,0.000912343479,0.011065329410727706,0.0005225776874141281,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Target Global Selected Opportunities LLC,ריק במקור,ריק במקור,TARGET KRYPTON,11021294.0,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2023-08-31,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,863.40926799758,2854.43104,0.008790748197,0.011764894479187098,0.0005556157545246104,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"TruAmerica Workforce Housing Fund II GP, LLC",ריק במקור,ריק במקור,TRUAMERICA FUND,11021299.0,פנימי,"קרן נדל""ן",ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2024-11-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,1614.15858439201,5336.40828,0.000682593702,0.021994674046166594,0.001038733278679445,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"OEP IX General Partner, L.P.",ריק במקור,ריק במקור,OEP IX BALLYMORE,11021307.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2024-12-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,900.812289776164,2978.08543,0.030000008819,0.01227455151060666,0.0005796851141403643,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"OEP IX General Partner, L.P.",ריק במקור,ריק במקור,ONE EQUITY PARTNERS,11021308.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2024-12-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,2558.97730187538,8459.97896,0.002971246474,0.03486886120764123,0.0016467371350904064,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Director/PDMR Shareholding,ריק במקור,ריק במקור,YS 1740 PLATFORM CO INVEST LP,11022776.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-01-07,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,1734.12522383545,5733.01799,0.074137869383,0.023629350562146115,0.0011159334632995777,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,The Access Fund L.P,ריק במקור,ריק במקור,ACCESS FUND-SPRING HILL,11022777.0,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,ישראל,לא,2025-01-09,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,502.423663036903,1661.01263,0.033333332914,0.006846071264887535,0.0003233165463658767,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"TruAmericaWorbforce Housing Fund IIGP, LL'C",ריק במקור,ריק במקור,TWHF II RIVERHURST CO-INVEST-B,11022784.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-02-06,USD,דיווח מנהל הקרן,קיימת תלות,2025-09-30,3.306,1285.90548094374,4251.20352,0.054624571937,0.017521866922505427,0.0008274978860244175,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"QEP Co-Invest GP, LLC",ריק במקור,ריק במקור,QUANTUM - COGENTRIX,11022785.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-02-25,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,9292.84895946763,30722.15866,0.022122050187,0.12662521873632096,0.00598007628325843,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,COLLER INTERNATIONAL PARTNERS,ריק במקור,ריק במקור,COLLER IX SER A,11022791.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-02-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,720.551085904416,2382.14189,0.00085544452,0.009818295687501115,0.0004636845469551198,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,COLLER INTERNATIONAL PARTNERS,ריק במקור,ריק במקור,COLLER IX SER B,11022792.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-02-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,517.494110707804,1710.83553,0.000855444498,0.007051422577612572,0.0003330145869869961,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,Swish GP L.P.,ריק במקור,ריק במקור,SWISH VENTURES,11022794.0,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-03-05,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,401.06739261948,1325.9288,0.033333333333,0.005464981357165726,0.0002580923905094275,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"נבונא בע""מ",ריק במקור,ריק במקור,ROM POP LP - AVATRADE,11022828.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2025-07-30,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,1500.0,4959.0,0.0218,0.02043913862507914,0.0009652706574713898,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,"Ares ACIP Management II, L.P",ריק במקור,ריק במקור,SB CO-INVESTMENT,11022833.0,פנימי,קרן השקעה אחרת,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,2025-08-21,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,3582.82049909256,11844.80457,0.0044,0.048819843233152034,0.002305594332507365,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,SPRINGHILL BLINK,ריק במקור,ריק במקור,SPRINGHILL BLINK,11022835.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,2025-08-13,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,710.5,2348.913,0.18,0.009681338662079153,0.000457216534755615,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,Scintilla Holdings Ltd,ריק במקור,ריק במקור,SCINTILLA,11020474.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2023-08-17,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,489.733049001815,1619.05746,0.02759322103,0.01956472116605388,0.0006462036577420313,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,Viola Credit GL II (UVCI),ריק במקור,ריק במקור,VIOLA CREDIT UVCI,11020490.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,2023-10-19,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,41.905704779189,138.54026,1.91473748426346e-06,0.0016741231390099071,5.529465443217317e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"קוגיטו קפיטל פאנד 2 ניהול בע""מ",ריק במקור,ריק במקור,סיג'י השקעות,11021127.0,פנימי,קרן חוב,ריק במקור,ישראל,ריק במקור,ריק במקור,קנדה,לא,2024-07-28,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-30,1.0,1266.29899,1266.29899,0.01842249651,0.015301981099673664,0.0005054095109960087,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"Rakia Capital Fund, LP",ריק במקור,ריק במקור,RS TACTIC GEAR,11021133.0,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,Developed Markets - Pacific,לא,2024-08-12,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-30,1.0,1217.0763,1217.0763,0.005068461527,0.014707173176739842,0.000485763585445039,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"CERCA OPPORTUNITIES GP, LIMITED PARTNERSHIP",ריק במקור,ריק במקור,CERCA ,11021279.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,2024-08-22,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,148.220471869328,490.01688,0.010341000227,0.005921373305589589,0.00019557718489579613,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,. 1L-MORE ALTERNATIVE CREDIT GP LTD,ריק במקור,ריק במקור,MORE ALTERNATIVE CREDIT 4,11021286.0,פנימי,קרן השקעה אחרת,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",כן,2021-07-05,USD,דיווח מנהל הקרן,קיימת תלות,2025-09-30,3.306,440.240798548094,1455.43608,0.002631884055,0.0175875172955347,0.0005808985423566892,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,HIA Capital Partners Ltd,ריק במקור,ריק במקור,SHARK TOPCO 1,11022778.0,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,"ארה""ב",לא,2025-01-16,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,402.5,1330.665,0.011666666545,0.01607978118974671,0.0005310994893469069,,,,,,,,,,,,,,,,,,,,,,,,,,
