מספר קרן,מספר מסלול,מאפיין עיקרי,חודש הנפקת שכבה,חודש הבדיקה,"שווי הנכסים באפיק (באלפי ש""ח)",שיעור מסך נכסי ההשקעה,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-08-01,2028-08-01,60526.77211,0.011781552149473821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-09-01,2028-09-01,47542.55284,0.009254170445197638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-10-01,2028-10-01,4429.99102,0.0008622989200378611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-11-01,2028-11-01,25480.6713,0.004959819386683479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-12-01,2028-12-01,26236.93847,0.005107026990718552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-01-01,2029-01-01,34657.7976,0.00674614944058527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-02-01,2029-02-01,51227.9521,0.009971534382835223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-03-01,2029-03-01,37999.95151,0.0073967005803465685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-04-01,2029-04-01,56698.1539,0.011036310605458165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-05-01,2029-05-01,125.57458,2.4443125105524023e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-06-01,2029-06-01,65193.08402,0.012689850993057665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-07-01,2029-07-01,39172.34826,0.007624907916843809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-08-01,2029-08-01,42886.8269,0.008347932163465353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-09-01,2029-09-01,76374.01338,0.014866221840903675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-10-01,2029-10-01,29566.37982,0.005755103627324103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-11-01,2029-11-01,48650.83335,0.009469897538674233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-12-01,2029-12-01,51509.22169,0.01002628358268721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-01-01,2030-01-01,53812.91999,0.010474699064166686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-02-01,2030-02-01,16526.4084,0.003216869752351018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-03-01,2030-03-01,50502.34639,0.009830295040073234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-04-01,2030-04-01,22550.70535,0.004389500742012117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-05-01,2030-05-01,17834.02356,0.00347139738800594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-06-01,2030-06-01,49214.17947,0.009579553009461964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-07-01,2030-07-01,53127.92163,0.01034136395278858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-08-01,2030-08-01,57104.40854,0.011115388178245743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-09-01,2030-09-01,37006.78261,0.007203379992106372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2022-10-01,2027-10-01,11841.48284,0.0047262124497406644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2022-11-01,2027-11-01,8401.22368,0.003353124645449562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2022-12-01,2027-12-01,12545.25491,0.0050071043248509405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-01-01,2028-01-01,7568.34211,0.0030207021525505604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-02-01,2028-02-01,11405.01663,0.004552008588326875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-03-01,2028-03-01,8460.52147,0.003376791778791463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-04-01,2028-04-01,7372.7499,0.0029426367319892377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-05-01,2028-05-01,6837.2448,0.002728904135766549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-06-01,2028-06-01,12833.59568,0.00512218786255945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-07-01,2028-07-01,14261.25145,0.005691998634173767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-08-01,2028-08-01,20603.6792,0.008223409725052876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-09-01,2028-09-01,19449.61495,0.0077627957208906565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-10-01,2028-10-01,7133.58332,0.0028471797623486096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-11-01,2028-11-01,20162.96124,0.008047508890881985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-12-01,2028-12-01,17844.73586,0.007122250981859775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-01-01,2029-01-01,8861.17797,0.003536703148334901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-02-01,2029-02-01,19449.29257,0.00776266705150101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-03-01,2029-03-01,15596.96759,0.006225114151502637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-04-01,2029-04-01,29432.94615,0.011747376439780117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-05-01,2029-05-01,13217.23785,0.0052753084155002265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-06-01,2029-06-01,25599.67938,0.010217430116642839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-07-01,2029-07-01,26460.27013,0.010560911990639427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-08-01,2029-08-01,25510.69417,0.01018191404040244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-09-01,2029-09-01,34953.00686,0.013950561632330402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-10-01,2029-10-01,26567.96723,0.010603896419337967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-11-01,2029-11-01,26785.89609,0.010690876918757395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-12-01,2029-12-01,34350.77571,0.01371019711065605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-01-01,2030-01-01,25819.33067,0.010305098078115778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-02-01,2030-02-01,21713.96045,0.008666548911028644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-03-01,2030-03-01,18641.9892,0.007440453415796277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-04-01,2030-04-01,13731.31306,0.005480487841965118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-05-01,2030-05-01,16887.72126,0.006740284096612523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-06-01,2030-06-01,36550.86528,0.0145883042579429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-07-01,2030-07-01,29300.20297,0.011694395535411035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-08-01,2030-08-01,33762.72463,0.013475492186202564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-09-01,2030-09-01,17659.22933,0.0070482109918145585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2022-10-01,2027-10-01,1808.84266,0.002190257468282242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2022-11-01,2027-11-01,2262.00693,0.0027389765186866433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2022-12-01,2027-12-01,2732.59966,0.003308799015797491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-01-01,2028-01-01,4501.68638,0.005450917557229357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-02-01,2028-02-01,3774.8809,0.004570856971662197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-03-01,2028-03-01,2064.51084,0.0024998361580324765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-04-01,2028-04-01,1826.6179,0.002211780817449886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-05-01,2028-05-01,11.67643,1.413853652167559e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-06-01,2028-06-01,2988.23655,0.003618339817699491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-07-01,2028-07-01,2851.20153,0.003452409423305096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-08-01,2028-08-01,3996.54451,0.004839260845578407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-09-01,2028-09-01,6178.86419,0.007481747161828442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-10-01,2028-10-01,3373.93414,0.004085366080224703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-11-01,2028-11-01,6066.12807,0.007345239363645948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-12-01,2028-12-01,2580.03507,0.003124064466998803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-01-01,2029-01-01,3620.73867,0.004384212119735065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-02-01,2029-02-01,3894.02535,0.004715124368262009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-03-01,2029-03-01,6222.48797,0.00753456950622168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-04-01,2029-04-01,8983.78244,0.010878113955269535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-05-01,2029-05-01,6185.30818,0.00748954993955762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-06-01,2029-06-01,5704.47404,0.006907326516023331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-07-01,2029-07-01,8321.31208,0.010075954272953314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-08-01,2029-08-01,6816.72612,0.008254109450052794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-09-01,2029-09-01,11761.83292,0.014241947607382245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-10-01,2029-10-01,5537.94295,0.0067056804737005106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-11-01,2029-11-01,10043.18888,0.012160908152060704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2024-12-01,2029-12-01,10703.48541,0.012960435627885134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-01-01,2030-01-01,14402.0854,0.017438927002190806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-02-01,2030-02-01,6493.26748,0.00786244591977072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-03-01,2030-03-01,10924.60144,0.013228176458402931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-04-01,2030-04-01,11058.78921,0.013390659228128543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-05-01,2030-05-01,9494.39085,0.011496389888329527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-06-01,2030-06-01,10718.39818,0.012978492923075903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-07-01,2030-07-01,9916.03375,0.01200694093353386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-08-01,2030-08-01,11636.78284,0.014090529312311023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2025-09-01,2030-09-01,8307.23715,0.01005891148574481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2022-10-01,2027-10-01,17220.15028,0.0049259975225813225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2022-11-01,2027-11-01,20015.89145,0.005725747458166589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2022-12-01,2027-12-01,30234.18522,0.008648793365291398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-01-01,2028-01-01,16855.17026,0.004821591309797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-02-01,2028-02-01,25595.49144,0.007321848263375983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,נכס או התחייבות בגין השלמת המדינה לתשואת היעד,2023-03-01,2028-03-01,16699.33963,0.004777014387712073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
