מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך ,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13910.0,CIFC Global Floating Rate Cred,635400NLI1L,LEI,CIFC GLBL FLT RT CR-B1 USD,IE0009SO3I10,ISIN,אחר,"חו""ל",גלובלי,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,162.93,3.306,145970.1,786.26295,0.004206707805,0.03163542141974759,0.00031381591252298106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,SP 500 תכלית,IL0051139983,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,48714.0,1.0,784.04,381.93725,3.72554523018706e-05,0.5213386479664439,0.00046247301256577056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,NASDAQ 100י.IBI,IL0051277668,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,39862.0,1.0,311.57,124.19803,4.89017411385069e-05,0.16952845798700136,0.00015038658075072265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,CIFC Global Floating Rate Cred,635400NLI1L,LEI,CIFC GLBL FLT RT CR-B1 USD,IE0009SO3I10,ISIN,אחר,"חו""ל",גלובלי,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,46.93,3.306,145970.1,226.47346,0.001211690893,0.30913289404655475,0.00027422793485682145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,SP 500 תכלית,IL0051139983,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,3607142.0,1.0,784.04,28281.43614,0.002758667051,0.5695347857748572,0.008090189812250691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,"תכלית ת""א 125",IL0051146574,ISIN,מניות,ישראל,ישראל,סחיר,TASE,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,7121600.0,1.0,286.8,20424.7488,0.004380330943,0.4113159202640574,0.005842705223368459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,STOXX-E600י.IBI,IL0051307523,ISIN,מניות,ישראל,אירופה,סחיר,TASE,"STOXX EUROPE 600 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה כללי",לא,ILS,591833.0,1.0,160.67,950.89808,0.003507065599,0.01914929396108535,0.0002720139783999223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13913.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם תל בונד 20,IL0051155898,ISIN,"אג""ח קונצרני",ישראל,ישראל,סחיר,TASE,"20 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,0.62,1.0,149.78,0.00093,1.85195354335108e-09,4.126496187649974e-05,2.5227488155595295e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13913.0,CIFC Global Floating Rate Cred,635400NLI1L,LEI,CIFC GLBL FLT RT CR-B1 USD,IE0009SO3I10,ISIN,אחר,"חו""ל",גלובלי,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,4.67,3.306,145970.1,22.53635,0.000120575249,0.9999587350381235,0.0006113284975218817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13915.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,S&P 500 מח MTF,IL0051226277,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,5370548.0,1.0,315.4,16938.70839,0.002511658659,0.46439862638407786,0.039072241801227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13915.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,NASDAQ 100י.IBI,IL0051277668,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,4376541.0,1.0,311.57,13635.98879,0.005369035047,0.3738499015192435,0.03145391247872476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13915.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,S&P 500 הראל,IL0051292758,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,1596299.0,1.0,242.57,3872.14248,0.000494879253,0.10616025776422477,0.00893180777329403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13915.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,STOXX-E600י.IBI,IL0051307523,ISIN,מניות,ישראל,אירופה,סחיר,TASE,"STOXX EUROPE 600 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה כללי",לא,ILS,1262004.0,1.0,160.67,2027.66183,0.007478344084,0.05559121433245393,0.0046771744036664675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13916.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,S&P 500 מח MTF,IL0051226277,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,706620.0,1.0,315.4,2228.67948,0.00033046688,0.6078346409239502,0.008297966286005123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13916.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,S&P 500 קסם,IL0051244825,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,30000.0,1.0,299.6,89.88,6.88128002818572e-06,0.024513250118067518,0.0003346471381277941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13916.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,S&P 500י.IBI,IL0051274699,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,499075.0,1.0,247.57,1235.55998,0.000338071951,0.3369780910727025,0.004600318327683963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13916.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,STOXX-E600י.IBI,IL0051307523,ISIN,מניות,ישראל,אירופה,סחיר,TASE,"STOXX EUROPE 600 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה כללי",לא,ILS,70000.0,1.0,160.67,112.469,0.000414803824,0.030674017885279656,0.0004187519913005661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,SP 500 תכלית,IL0051139983,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,1281190.0,1.0,784.04,10045.04208,0.000979827419,0.6215826878279853,0.045448742386652224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הרל.תלבנד 20 צמ,IL0051172703,ISIN,"אג""ח קונצרני",ישראל,ישראל,סחיר,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמודות",לא,ILS,89937.0,1.0,145.54,130.89431,0.000199208683,0.008099681054913961,0.0005922306474866053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,NASDAQ 100י.IBI,IL0051277668,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,1517580.0,1.0,311.57,4728.32401,0.001861730578,0.29258656396364224,0.02139327821025041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,NIKKEI 225 קסם,IL0051360647,ISIN,מניות,ישראל,יפן,סחיר,TASE,"NIKKEI 225 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אסיה יפן",לא,ILS,4650.0,1.0,24999.98,1162.49907,5.7349088340659e-05,0.07193491981151894,0.005259721197420091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,CIFC Global Floating Rate Cred,635400NLI1L,LEI,CIFC GLBL FLT RT CR-B1 USD,IE0009SO3I10,ISIN,אחר,"חו""ל",גלובלי,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,19.41,3.306,145970.1,93.66822,0.00050114895,0.005796147341939563,0.000423801390446367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,SP 500 תכלית,IL0051139983,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,296000.0,1.0,784.04,2320.7584,0.000226374633,0.4865860785751682,0.021331587409038157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,NASDAQ 100י.IBI,IL0051277668,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,307400.0,1.0,311.57,957.76618,0.000377110913,0.20081180777719845,0.008803446746585328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,STOXX-E600י.IBI,IL0051307523,ISIN,מניות,ישראל,אירופה,סחיר,TASE,"STOXX EUROPE 600 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה כללי",לא,ILS,897350.0,1.0,160.67,1441.77224,0.005317488743,0.3022918285936771,0.013252258641608165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,CIFC Global Floating Rate Cred,635400NLI1L,LEI,CIFC GLBL FLT RT CR-B1 USD,IE0009SO3I10,ISIN,אחר,"חו""ל",גלובלי,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,10.19,3.306,145970.1,49.17461,0.000263096744,0.010310285053956177,0.0004519955595206989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13921.0,CIFC Global Floating Rate Cred,635400NLI1L,LEI,CIFC GLBL FLT RT CR-B1 USD,IE0009SO3I10,ISIN,אחר,"חו""ל",גלובלי,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,3.88,3.306,145970.1,18.72399,0.000100178151,1.0,0.000476941293663704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13922.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,SP 500 תכלית,IL0051139983,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,507310.0,1.0,784.04,3977.51332,0.000387980118,0.3497123664324249,0.02131068165331445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13922.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,"תכלית ת""א 125",IL0051146574,ISIN,מניות,ישראל,ישראל,סחיר,TASE,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,125000.0,1.0,286.8,358.5,7.68846000841068e-05,0.031520166817700146,0.0019207677657037312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13922.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,S&P 500י.IBI,IL0051274699,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,555235.0,1.0,247.57,1374.59529,0.000376114572,0.12085766484693139,0.007364793093222239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13922.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,NASDAQ 100י.IBI,IL0051277668,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,1251000.0,1.0,311.57,3897.7407,0.001534696657,0.34269856925003994,0.020883276696322166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13922.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,STOXX-E600י.IBI,IL0051307523,ISIN,מניות,ישראל,אירופה,סחיר,TASE,"STOXX EUROPE 600 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה כללי",לא,ILS,1098725.0,1.0,160.67,1765.32146,0.00651079046,0.15521123265290368,0.009458221914848113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13923.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם תל בונד 20,IL0051155898,ISIN,"אג""ח קונצרני",ישראל,ישראל,סחיר,TASE,"20 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,0.52,1.0,149.78,0.00078,1.55325135893961e-09,0.00039406875994644705,2.7178210200291704e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13923.0,CIFC Global Floating Rate Cred,635400NLI1L,LEI,CIFC GLBL FLT RT CR-B1 USD,IE0009SO3I10,ISIN,אחר,"חו""ל",גלובלי,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,0.41,3.306,145970.1,1.97857,1.05858356355374e-05,0.9996059312400536,0.0006894101455896303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13925.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,NASDAQ 100 הראל,IL0051292832,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב - מדד אחר",לא,ILS,140300.0,1.0,326.5,458.0795,9.73163811388091e-05,0.2574677258249679,0.01443292212313328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13925.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,STOXX-E600י.IBI,IL0051307523,ISIN,מניות,ישראל,אירופה,סחיר,TASE,"STOXX EUROPE 600 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה כללי",לא,ILS,822240.0,1.0,160.67,1321.09301,0.004872404239,0.7425322741750321,0.04162428689942627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13927.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכ.TTFתלבונד20,IL0051154727,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"20 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,535280.0,1.0,109.22,584.63282,0.003038257242,0.38066234707524094,0.0245108992669825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13927.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,S&P 500 קסם,IL0051244825,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,39000.0,1.0,299.6,116.844,8.94566403664144e-06,0.07607871087644283,0.00489871833393018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13927.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,S&P 500י.IBI,IL0051274699,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,189100.0,1.0,247.57,468.15487,0.000128095789,0.3048219763113954,0.019627527684671017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13927.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,S&P 500 הראל,IL0051292758,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,9220.0,1.0,242.57,22.36495,2.85835342783695e-06,0.014562121844648421,0.0009376569665745079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13927.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,STOXX-E600י.IBI,IL0051307523,ISIN,מניות,ישראל,אירופה,סחיר,TASE,"STOXX EUROPE 600 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה כללי",לא,ILS,214000.0,1.0,160.67,343.8338,0.001268114549,0.22387484389227236,0.014415331038691614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,SP 500 תכלית,IL0051139983,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,34770.0,1.0,784.04,272.61071,2.65913716084912e-05,0.19953887104946944,0.02530281149664945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,S&P 500 מח MTF,IL0051226277,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,66050.0,1.0,315.4,208.3217,3.0889781536802e-05,0.15248218543250283,0.01933572127728055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF מח SP500 ממ,IL0051258692,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב - מדד אחר",לא,ILS,169390.0,1.0,230.66,390.71497,0.000119127215,0.2859859174862474,0.03626485267152213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,NASDAQ 100י.IBI,IL0051277668,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,50770.0,1.0,311.57,158.18409,6.22834127139129e-05,0.11578369293190156,0.014682116528140186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,NASDAQ 100 הראל,IL0051292832,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב - מדד אחר",לא,ILS,31320.0,1.0,326.5,102.2598,2.17245121686921e-05,0.07484960897444028,0.009491411555639444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,STOXX-E600י.IBI,IL0051307523,ISIN,מניות,ישראל,אירופה,סחיר,TASE,"STOXX EUROPE 600 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה כללי",לא,ILS,145710.0,1.0,160.67,234.11226,0.000863443789,0.1713597241254383,0.02172951452947166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14338.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,SP 500 תכלית,IL0051139983,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,3566.0,1.0,784.04,27.95887,2.7272025066402e-06,0.594786430918061,0.01706780071443354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14338.0,אי.בי.אי קרנות נאמנות בעמ,513765339,ח.פ.,S&P 500י.IBI,IL0051274699,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,1980.0,1.0,247.57,4.90189,1.34124623451894e-06,0.1042809547686632,0.0029924128422956515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
