מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,תשואה לפדיון,שיעור ריבית,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,"אגד חברה לתחבורה בע""מ",516041118.0,ח.פ.,אגד אגח -1רמ,IL0011987877,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2022-10-03,ilAA-,S&P מעלות,נייר ערך,ILS,2.3,2029-12-31,0.0286,0.0364,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,1306450.0,1.0,108.84,1421.94018,ריק במקור,ריק במקור,שווי הוגן,0.010567772755506891,0.0002767810309404288,,,,,,,,,,,,,,
13908.0,13909.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח -2רמ,IL0012058975,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,בנקים,לא,2024-12-22,ilAAA,S&P מעלות,מנפיק,ILS,4.24,2030-08-25,0.0605,0.068,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,4648031.3,1.0,101.46,4715.89256,ריק במקור,ריק במקור,שווי הוגן,0.035048226088853926,0.0009179497301785917,,,,,,,,,,,,,,
13908.0,13909.0,"מכלול מימון נדל""ן בע""מ",515759777.0,ח.פ.,מכלול נד אגח1רמ,IL0012071416,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אשראי חוץ בנקאי,לא,2024-06-03,NR,NR,NR,ILS,1.07,2026-11-30,0.0553,0.07,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,1029462.78,1.0,103.36,1064.05273,ריק במקור,ריק במקור,שווי הוגן,0.007907975039088305,0.0002071181444386625,,,,,,,,,,,,,,
13908.0,13909.0,"גב-ים נגב בע""מ",514189596.0,ח.פ.,גב-יםנגב אגב-רמ,IL0012084534,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2024-07-11,ilA+,S&P מעלות,נייר ערך,ILS,2.9,2028-12-31,0.0348,0.0384,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,4494000.0,1.0,106.65,4792.851,ריק במקור,ריק במקור,שווי הוגן,0.03562017652458766,0.0009329297108151659,,,,,,,,,,,,,,
13908.0,13909.0,"בנק הפועלים בע""מ",520000118.0,ח.פ.,פועלים אגח -1רמ,IL0012117474,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,בנקים,לא,2024-09-24,ilAAA,S&P מעלות,מנפיק,ILS,1.91,2027-09-30,0.0573,0.0675,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,3868684.5,1.0,101.09,3910.85316,ריק במקור,ריק במקור,שווי הוגן,0.02906522233237409,0.0007612485987149148,,,,,,,,,,,,,,
13908.0,13909.0,עלמדב אינק.,2624970.0,LEI,עלמדב אגח ג-רמ,IL0012118878,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,קנדה,לא סחיר,בנייה,לא,2024-09-30,NR,NR,NR,ILS,3.01,2029-04-30,0.0889,0.095,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,10000000.0,1.0,106.35,10635.0,ריק במקור,ריק במקור,שווי הוגן,0.07903867183415253,0.0020701055539843177,,,,,,,,,,,,,,
13908.0,13909.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח -3רמ,IL0012150293,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,בנקים,לא,2024-12-22,ilAAA,S&P מעלות,מנפיק,ILS,3.25,2035-05-24,0.0364,0.0369,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,19076333.04,1.0,103.39,19723.02073,ריק במקור,ריק במקור,שווי הוגן,0.14658028801661097,0.0038390911851923677,,,,,,,,,,,,,,
13908.0,13909.0,"מכלול מימון נדל""ן בע""מ",515759777.0,ח.פ.,מכלול נד אגח2רמ,IL0012151937,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אשראי חוץ בנקאי,לא,2024-12-25,NR,NR,NR,ILS,2.07,2028-01-02,0.0708,0.07508,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,4678969.13,1.0,101.45,4746.81418,ריק במקור,ריק במקור,שווי הוגן,0.03527803368412994,0.0009239686316642703,,,,,,,,,,,,,,
13908.0,13909.0,"מימון ישיר נדל""ן ומשכנתאות הנפ",517014023.0,ח.פ.,ממון משהנ אג1רמ,IL0012152687,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אשראי חוץ בנקאי,לא,2024-12-29,ilAA+,S&P מעלות,נייר ערך,ILS,10.42,2054-02-20,0.0476,0.05,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,7022282.59,1.0,106.71,7493.47775,ריק במקור,ריק במקור,שווי הוגן,0.05569106993688516,0.0014586074197398126,,,,,,,,,,,,,,
13908.0,13909.0,קרן שמש נכסים שותפות מוגבלת,540333101.0,מספר שותפות,קרן שמש אגחא-רמ,IL0012153008,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אנרגיה מתחדשת,לא,2025-01-02,ilA,S&P מעלות,נייר ערך,ILS,7.89,2043-12-31,0.0402,0.039,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,3435880.0,1.0,103.28,3548.57686,ריק במקור,ריק במקור,שווי הוגן,0.026372806950240475,0.0006907314214035007,,,,,,,,,,,,,,
13908.0,13909.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח -4רמ,IL0012219288,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,בנקים,לא,2025-05-21,ilAAA,S&P מעלות,מנפיק,ILS,3.34,2029-06-24,0.0649,0.067,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,19773518.38,1.0,99.38,19650.92257,ריק במקור,ריק במקור,שווי הוגן,0.14604445888562023,0.003825057259339236,,,,,,,,,,,,,,
13908.0,13909.0,"מת""ם - מרכז תעשיות מדע חיפה בע",510687403.0,ח.פ.,"מת""ם אגח ב-רמ",IL0012235367,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2025-06-24,ilAA,S&P מעלות,נייר ערך,ILS,5.24,2035-07-01,0.0348,0.034,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,2038000.0,1.0,102.03,2079.3714,ריק במקור,ריק במקור,שווי הוגן,0.01545376151442617,0.000404750191249285,,,,,,,,,,,,,,
13908.0,13909.0,"הראל חברה לביטוח בע""מ",520004078.0,ח.פ.,הראלבט אגח ב-רמ,IL0012248154,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,ביטוח,לא,2025-07-08,NR,NR,NR,ILS,3.19,2029-03-25,0.0586,0.0608,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,1977698.06,1.0,99.22,1962.27202,ריק במקור,ריק במקור,שווי הוגן,0.014583486059061552,0.00038195676605830053,,,,,,,,,,,,,,
13908.0,13909.0,"מכלול מימון נדל""ן בע""מ",515759777.0,ח.פ.,מכלול נד אגח3רמ,IL0012253667,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אשראי חוץ בנקאי,לא,2025-07-20,NR,NR,NR,ILS,3.89,2030-04-01,0.0709,0.0685,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,1971475.8,1.0,99.18,1955.3097,ריק במקור,ריק במקור,שווי הוגן,0.01453174252115047,0.00038060154863464124,,,,,,,,,,,,,,
13908.0,13909.0,"מימון ישיר נדל""ן ומשכנתאות הנפ",517112074.0,ח.פ.,ממון מש2 אג א-מ,IL0012257882,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אשראי חוץ בנקאי,לא,2025-07-29,ilAA+,S&P מעלות,נייר ערך,ILS,10.21,2054-06-21,0.051,0.0525,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,2975292.35,1.0,103.96,3093.11393,ריק במקור,ריק במקור,שווי הוגן,0.022987834213344226,0.0006020754419933484,,,,,,,,,,,,,,
13908.0,13909.0,"מימון ישיר נדל""ן ומשכנתאות הנפ",517112074.0,ח.פ.,ממון מש2 אג ב-מ,IL0012257965,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אשראי חוץ בנקאי,לא,2025-07-29,ilAA+,S&P מעלות,נייר ערך,ILS,7.35,2054-06-21,0.0783,0.078,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,1616250.98,1.0,100.1,1617.86723,ריק במקור,ריק במקור,שווי הוגן,0.012023890650042255,0.0003149182828803219,,,,,,,,,,,,,,
13908.0,13909.0,"בנק הפועלים בע""מ",520000118.0,ח.פ.,פועלים אגח -2רמ,IL0012275454,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,בנקים,לא,2025-08-27,ilAAA,S&P מעלות,מנפיק,ILS,2.87,2028-11-07,0.0647,0.07989,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,25000000.0,1.0,99.52,24880.0,ריק במקור,ריק במקור,שווי הוגן,0.1849066436515012,0.004842898559767731,,,,,,,,,,,,,,
13908.0,13909.0,"ישראכרט בע""מ",510706153.0,ח.פ.,ישראכרט אגחג-רמ,IL0012283375,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים פיננסיים,לא,2025-09-08,ilAA-,S&P מעלות,נייר ערך,ILS,5.41,2036-09-10,0.0408,0.0384,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,500000.0,1.0,99.66,498.3,ריק במקור,ריק במקור,שווי הוגן,0.003703335230367486,9.6994226379914e-05,,,,,,,,,,,,,,
13908.0,13909.0,"כלל תעשיות בע""מ",520021874.0,ח.פ.,כלל תעשאג טז-רמ,IL0060802381,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2022-10-03,ilA,S&P מעלות,נייר ערך,ILS,1.46,2027-06-30,0.0603,0.0447,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,5200000.73,1.0,100.02,5201.04073,ריק במקור,ריק במקור,שווי הוגן,0.0386538177202192,0.0010123839493814432,,,,,,,,,,,,,,
13908.0,13910.0,"מקורות חברת מים בע""מ",520010869.0,ח.פ.,מקורות אגח -6רמ,IL0011009086,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2006-12-26,ilAAA,S&P מעלות,נייר ערך,ILS,4.98,2036-12-25,0.0256,0.049,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,601000.0,1.0,164.64,989.4864,ריק במקור,ריק במקור,שווי הוגן,0.013739078705349126,0.00039492713925421444,,,,,,,,,,,,,,
13908.0,13910.0,"מקורות חברת מים בע""מ",520010869.0,ח.פ.,מקורות אגח -8רמ,IL0011243461,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2023-02-02,ilAAA,S&P מעלות,נייר ערך,ILS,9.45,2048-07-14,0.0282,0.041,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,442307.78,1.0,139.55,617.24051,ריק במקור,ריק במקור,שווי הוגן,0.008570421935076454,0.0002463551079086204,,,,,,,,,,,,,,
13908.0,13910.0,"מת""ם - מרכז תעשיות מדע חיפה בע",510687403.0,ח.פ.,"מת""ם אגח א -רמ",IL0011389991,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2016-08-16,ilAA,S&P מעלות,נייר ערך,ILS,1.22,2027-06-30,0.0481,0.031,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,1846153.94,1.0,98.25,1813.84625,ריק במקור,ריק במקור,שווי הוגן,0.025185365244183616,0.0007239484146113425,,,,,,,,,,,,,,
13908.0,13910.0,"רפאל מערכות לחימה מתקדמות בע""מ",520042185.0,ח.פ.,רפאל אגח ד-רמ,IL0011402844,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,ביטחוניות,לא,2024-06-17,ilAAA,S&P מעלות,נייר ערך,ILS,4.41,2034-09-15,0.0501,0.0374,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,1555016.32,1.0,96.46,1499.96874,ריק במקור,ריק במקור,שווי הוגן,0.0208271569719638,0.0005986725673631781,,,,,,,,,,,,,,
13908.0,13910.0,"אורמת טכנולוגיות, אינק",880326081.0,LEI,אורמת אגח 4 -רמ,IL0011672123,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,"ארה""ב",לא סחיר,אנרגיה מתחדשת,לא,2022-10-03,ilAA-,S&P מעלות,נייר ערך,ILS,2.95,2031-06-15,0.0594,0.0335,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,160000.0,1.0,95.91,153.456,ריק במקור,ריק במקור,שווי הוגן,0.0021307458716037487,6.124787473723209e-05,,,,,,,,,,,,,,
13908.0,13910.0,רשות שדות התעופה בישראל.,500102868.0,ח.פ.,"רש""ת אגח א-רמ",IL0011873358,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2022-06-28,ilAAA,S&P מעלות,נייר ערך,ILS,3.26,2031-12-31,0.0258,0.0155,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,745776.32,1.0,108.19,806.8554,ריק במקור,ריק במקור,שווי הוגן,0.011203236188426594,0.00032203484041197017,,,,,,,,,,,,,,
13908.0,13910.0,רשות שדות התעופה בישראל.,500102868.0,ח.פ.,"רש""ת אגח ב-רמ",IL0011873432,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2022-06-28,ilAAA,S&P מעלות,נייר ערך,ILS,6.17,2036-12-31,0.0285,0.0175,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,947368.42,1.0,105.54,999.85263,ריק במקור,ריק במקור,שווי הוגן,0.01388301443791478,0.00039906454382971057,,,,,,,,,,,,,,
13908.0,13910.0,"איילון חברה לביטוח בע""מ",520030677.0,ח.פ.,איילון אגח ג-רמ,IL0011955775,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,ביטוח,לא,2022-11-22,ilBBB,S&P מעלות,נייר ערך,ILS,2.08,2030-12-31,0.0726,0.0775,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,350000.0,1.0,104.94,367.29,ריק במקור,ריק במקור,שווי הוגן,0.005099843936902701,0.00014659401986392176,,,,,,,,,,,,,,
13908.0,13910.0,"עוגן-אג""ח חברתית 2 בע""מ (חל""צ)",516556545.0,ח.פ.,עוגן אגחא-רמ,IL0011968315,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אשראי חוץ בנקאי,לא,2022-11-22,ilAA,S&P מעלות,נייר ערך,ILS,0.33,2026-03-15,0.067,0.065,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,97656.89,1.0,100.62,98.26236,ריק במקור,ריק במקור,שווי הוגן,0.0013643788310919178,3.9218803544109096e-05,,,,,,,,,,,,,,
13908.0,13910.0,"מקס איט פיננסים בע""מ",512905423.0,ח.פ.,מקס איט הת ד-רמ,IL0011979536,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים פיננסיים,לא,2023-07-18,ilA+,S&P מעלות,נייר ערך,ILS,2.87,2028-11-16,0.0667,0.0733,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,500000.0,1.0,105.83,529.15,ריק במקור,ריק במקור,שווי הוגן,0.007347279858455346,0.00021119612734077757,,,,,,,,,,,,,,
13908.0,13910.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח 1 ר-מ,IL0011986390,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,בנקים,לא,2023-08-07,ilAAA,S&P מעלות,מנפיק,ILS,1.19,2026-12-24,0.0639,0.068,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,148570.81,1.0,100.51,149.32852,ריק במקור,ריק במקור,שווי הוגן,0.002073435561351122,5.960050104040414e-05,,,,,,,,,,,,,,
13908.0,13910.0,"אגד חברה לתחבורה בע""מ",516041118.0,ח.פ.,אגד אגח -1רמ,IL0011987877,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2022-10-03,ilAA-,S&P מעלות,נייר ערך,ILS,2.3,2029-12-31,0.0286,0.0364,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,510000.0,1.0,108.84,555.084,ריק במקור,ריק במקור,שווי הוגן,0.007707375022112496,0.00022154699262747456,,,,,,,,,,,,,,
13908.0,13910.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח -2רמ,IL0012058975,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,בנקים,לא,2024-12-22,ilAAA,S&P מעלות,מנפיק,ILS,4.24,2030-08-25,0.0605,0.068,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,2633884.39,1.0,101.46,2672.3391,ריק במקור,ריק במקור,שווי הוגן,0.0371055905591849,0.0010665929677054502,,,,,,,,,,,,,,
13908.0,13910.0,"מכלול מימון נדל""ן בע""מ",515759777.0,ח.פ.,מכלול נד אגח1רמ,IL0012071416,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אשראי חוץ בנקאי,לא,2024-06-03,NR,NR,NR,ILS,1.07,2026-11-30,0.0553,0.07,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,582714.78,1.0,103.36,602.294,ריק במקור,ריק במקור,שווי הוגן,0.008362888736782583,0.00024038960657769305,,,,,,,,,,,,,,
13908.0,13910.0,"גב-ים נגב בע""מ",514189596.0,ח.פ.,גב-יםנגב אגב-רמ,IL0012084534,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2024-07-11,ilA+,S&P מעלות,נייר ערך,ILS,2.9,2028-12-31,0.0348,0.0384,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,3000000.0,1.0,106.65,3199.5,ריק במקור,ריק במקור,שווי הוגן,0.044425251643443034,0.0012769951987656012,,,,,,,,,,,,,,
