מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13910.0,"ארי נדל""ן (ארנה) השקעות בע""מ",520038332.0,ח.פ.,ארי נדלן אפ 1,IL0012123498,ISIN,ישראל,ישראל,סחיר,TASE,IL0003660136,"נדל""ן מניב בישראל",2027-09-27,לא,ILS,285.242,1.0,46250.0,1.0,59.6,27.565,0.009491053359177142,1.1001835491162306e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"שובל הנדסה ובניין בע""מ",512951518.0,ח.פ.,שובל הנדסה אפ 1,IL0012159617,ISIN,ישראל,ישראל,סחיר,TASE,IL0012079682,בנייה,2027-01-10,לא,ILS,1023.0,1.0,10000.0,1.0,223.2,22.32,0.007685119208301607,8.908433454117273e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"קבוצת חג'ג' ייזום נדל""ן בע""מ",520033309.0,ח.פ.,חג'ג' אפ 1,IL0012166547,ISIN,ישראל,ישראל,סחיר,TASE,IL0008230133,בנייה,2026-07-30,לא,ILS,3230.0,1.0,15856.0,1.0,158.2,25.08419,0.008636872329466267,1.0011686261892204e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"נאייקס בע""מ",513639013.0,ח.פ.,נאייקס אפ 1,IL0012189812,ISIN,ישראל,ישראל,סחיר,TASE,IL0011751166,תוכנה ואינטרנט,2027-03-31,לא,ILS,16357.404,1.0,2952.0,1.0,2797.0,82.56744,0.02842923920807753,3.29545942973486e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"מגידו י.ק. בע""מ",510542855.0,ח.פ.,מגידו אפ 1,IL0012251844,ISIN,ישראל,ישראל,סחיר,TASE,IL0012166059,בנייה,2029-07-12,לא,ILS,850.0,1.0,60500.0,1.0,215.8,130.559,0.04495347126866709,5.210914710287173e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,"נאוויטס פטרוליום, שותפות מוגבל",550263107.0,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,11928.208,1.0,5542.0,1.0,1609.0,89.17078,0.0307028707077615,3.559014156280159e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,"אלומיי קפיטל בע""מ",520039868.0,ח.פ.,אלומיי אפ 2,IL0012030826,ISIN,ישראל,ישראל,סחיר,TASE,IL0010826357,אנרגיה מתחדשת,2028-01-05,לא,ILS,8000.0,1.0,576.0,1.0,646.6,3.72442,0.00582965268438772,4.509755823660057e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,"מיטב טרייד השקעות בע""מ",516854239.0,ח.פ.,מיטב טרייד אפ 1,IL0012031998,ISIN,ישראל,ישראל,סחיר,TASE,IL0012031816,שירותים פיננסיים,2028-01-18,לא,ILS,699.031,1.0,32000.0,1.0,1568.0,501.76,0.7853804165261659,0.0006075617363454364,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,"אפי קפיטל נדל""ן בע""מ",513948216.0,ח.פ.,אפי קפיטל אפ 1,IL0012042136,ISIN,ישראל,ישראל,סחיר,TASE,IL0011814378,בנייה,2026-02-15,לא,ILS,1157.914,1.0,5000.0,1.0,530.8,26.54,0.041541765494667655,3.213625733938114e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,"ארי נדל""ן (ארנה) השקעות בע""מ",520038332.0,ח.פ.,ארי נדלן אפ 1,IL0012123498,ISIN,ישראל,ישראל,סחיר,TASE,IL0003660136,"נדל""ן מניב בישראל",2027-09-27,לא,ILS,285.242,1.0,17390.0,1.0,59.6,10.36444,0.016222951618822652,1.2549898681935776e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,"שובל הנדסה ובניין בע""מ",512951518.0,ח.פ.,שובל הנדסה אפ 1,IL0012159617,ISIN,ישראל,ישראל,סחיר,TASE,IL0012079682,בנייה,2027-01-10,לא,ILS,1023.0,1.0,2500.0,1.0,223.2,5.58,0.00873410141146366,6.756605725461446e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,"קבוצת חג'ג' ייזום נדל""ן בע""מ",520033309.0,ח.פ.,חג'ג' אפ 1,IL0012166547,ISIN,ישראל,ישראל,סחיר,TASE,IL0008230133,בנייה,2026-07-30,לא,ILS,3230.0,1.0,7904.0,1.0,158.2,12.50413,0.019572103849843203,1.5140766370952371e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,"סולאיר אנרגיות מתחדשות בע""מ",516046307.0,ח.פ.,סולאיר אפ 1,IL0012179185,ISIN,ישראל,ישראל,סחיר,TASE,IL0011722878,אנרגיה מתחדשת,2026-08-31,לא,ILS,4152.0,1.0,7070.0,1.0,492.0,34.7844,0.05444632206754776,4.2119081755688375e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,"מגידו י.ק. בע""מ",510542855.0,ח.פ.,מגידו אפ 1,IL0012251844,ISIN,ישראל,ישראל,סחיר,TASE,IL0012166059,בנייה,2029-07-12,לא,ILS,850.0,1.0,12100.0,1.0,215.8,26.1118,0.040871524952662504,3.161776655593265e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,"נאוויטס פטרוליום, שותפות מוגבל",550263107.0,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,11928.208,1.0,1088.0,1.0,1609.0,17.50592,0.02740116139443905,2.1197240018184595e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,"מיטב טרייד השקעות בע""מ",516854239.0,ח.פ.,מיטב טרייד אפ 1,IL0012031998,ISIN,ישראל,ישראל,סחיר,TASE,IL0012031816,שירותים פיננסיים,2028-01-18,לא,ILS,699.031,1.0,592000.0,1.0,1568.0,9282.56,0.7876006480729089,0.0026553698324177735,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,"אפי קפיטל נדל""ן בע""מ",513948216.0,ח.פ.,אפי קפיטל אפ 1,IL0012042136,ISIN,ישראל,ישראל,סחיר,TASE,IL0011814378,בנייה,2026-02-15,לא,ILS,1157.914,1.0,92500.0,1.0,530.8,490.99,0.041659202008639595,0.00014045263742101346,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,"שובל הנדסה ובניין בע""מ",512951518.0,ח.פ.,שובל הנדסה אפ 1,IL0012159617,ISIN,ישראל,ישראל,סחיר,TASE,IL0012079682,בנייה,2027-01-10,לא,ILS,1023.0,1.0,15000.0,1.0,223.2,33.48,0.0028406893892935774,9.577291392605816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,"בלדי בע""מ",511226136.0,ח.פ.,בלדי אפ 1,IL0012166620,ISIN,ישראל,ישראל,סחיר,TASE,IL0012125394,מסחר,2028-01-31,לא,ILS,2732.245,1.0,125000.0,1.0,1024.0,1280.0,0.10860461225495159,0.0003661568991199357,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,"אמות השקעות בע""מ",520026683.0,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,לא,ILS,2768.747,1.0,58650.0,1.0,169.8,99.5877,0.008449752768642533,2.8488065173817514e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,"מגידו י.ק. בע""מ",510542855.0,ח.פ.,מגידו אפ 1,IL0012251844,ISIN,ישראל,ישראל,סחיר,TASE,IL0012166059,בנייה,2029-07-12,לא,ILS,850.0,1.0,184184.0,1.0,215.8,397.46907,0.0337241986177236,0.00011370003294319113,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13912.0,"נאוויטס פטרוליום, שותפות מוגבל",550263107.0,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,11928.208,1.0,12541.0,1.0,1609.0,201.78469,0.01712089688784032,5.7722544047091795e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13913.0,"אלומיי קפיטל בע""מ",520039868.0,ח.פ.,אלומיי אפ 2,IL0012030826,ISIN,ישראל,ישראל,סחיר,TASE,IL0010826357,אנרגיה מתחדשת,2028-01-05,לא,ILS,8000.0,1.0,240.0,1.0,646.6,1.55184,0.06538696684850781,4.2095726042343016e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13913.0,"ארי נדל""ן (ארנה) השקעות בע""מ",520038332.0,ח.פ.,ארי נדלן אפ 1,IL0012123498,ISIN,ישראל,ישראל,סחיר,TASE,IL0003660136,"נדל""ן מניב בישראל",2027-09-27,לא,ILS,285.242,1.0,1110.0,1.0,59.6,0.66156,0.027874910936887067,1.794569576797379e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13913.0,"שובל הנדסה ובניין בע""מ",512951518.0,ח.פ.,שובל הנדסה אפ 1,IL0012159617,ISIN,ישראל,ישראל,סחיר,TASE,IL0012079682,בנייה,2027-01-10,לא,ILS,1023.0,1.0,500.0,1.0,223.2,1.116,0.047022795522047835,3.0272985786714354e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13913.0,"קבוצת חג'ג' ייזום נדל""ן בע""מ",520033309.0,ח.פ.,חג'ג' אפ 1,IL0012166547,ISIN,ישראל,ישראל,סחיר,TASE,IL0008230133,בנייה,2026-07-30,לא,ILS,3230.0,1.0,560.0,1.0,158.2,0.88592,0.03732834678216184,2.4031759469682778e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13913.0,"בלדי בע""מ",511226136.0,ח.פ.,בלדי אפ 1,IL0012166620,ISIN,ישראל,ישראל,סחיר,TASE,IL0012125394,מסחר,2028-01-31,לא,ILS,2732.245,1.0,500.0,1.0,1024.0,5.12,0.21573182174989686,0.00013888681651252462,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13913.0,"סולאיר אנרגיות מתחדשות בע""מ",516046307.0,ח.פ.,סולאיר אפ 1,IL0012179185,ISIN,ישראל,ישראל,סחיר,TASE,IL0011722878,אנרגיה מתחדשת,2026-08-31,לא,ILS,4152.0,1.0,500.0,1.0,492.0,2.46,0.10365239873139576,6.673077512125206e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13913.0,"נאייקס בע""מ",513639013.0,ח.פ.,נאייקס אפ 1,IL0012189812,ISIN,ישראל,ישראל,סחיר,TASE,IL0011751166,תוכנה ואינטרנט,2027-03-31,לא,ILS,16357.404,1.0,150.0,1.0,2797.0,4.1955,0.1767779019827524,0.00011380852317935489,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13913.0,"מגידו י.ק. בע""מ",510542855.0,ח.פ.,מגידו אפ 1,IL0012251844,ISIN,ישראל,ישראל,סחיר,TASE,IL0012166059,בנייה,2029-07-12,לא,ILS,850.0,1.0,3036.0,1.0,215.8,6.55169,0.27605625375792614,0.00017772331384315282,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13913.0,"נאוויטס פטרוליום, שותפות מוגבל",550263107.0,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,11928.208,1.0,74.0,1.0,1609.0,1.19066,0.05016860368842426,3.2298237685313e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13916.0,"אלומיי קפיטל בע""מ",520039868.0,ח.פ.,אלומיי אפ 2,IL0012030826,ISIN,ישראל,ישראל,סחיר,TASE,IL0010826357,אנרגיה מתחדשת,2028-01-05,לא,ILS,8000.0,1.0,576.0,1.0,646.6,3.72442,0.3486719847814914,1.3867005943323532e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13916.0,"שובל הנדסה ובניין בע""מ",512951518.0,ח.פ.,שובל הנדסה אפ 1,IL0012159617,ISIN,ישראל,ישראל,סחיר,TASE,IL0012079682,בנייה,2027-01-10,לא,ILS,1023.0,1.0,1250.0,1.0,223.2,2.79,0.26119364559860625,1.0387911831069711e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13916.0,"נאוויטס פטרוליום, שותפות מוגבל",550263107.0,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,11928.208,1.0,259.0,1.0,1609.0,4.16731,0.39013436961990244,1.551600317302334e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"אלומיי קפיטל בע""מ",520039868.0,ח.פ.,אלומיי אפ 2,IL0012030826,ISIN,ישראל,ישראל,סחיר,TASE,IL0010826357,אנרגיה מתחדשת,2028-01-05,לא,ILS,8000.0,1.0,576.0,1.0,646.6,3.72442,0.01691126279785996,1.6851119564418518e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"אפי קפיטל נדל""ן בע""מ",513948216.0,ח.פ.,אפי קפיטל אפ 1,IL0012042136,ISIN,ישראל,ישראל,סחיר,TASE,IL0011814378,בנייה,2026-02-15,לא,ILS,1157.914,1.0,2500.0,1.0,530.8,13.27,0.060254336870600424,6.0040048281298496e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"ארי נדל""ן (ארנה) השקעות בע""מ",520038332.0,ח.פ.,ארי נדלן אפ 1,IL0012123498,ISIN,ישראל,ישראל,סחיר,TASE,IL0003660136,"נדל""ן מניב בישראל",2027-09-27,לא,ILS,285.242,1.0,3700.0,1.0,59.6,2.2052,0.010013026651623817,9.977416312729424e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"שובל הנדסה ובניין בע""מ",512951518.0,ח.פ.,שובל הנדסה אפ 1,IL0012159617,ISIN,ישראל,ישראל,סחיר,TASE,IL0012079682,בנייה,2027-01-10,לא,ILS,1023.0,1.0,2500.0,1.0,223.2,5.58,0.025336789731571243,2.5246681944961992e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"קבוצת חג'ג' ייזום נדל""ן בע""מ",520033309.0,ח.פ.,חג'ג' אפ 1,IL0012166547,ISIN,ישראל,ישראל,סחיר,TASE,IL0008230133,בנייה,2026-07-30,לא,ILS,3230.0,1.0,3168.0,1.0,158.2,5.01178,0.02275670538367278,2.267577341184975e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"בלדי בע""מ",511226136.0,ח.פ.,בלדי אפ 1,IL0012166620,ISIN,ישראל,ישראל,סחיר,TASE,IL0012125394,מסחר,2028-01-31,לא,ILS,2732.245,1.0,15000.0,1.0,1024.0,153.6,0.6974428141163697,0.000694962427732287,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"סולאיר אנרגיות מתחדשות בע""מ",516046307.0,ח.פ.,סולאיר אפ 1,IL0012179185,ISIN,ישראל,ישראל,סחיר,TASE,IL0011722878,אנרגיה מתחדשת,2026-08-31,לא,ILS,4152.0,1.0,500.0,1.0,492.0,2.46,0.011169982569832483,1.1130257631649909e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"נאייקס בע""מ",513639013.0,ח.פ.,נאייקס אפ 1,IL0012189812,ISIN,ישראל,ישראל,סחיר,TASE,IL0011751166,תוכנה ואינטרנט,2027-03-31,לא,ILS,16357.404,1.0,588.0,1.0,2797.0,16.44636,0.07467705468991469,7.441147313124463e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"מגידו י.ק. בע""מ",510542855.0,ח.פ.,מגידו אפ 1,IL0012251844,ISIN,ישראל,ישראל,סחיר,TASE,IL0012166059,בנייה,2029-07-12,לא,ILS,850.0,1.0,6380.0,1.0,215.8,13.76804,0.06251575887022619,6.229342775726065e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"נאוויטס פטרוליום, שותפות מוגבל",550263107.0,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,11928.208,1.0,259.0,1.0,1609.0,4.16731,0.0189222683183287,1.8854973142663e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"אלומיי קפיטל בע""מ",520039868.0,ח.פ.,אלומיי אפ 2,IL0012030826,ISIN,ישראל,ישראל,סחיר,TASE,IL0010826357,אנרגיה מתחדשת,2028-01-05,לא,ILS,8000.0,1.0,288.0,1.0,646.6,1.86221,0.0326009337661194,1.7116773287984197e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"אפי קפיטל נדל""ן בע""מ",513948216.0,ח.פ.,אפי קפיטל אפ 1,IL0012042136,ISIN,ישראל,ישראל,סחיר,TASE,IL0011814378,בנייה,2026-02-15,לא,ILS,1157.914,1.0,1000.0,1.0,530.8,5.308,0.09292494210135366,4.878925180974225e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"ארי נדל""ן (ארנה) השקעות בע""מ",520038332.0,ח.פ.,ארי נדלן אפ 1,IL0012123498,ISIN,ישראל,ישראל,סחיר,TASE,IL0003660136,"נדל""ן מניב בישראל",2027-09-27,לא,ILS,285.242,1.0,2405.0,1.0,59.6,1.43338,0.025093585815606317,1.3175120150536615e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"שובל הנדסה ובניין בע""מ",512951518.0,ח.פ.,שובל הנדסה אפ 1,IL0012159617,ISIN,ישראל,ישראל,סחיר,TASE,IL0012079682,בנייה,2027-01-10,לא,ILS,1023.0,1.0,1250.0,1.0,223.2,2.79,0.04884336632682305,2.5644689628707778e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"קבוצת חג'ג' ייזום נדל""ן בע""מ",520033309.0,ח.פ.,חג'ג' אפ 1,IL0012166547,ISIN,ישראל,ישראל,סחיר,TASE,IL0008230133,בנייה,2026-07-30,לא,ILS,3230.0,1.0,1600.0,1.0,158.2,2.5312,0.0443126626689801,2.3265891895406856e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"בלדי בע""מ",511226136.0,ח.פ.,בלדי אפ 1,IL0012166620,ISIN,ישראל,ישראל,סחיר,TASE,IL0012125394,מסחר,2028-01-31,לא,ILS,2732.245,1.0,2500.0,1.0,1024.0,25.6,0.44816852256869893,0.00023530611272219325,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"סולאיר אנרגיות מתחדשות בע""מ",516046307.0,ח.פ.,סולאיר אפ 1,IL0012179185,ISIN,ישראל,ישראל,סחיר,TASE,IL0011722878,אנרגיה מתחדשת,2026-08-31,לא,ILS,4152.0,1.0,500.0,1.0,492.0,2.46,0.04306619396558591,2.2611446769398255e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"נאייקס בע""מ",513639013.0,ח.פ.,נאייקס אפ 1,IL0012189812,ISIN,ישראל,ישראל,סחיר,TASE,IL0011751166,תוכנה ואינטרנט,2027-03-31,לא,ILS,16357.404,1.0,294.0,1.0,2797.0,8.22318,0.14395978247720598,7.558455156308144e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"מגידו י.ק. בע""מ",510542855.0,ח.פ.,מגידו אפ 1,IL0012251844,ISIN,ישראל,ישראל,סחיר,TASE,IL0012166059,בנייה,2029-07-12,לא,ILS,850.0,1.0,2376.0,1.0,215.8,5.12741,0.08976342829312393,4.712933263409769e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"נאוויטס פטרוליום, שותפות מוגבל",550263107.0,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,11928.208,1.0,111.0,1.0,1609.0,1.78599,0.03126658201650276,1.641618610393398e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13921.0,"אלומיי קפיטל בע""מ",520039868.0,ח.פ.,אלומיי אפ 2,IL0012030826,ISIN,ישראל,ישראל,סחיר,TASE,IL0010826357,אנרגיה מתחדשת,2028-01-05,לא,ILS,8000.0,1.0,120.0,1.0,646.6,0.77592,0.04963238821646558,1.9764392556262913e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13921.0,"אפי קפיטל נדל""ן בע""מ",513948216.0,ח.פ.,אפי קפיטל אפ 1,IL0012042136,ISIN,ישראל,ישראל,סחיר,TASE,IL0011814378,בנייה,2026-02-15,לא,ILS,1157.914,1.0,250.0,1.0,530.8,1.327,0.08488269301377696,3.380161475688329e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13921.0,"ארי נדל""ן (ארנה) השקעות בע""מ",520038332.0,ח.פ.,ארי נדלן אפ 1,IL0012123498,ISIN,ישראל,ישראל,סחיר,TASE,IL0003660136,"נדל""ן מניב בישראל",2027-09-27,לא,ILS,285.242,1.0,1110.0,1.0,59.6,0.66156,0.042317252743175805,1.6851391302610182e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
