מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13915.0,SPDR S&P 500 ETF Trust,7276839.0,LEI,SPDR S&P 500 ETF TRUST,US78462F1030,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",NYSE,Index Funds,לא,USD,1855.0,3.306,66618.0,3.396721113127,4096.66501,1.82357592807264e-06,0.06245168322451507,0.009449710223705316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13919.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,CSI300.קסם,IL0011627838,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,סין,TASE,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה - מדד אחר",לא,ILS,1150.0,1.0,27300.0,0.0,313.95,0.000400257557,1.0,0.001420465196527028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13920.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,CSI300.קסם,IL0011627838,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,סין,TASE,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה - מדד אחר",לא,ILS,365.0,1.0,27300.0,0.0,99.645,0.000127038268,1.0,0.0009159014688360524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13921.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,CSI300.קסם,IL0011627838,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,סין,TASE,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה - מדד אחר",לא,ILS,10.0,1.0,27300.0,0.0,2.73,3.48050049597132e-06,0.05821033290979809,6.953911702056622e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13921.0,SPDR S&P 500 ETF Trust,7276839.0,LEI,SPDR S&P 500 ETF TRUST,US78462F1030,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",NYSE,Index Funds,לא,USD,20.0,3.306,66618.0,0.036621294615,44.16889,1.96611959900016e-08,0.941789667090202,0.0011250789781606292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13922.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,STOX600.קסם,IL0011462087,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,אירופה,TASE,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אירופה - מדד אחר",לא,ILS,6390.0,1.0,51160.0,0.0,3269.124,0.003241680194,0.8081934705685595,0.01751528033832202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13922.0,אי.בי.אי קרנות נאמנות בעמ,513765339.0,ח.פ.,IBI.תא 125,IL0011488082,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,18650.0,1.0,3172.0,0.0,591.578,4.64770084905271e-05,0.14625002812129712,0.0031695507762886524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13922.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,CSI300.קסם,IL0011627838,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,סין,TASE,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה - מדד אחר",לא,ILS,675.0,1.0,27300.0,0.0,184.275,0.000234933783,0.045556501310143424,0.0009873067783125664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13923.0,"מיטב קרנות נאמנות בע""מ",513534974.0,ח.פ.,תכ.תלבונד60,IL0011451015,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,36879.0,1.0,392.09,0.0,144.59887,2.70827272493898e-05,0.5002510442649177,0.05038382671262378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13923.0,אי.בי.אי קרנות נאמנות בעמ,513765339.0,ח.פ.,IBI.תלבונד 60צד,IL0011480063,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,36796.0,1.0,392.58,0.0,144.45374,2.67663505033725e-05,0.49974895573508227,0.05033325781972162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13925.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,RUSS2000.קסם,IL0011457137,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"RUSSELL 2000 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,48735.0,1.0,8022.0,0.0,3909.5217,0.004429676533,0.2060093001382457,0.12317910370317736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13925.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,STOX600.קסם,IL0011462087,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,אירופה,TASE,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אירופה - מדד אחר",לא,ILS,4395.0,1.0,51160.0,0.0,2248.482,0.002229606331,0.11848206474808491,0.07084395962112901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13925.0,אי.בי.אי קרנות נאמנות בעמ,513765339.0,ח.פ.,SP500.IBI,IL0011481624,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,15230.0,1.0,21730.0,0.0,3309.479,0.000152899497,0.1743905021967831,0.10427328154860675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13925.0,"הראל קרנות נאמנות בע""מ",511776783.0,ח.פ.,SP500.הרל,IL0011490203,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,28157.0,1.0,2569.0,0.0,723.35333,7.43345093948384e-05,0.03811655867416454,0.022791027058401716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13925.0,"הראל קרנות נאמנות בע""מ",511776783.0,ח.פ.,NDX 100.הרל,IL0011490385,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,25077.0,1.0,8617.0,0.0,2160.88509,0.00025279968,0.11386621158032455,0.06808400336843246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13925.0,"הראל קרנות נאמנות בע""מ",511776783.0,ח.פ.,MSCI EM.הרל,IL0011493017,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,ישראל,TASE,"MSCI EMERGING MARKETS - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים כללי",לא,ILS,27100.0,1.0,5348.0,0.0,1449.308,0.004672413793,0.07637019299950698,0.04566401573620747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13925.0,"מגדל קרנות נאמנות בע""מ",511303661.0,ח.פ.,SP500.MTF,IL0011503336,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,32285.0,1.0,9467.0,0.0,3056.42095,0.000369816723,0.1610557989324812,0.09630006482905924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13925.0,אי.בי.אי קרנות נאמנות בעמ,513765339.0,ח.פ.,NASDAQ 100.IBI,IL0012004508,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,32893.0,1.0,6445.0,0.0,2119.95385,0.0065786,0.11170937073040917,0.06679436390776398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13927.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,RUSS2000.קסם,IL0011457137,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"RUSSELL 2000 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,770.0,1.0,8022.0,0.0,61.7694,6.99877076135355e-05,0.6371001337851078,0.0025896998755252035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13927.0,"הראל קרנות נאמנות בע""מ",511776783.0,ח.פ.,MSCI EM.הרל,IL0011493017,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,ישראל,TASE,"MSCI EMERGING MARKETS - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים כללי",לא,ILS,210.0,1.0,5348.0,0.0,11.2308,3.62068965517241e-05,0.1158363879609287,0.0004708545228227643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,13927.0,Ishares iBoxx $ Investment,78005.0,LEI,ISHARES GS$ INVESTOP CORP,US4642872422,ISIN,"עוקב אחר מדדים אחרים בחו""ל","חו""ל","ארה""ב",NYSE,Bond/Fixed Income Funds,לא,USD,65.0,3.306,11147.0,0.0,23.95379,2.27830354013319e-07,0.2470634782539636,0.001004269540927334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,"מיטב קרנות נאמנות בע""מ",513534974.0,ח.פ.,SP500.תכ,IL0011443855,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,455.0,1.0,25890.0,0.0,117.7995,1.13579026651706e-05,0.06634023378690461,0.010933754374138701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,"מיטב קרנות נאמנות בע""מ",513534974.0,ח.פ.,תכ.תלבונד60,IL0011451015,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,71225.0,1.0,392.09,0.0,279.2661,5.23053024305915e-05,0.15727213072005466,0.025920542467698555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,RUSS2000.קסם,IL0011457137,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"RUSSELL 2000 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,210.0,1.0,8022.0,0.0,16.8462,1.90875566218733e-05,0.009487144227445383,0.0015636077652079626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,MSCI EM.קסם,IL0011458127,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,ישראל,TASE,"MSCI EMERGING MARKETS - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים כללי",לא,ILS,6230.0,1.0,4406.0,0.0,274.4938,0.000151445944,0.15458455142047153,0.02547759359270586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,קסם.תלבונד 60 צ,IL0011462327,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמודות",לא,ILS,5384.0,1.0,3901.51,0.0,210.0573,7.47572195424036e-05,0.11829634583038093,0.019496813846364078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,אי.בי.אי קרנות נאמנות בעמ,513765339.0,ח.פ.,IBI.תא 125,IL0011488082,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,5000.0,1.0,3172.0,0.0,158.6,1.24603239920984e-05,0.08931753597089181,0.014720719898967295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,"הראל קרנות נאמנות בע""מ",511776783.0,ח.פ.,MSCI EM.הרל,IL0011493017,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,ישראל,TASE,"MSCI EMERGING MARKETS - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים כללי",לא,ILS,658.0,1.0,5348.0,0.0,35.18984,0.000113448275,0.01981759016399702,0.003266202887323299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,"הראל קרנות נאמנות בע""מ",511776783.0,ח.פ.,STOXX600.הרל,IL0011498719,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,אירופה,TASE,"MSCI AC WORLD INDEX - מניות בחו""ל - מניות כללי בחו""ל - חשופת מט""ח-מניות כללי בחו""ל",לא,ILS,2365.0,1.0,2884.0,0.0,68.2066,8.82849361410606e-05,0.03841138366300271,0.006330707779703043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,"מגדל קרנות נאמנות בע""מ",511303661.0,ח.פ.,MTF.תלבונד60,IL0011499964,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,42065.0,1.0,499.28,0.0,210.02213,0.000200309523,0.11827653941335636,0.019493549484958992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,"מגדל קרנות נאמנות בע""מ",511303661.0,ח.פ.,SP500.MTF,IL0011503336,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,354.0,1.0,9467.0,0.0,33.51318,4.05498281786942e-06,0.01887335851291912,0.0031105809312968018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,קסם.תלבונד ש 50,IL0011507626,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- שקלי",לא,ILS,2220.0,1.0,4241.12,0.0,94.15286,5.68986498949951e-05,0.053023338334251845,0.008738952583522586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,אי.בי.אי קרנות נאמנות בעמ,513765339.0,ח.פ.,IBI.כשתלבונד60צ,IL0011550766,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,35900.0,1.0,390.52,0.0,140.19668,0.000241541668,0.0789534805100858,0.013012585479477617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14337.0,אי.בי.אי קרנות נאמנות בעמ,513765339.0,ח.פ.,NASDAQ 100.IBI,IL0012004508,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,2131.0,1.0,6445.0,0.0,137.34295,0.0004262,0.07734636744623831,0.012747711835106371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14338.0,"מיטב קרנות נאמנות בע""מ",513534974.0,ח.פ.,SP500.תכ,IL0011443855,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,17.0,1.0,25890.0,0.0,4.4013,4.243611984789e-07,0.0031744905890342913,0.0026868221528422408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14338.0,"מיטב קרנות נאמנות בע""מ",513534974.0,ח.פ.,RUSS2000.תכ,IL0011444846,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"RUSSELL 2000 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,63.0,1.0,8885.0,0.0,5.59755,6.73561441152059e-06,0.004037300296877945,0.0034170861658242074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14338.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,RUSS2000.קסם,IL0011457137,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"RUSSELL 2000 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,1820.0,1.0,8022.0,0.0,146.0004,0.00016542549,0.10530454542867838,0.08912755527771984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13918.0,14338.0,"קסם קרנות נאמנות בע""מ",510938608.0,ח.פ.,MSCI EM.קסם,IL0011458127,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,ישראל,TASE,"MSCI EMERGING MARKETS - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים כללי",לא,ILS,1041.0,1.0,4406.0,0.0,45.86646,2.53058150623809e-05,0.033081736219371036,0.027999686638141574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
