שם גיליון,שם סעיף,מספר סעיף,מידע שניתן לדווח רק לרשות,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
מזומנים ושווי מזומנים,שער חליפין,5.54,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,שיעור ריבית,5.7,ü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,"שווי הוגן (באלפי ש""ח)",5.63,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,שיעור מנכסי אפיק ההשקעה,5.47,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,שיעור מסך נכסי ההשקעה,5.48,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מזומנים ושווי מזומנים,ריק במקור,ריק במקור,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,מספר מסלול,5.2,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,שם מנפיק,5.3,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,שם נייר ערך ,5.14,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,מספר נייר ערך,5.19,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,מאפיין עיקרי,5.26,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,"ישראל/חו""ל",5.27,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,מדינה לפי חשיפה כלכלית,5.28,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,זירת מסחר,5.3,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,דירוג,5.49,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,שם מדרג,5.51,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,מטבע פעילות,5.53,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,"מח""מ",5.69,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,מועד פדיון,5.75,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,שיעור ריבית,5.7,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,תשואה לפדיון,5.74,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,סכום לקבל (במטבע הפעילות),5.62,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,ערך נקוב (יחידות),5.58,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,שער חליפין,5.54,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,שער נייר הערך,5.55,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,"שווי הוגן (באלפי ש""ח)",5.63,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,"עלות מופחתת (באלפי ש""ח)",5.65,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,השיטה שיושמה בדוח הכספי,5.68,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,שיעור מערך נקוב מונפק,5.45,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,שיעור מנכסי אפיק ההשקעה,5.47,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,שיעור מסך נכסי ההשקעה,5.48,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב ממשלתיות,ריק במקור,ריק במקור,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,מספר מסלול,5.2,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,שם מנפיק,5.3,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,מספר מנפיק,5.6,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,סוג מספר מזהה מנפיק ,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,שם נייר ערך ,5.14,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,מספר נייר ערך,5.19,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,סוג מספר נייר ערך,5.24,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,מאפיין עיקרי,5.26,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,"ישראל/חו""ל",5.27,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,מדינה לפי חשיפה כלכלית,5.28,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,זירת מסחר,5.3,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,ענף מסחר,5.31,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,בעל עניין/צד קשור,5.36,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,דירוג,5.49,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,שם מדרג,5.51,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,דירוג נייר הערך/המנפיק ,5.52,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,מטבע פעילות,5.53,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,"מח""מ",5.69,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,ריבית עוגן,5.72,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,מועד פדיון,5.75,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,שיעור ריבית,5.7,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,תשואה לפדיון,5.74,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,נחיתות חוזית,5.76,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,האם סווג כחוב בעייתי,5.89,ü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,ערך נקוב (יחידות),5.58,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,סכום לקבל (במטבע הפעילות),5.62,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,שער חליפין,5.54,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,שער נייר הערך,5.55,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,"שווי הוגן (באלפי ש""ח)",5.63,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,"עלות מופחתת (באלפי ש""ח)",5.65,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,עלות מופחתת (במטבע הפעילות),5.66,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,השיטה שיושמה בדוח הכספי,5.68,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,שיעור מערך נקוב מונפק,5.45,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,שיעור מנכסי אפיק ההשקעה,5.47,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,שיעור מסך נכסי ההשקעה,5.48,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניירות ערך מסחריים,ריק במקור,ריק במקור,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,מספר מסלול,5.2,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,שם מנפיק,5.3,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,מספר מנפיק,5.6,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,סוג מספר מזהה מנפיק ,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,שם נייר ערך ,5.14,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,מספר נייר ערך,5.19,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,סוג מספר נייר ערך,5.24,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,מאפיין עיקרי,5.26,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,"ישראל/חו""ל",5.27,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,מדינה לפי חשיפה כלכלית,5.28,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,סטאטוס סחירות,5.29,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,זירת מסחר,5.3,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,ענף מסחר,5.31,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,בעל עניין/צד קשור,5.36,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,דירוג,5.49,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,שם מדרג,5.51,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,דירוג נייר הערך/המנפיק ,5.52,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,מטבע פעילות,5.53,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,"מח""מ",5.69,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,מועד פדיון,5.75,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,שיעור ריבית,5.7,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,תשואה לפדיון,5.74,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,נחיתות חוזית,5.76,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,האם סווג כחוב בעייתי,5.89,ü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,ערך נקוב (יחידות),5.58,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,סכום לקבל (במטבע הפעילות),5.62,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,שער חליפין,5.54,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,שער נייר הערך,5.55,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,"עלות מופחתת (באלפי ש""ח)",5.65,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,עלות מופחתת (במטבע הפעילות),5.66,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,השיטה שיושמה בדוח הכספי,5.68,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,שיעור מערך נקוב מונפק,5.45,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,שיעור מנכסי אפיק ההשקעה,5.47,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,שיעור מסך נכסי ההשקעה,5.48,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איגרות חוב,ריק במקור,ריק במקור,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",מספר קופה/קרן/ח.פ. עבור חברת ביטוח,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",מספר מסלול,5.2,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",שם מנפיק,5.3,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",מספר מנפיק,5.6,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",סוג מספר מזהה מנפיק ,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",שם נייר ערך ,5.14,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",מספר נייר ערך,5.19,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",סוג מספר נייר ערך,5.24,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",מאפיין עיקרי,5.26,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש","ישראל/חו""ל",5.27,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",מדינה לפי חשיפה כלכלית,5.28,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",סטאטוס סחירות,5.29,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",זירת מסחר,5.3,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",ענף מסחר,5.31,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",בעל עניין/צד קשור,5.36,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",מטבע פעילות,5.53,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",ערך נקוב (יחידות),5.58,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",סכום לקבל (במטבע הפעילות),5.62,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",שער חליפין,5.54,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",שער נייר הערך,5.55,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש","שווי הוגן (באלפי ש""ח)",5.63,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",שיעור מערך נקוב מונפק,5.45,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",שיעור מנכסי אפיק ההשקעה,5.47,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",שיעור מסך נכסי ההשקעה,5.48,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מניות, מב""כ ויה""ש",ריק במקור,ריק במקור,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות סל,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות סל,מספר מסלול,5.2,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות סל,שם מנפיק,5.3,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות סל,מספר מנפיק,5.6,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות סל,סוג מספר מזהה מנפיק ,5.1,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות סל,שם נייר ערך ,5.14,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות סל,מספר נייר ערך,5.19,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות סל,סוג מספר נייר ערך,5.24,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות סל,מאפיין עיקרי,5.26,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות סל,"ישראל/חו""ל",5.27,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות סל,מדינה לפי חשיפה כלכלית,5.28,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קרנות סל,זירת מסחר,5.3,ריק במקור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
