מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,שם נייר ערך,מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,דירוג,שם מדרג,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,סכום לקבל (במטבע הפעילות),ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
13908.0,13909.0,מדינת ישראל,ממשל שקלית 0432,IL0011806606,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,6.289,2032-04-30 00:00:00,0.013,0.0402,0,6000000,1,85.09,5105.4,ריק במקור,שווי הוגן,0.000155130787,0.010400524034080533,0.000993767456070666,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,מדינת ישראל,ממשל שקלית 1152,IL0011840761,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,17.257,2052-11-29 00:00:00,0.028,0.0461,0,300000,1,74.63,223.89,ריק במקור,שווי הוגן,1.06611509188615e-05,0.00045610007560431906,4.358024752999989e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,מדינת ישראל,ממשל שקלית 0229,IL0011948028,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,3.201,2029-02-28 00:00:00,0.0375,0.039,0,24517365,1,101.7,24934.1602,ריק במקור,שווי הוגן,0.000699988833,0.05079490978761983,0.004853440856977406,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,מדינת ישראל,ממשל צמודה 1028,IL0011973265,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,3.019,2028-10-31 00:00:00,0.011,0.0199,0,61415678,1,105.65,64885.66381,ריק במקור,שווי הוגן,0.001822631686,0.13218257255517188,0.0126300115681279,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,מדינת ישראל,ממשל שקלית 0335,IL0012023326,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,7.927,2035-03-30 00:00:00,0.04,0.041,0,49740330,1,101.25,50362.08412,ריק במקור,שווי הוגן,0.001398353765,0.10259569598786493,0.00980299295223671,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,מדינת ישראל,ממשל שקלית 0927,IL0012035791,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,1.961,2027-09-30 00:00:00,0.0375,0.0396,0,18650000,1,99.62,18579.13,ריק במקור,שווי הוגן,0.000514368074,0.03784868729135948,0.0036164325530039167,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,מדינת ישראל,ממשל צמודה 0431,IL0012207226,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,5.296,2031-04-30 00:00:00,0.02,0.0199,0,427000,1,103.02,439.8954,ריק במקור,שווי הוגן,5.53590259715509e-05,0.0008961379480905453,8.562575559117564e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,בנק ישראל,מ.ק.מ. 616,IL0082606141,"מק""מ קצר משנים עשר חודשים",ישראל,ישראל,TASE,NR,NR,ILS,0.67,2026-06-03 00:00:00,0,0.0416,0,20700000,1,97.3,20141.1,ריק במקור,שווי הוגן,0.00115,0.041030672351396444,0.003920470425327084,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,STATE OF ISRAEL,STATE OF ISRAEL,XS1551294413,"נקוב במט""ח","חו""ל",ישראל,LSE,Baa1,Moodys,EUR,9.722,2037-01-18 00:00:00,0.02375,0.04023,0,1850000,3.8807,86.9438,6241.95189,ריק במקור,שווי הוגן,0.002466666666,0.012715863723022566,0.0012149975811181861,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,STATE OF ISRAEL,ISRAEL 6.5 31,XS2715285230,"נקוב במט""ח","חו""ל",ישראל,LSE,A2,Moodys,USD,5.054,2031-11-06 00:00:00,0.065,0.04737,0,100000,3.306,111.8852,369.89247,ריק במקור,שווי הוגן,6.66666666666667e-05,0.0007535306781565426,7.199966680996498e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,STATE OF ISRAEL,ISRAEL 5.75 54,US46514BRM18,"נקוב במט""ח","חו""ל",ישראל,LSE,A2,Moodys,USD,13.915,2054-03-12 00:00:00,0.0575,0.06137,0,600000,3.306,95.1444,1887.28432,ריק במקור,שווי הוגן,0.0002,0.003844702849787154,0.000367360390482324,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,STATE OF ISRAEL,ISRAEL 5.5 34,US46514BRL35,"נקוב במט""ח","חו""ל",ישראל,LSE,A2,Moodys,USD,6.872,2034-03-12 00:00:00,0.055,0.05101,0,2229000,3.306,103.0136,7591.14841,ריק במקור,שווי הוגן,0.000743,0.015464394853386068,0.0014776190394602934,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,STATE OF ISRAEL,ISRAEL 5.375 29,US46514BRN90,"נקוב במט""ח","חו""ל",ישראל,LSE,A2,Moodys,USD,3.186,2029-03-12 00:00:00,0.05375,0.04442,0,633000,3.306,103.2456,2160.61861,ריק במקור,שווי הוגן,0.0003165,0.004401528926584925,0.0004205649820971205,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,STATE OF ISRAEL,ISRAEL 5.625 2/35,US46514Y8B63,"נקוב במט""ח","חו""ל",ישראל,LSE,Baa1,Moodys,USD,7.408,2035-02-19 00:00:00,0.05625,0.05148,0,7713000,3.306,104.1809,26565.27313,ריק במקור,שווי הוגן,0.0030852,0.054117750158749325,0.0051709374188550405,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13909.0,United Stat TREASURY BILL,TREASURY BILL,US912797PV33,"נקוב במט""ח","חו""ל","ארה""ב",NASDAQ,AA+,S&P,USD,0.46,2026-03-19 00:00:00,0,0.03849,0,2045000,3.306,98.2386,6641.6858,ריק במקור,שווי הוגן,1.66034733329544e-05,0.013530186232168175,0.0012928058920920334,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל שקלית 0142,IL0011254005,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,11.179,2042-01-31 00:00:00,0.055,0.0434,0,300000,1,117,351,ריק במקור,שווי הוגן,9.68138056977448e-06,0.001100617435691951,0.00014009230028652164,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל שקלית 0327,IL0011393449,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,1.476,2027-03-31 00:00:00,0.02,0.0395,0,226000,1,98.22,221.9772,ריק במקור,שווי הוגן,8.0061230432271e-06,0.0006960455175101975,8.859628649333696e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל שקלית 0347,IL0011401937,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,14.454,2047-03-31 00:00:00,0.0375,0.0448,0,3380897,1,91.85,3105.35389,ריק במקור,שווי הוגן,0.000128814014,0.009737340841389814,0.0012394192867629574,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל צמודה 0527,IL0011408478,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,1.655,2027-05-31 00:00:00,0.0075,0.0208,0,46671860,1,117.66,54914.11048,ריק במקור,שווי הוגן,0.001916200575,0.17219210102507718,0.02191750443114355,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל שקלית 0928,IL0011508798,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,2.927,2028-09-28 00:00:00,0.0225,0.0392,0,15536870,1,95.37,14817.51292,ריק במקור,שווי הוגן,0.000447470904,0.04646271530866881,0.005914015582587049,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל צמודה 0529,IL0011570236,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,3.635,2029-05-31 00:00:00,0.005,0.0193,0,6012210,1,113,6793.7973,ריק במקור,שווי הוגן,0.00020428055,0.021303053455660685,0.002711563223468262,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל שקלית 0330,IL0011609851,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,4.392,2030-03-31 00:00:00,0.01,0.0392,0,665765,1,88.66,590.26725,ריק במקור,שווי הוגן,1.76336126981065e-05,0.00185087870959527,0.0002355894496760665,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל שקלית 0537,IL0011661803,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,10.557,2037-05-31 00:00:00,0.015,0.042,0,13000000,1,75.94,9872.2,ריק במקור,שווי הוגן,0.000325163297,0.030955884469054354,0.00394022566065128,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל משתנה 1130,IL0011665523,לא צמוד למדד המחירים לצרכן ריבית משתנה,ישראל,ישראל,TASE,NR,NR,ILS,4.672,2030-11-29 00:00:00,0.041586,0.044,0,14600000,1,98.78,14421.88,ריק במקור,שווי הוגן,0.000437147566,0.045222144112413196,0.0057561092411857,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל צמודה 0726,IL0011695645,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,0.83,2026-07-31 00:00:00,0.001,0.0266,0,51990570,1,116.31,60470.23197,ריק במקור,שווי הוגן,0.002573209074,0.18961422121515337,0.024135082323466842,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל צמודה 1131,IL0011722209,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,6.144,2031-11-30 00:00:00,0.001,0.019,0,951650,1,106.54,1013.88791,ריק במקור,שווי הוגן,2.7802872216521e-05,0.003179210004510745,0.00040466635197889983,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל שקלית 0432,IL0011806606,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,6.289,2032-04-30 00:00:00,0.013,0.0402,0,3900000,1,85.09,3318.51,ריק במקור,שווי הוגן,0.000100835012,0.010405726400336457,0.0013244948701533474,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל שקלית 1152,IL0011840761,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,17.257,2052-11-29 00:00:00,0.028,0.0461,0,450000,1,74.63,335.835,ריק במקור,שווי הוגן,1.59917263782922e-05,0.0010530651182780806,0.00013403959449209116,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל שקלית 0229,IL0011948028,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,3.201,2029-02-28 00:00:00,0.0375,0.039,0,15171241,1,101.7,15429.1521,ריק במקור,שווי הוגן,0.000433150107,0.04838060917151874,0.006158135068830815,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל צמודה 1028,IL0011973265,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,3.019,2028-10-31 00:00:00,0.011,0.0199,0,37397250,1,105.65,39510.19462,ריק במקור,שווי הוגן,0.001109837342,0.12389062417764762,0.015769441735281914,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל שקלית 0335,IL0012023326,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,7.927,2035-03-30 00:00:00,0.04,0.041,0,29729676,1,101.25,30101.29695,ריק במקור,שווי הוגן,0.000835792693,0.09438749931655539,0.012014130858499025,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל שקלית 0927,IL0012035791,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,1.961,2027-09-30 00:00:00,0.0375,0.0396,0,17796000,1,99.62,17728.3752,ריק במקור,שווי הוגן,0.000490814705,0.05559019615842956,0.007075808723961604,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל צמודה 1033,IL0012043795,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,7.531,2033-10-31 00:00:00,0.016,0.0195,0,108000,1,105.4,113.832,ריק במקור,שווי הוגן,4.08335982476034e-06,0.00035693870068286655,4.5433010615998095e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,מדינת ישראל,ממשל צמודה 0431,IL0012207226,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,5.296,2031-04-30 00:00:00,0.02,0.0199,0,247000,1,103.02,254.4594,ריק במקור,שווי הוגן,3.20226684191407e-05,0.0007978987245461892,0.00010156069138327101,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,STATE OF ISRAEL,STATE OF ISRAEL,XS1551294413,"נקוב במט""ח","חו""ל",ישראל,LSE,Baa1,Moodys,EUR,9.722,2037-01-18 00:00:00,0.02375,0.04023,0,1800000,3.8807,86.9438,6073.25048,ריק במקור,שווי הוגן,0.0024,0.01904366202168806,0.002423976153730546,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,STATE OF ISRAEL,ISRAEL 6.5 31,XS2715285230,"נקוב במט""ח","חו""ל",ישראל,LSE,A2,Moodys,USD,5.054,2031-11-06 00:00:00,0.065,0.04737,0,180000,3.306,111.8852,665.80645,ריק במקור,שווי הוגן,0.00012,0.0020877441244050174,0.0002657389091911765,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,STATE OF ISRAEL,ISRAEL 5.75 54,US46514BRM18,"נקוב במט""ח","חו""ל",ישראל,LSE,A2,Moodys,USD,13.915,2054-03-12 00:00:00,0.0575,0.06137,0,400000,3.306,95.1444,1258.18955,ריק במקור,שווי הוגן,0.000133333333,0.003945257424887208,0.0005021728440340842,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,STATE OF ISRAEL,ISRAEL 5.5 34,US46514BRL35,"נקוב במט""ח","חו""ל",ישראל,LSE,A2,Moodys,USD,6.872,2034-03-12 00:00:00,0.055,0.05101,0,900000,3.306,103.0136,3065.06665,ריק במקור,שווי הוגן,0.0003,0.009611013665378686,0.0012233397080626865,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,STATE OF ISRAEL,ISRAEL 5.375 29,US46514BRN90,"נקוב במט""ח","חו""ל",ישראל,LSE,A2,Moodys,USD,3.186,2029-03-12 00:00:00,0.05375,0.04442,0,313000,3.306,103.2456,1068.36275,ריק במקור,שווי הוגן,0.0001565,0.0033500247016917404,0.00042640853329895743,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,STATE OF ISRAEL,ISRAEL 5.625 2/35,US46514Y8B63,"נקוב במט""ח","חו""ל",ישראל,LSE,Baa1,Moodys,USD,7.408,2035-02-19 00:00:00,0.05625,0.05148,0,8288000,3.306,104.1809,28545.69995,ריק במקור,שווי הוגן,0.0033152,0.08950967258974601,0.011393255752946854,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13910.0,United Stat TREASURY BILL,TREASURY BILL,US912797PV33,"נקוב במט""ח","חו""ל","ארה""ב",NASDAQ,AA+,S&P,USD,0.46,2026-03-19 00:00:00,0,0.03849,0,1500000,3.306,98.2386,4871.65217,ריק במקור,שווי הוגן,1.21785867967881e-05,0.015275855609482988,0.0019443901957012103,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,מדינת ישראל,ממשל שקלית 0142,IL0011254005,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,11.179,2042-01-31 00:00:00,0.055,0.0434,0,1750000,1,117,2047.5,ריק במקור,שווי הוגן,5.64747199903511e-05,0.010779866885279975,0.002479238391197547,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,מדינת ישראל,ממשל שקלית 0327,IL0011393449,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,1.476,2027-03-31 00:00:00,0.02,0.0395,0,548450,1,98.22,538.68759,ריק במקור,שווי הוגן,1.94290185091058e-05,0.0028361321186580104,0.0006522759238044853,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,מדינת ישראל,ממשל שקלית 0347,IL0011401937,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,14.454,2047-03-31 00:00:00,0.0375,0.0448,0,1000000,1,91.85,918.5,ריק במקור,שווי הוגן,3.81005439987671e-05,0.004835803533152458,0.0011121760499706698,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,מדינת ישראל,ממשל צמודה 0527,IL0011408478,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,1.655,2027-05-31 00:00:00,0.0075,0.0208,0,21454664,1,117.66,25243.55766,ריק במקור,שווי הוגן,0.00088086139,0.13290461112854193,0.030566445558525474,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,מדינת ישראל,ממשל שקלית 0928,IL0011508798,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,2.927,2028-09-28 00:00:00,0.0225,0.0392,0,6924450,1,95.37,6603.84796,ריק במקור,שווי הוגן,0.000199428192,0.03476854795576445,0.0079963435370274,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,מדינת ישראל,ממשל צמודה 0529,IL0011570236,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,3.635,2029-05-31 00:00:00,0.005,0.0193,0,4117565,1,113,4652.84845,ריק במקור,שווי הוגן,0.000139905034,0.02449674575256716,0.0056339538489201466,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,מדינת ישראל,ממשל שקלית 0537,IL0011661803,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,10.557,2037-05-31 00:00:00,0.015,0.042,0,9807484,1,75.94,7447.80335,ריק במקור,שווי הוגן,0.000245310294,0.039211882149324674,0.009018256408014505,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,מדינת ישראל,ממשל משתנה 1130,IL0011665523,לא צמוד למדד המחירים לצרכן ריבית משתנה,ישראל,ישראל,TASE,NR,NR,ILS,4.672,2030-11-29 00:00:00,0.041586,0.044,0,3850000,1,98.78,3803.03,ריק במקור,שווי הוגן,0.000115275214,0.020022543179841906,0.004604941625824668,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,מדינת ישראל,ממשל צמודה 0726,IL0011695645,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,0.83,2026-07-31 00:00:00,0.001,0.0266,0,26906804,1,116.31,31295.30373,ריק במקור,שווי הוגן,0.001331719044,0.16476640212151691,0.0378942703158016,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,מדינת ישראל,ממשל צמודה 1131,IL0011722209,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,6.144,2031-11-30 00:00:00,0.001,0.019,0,1165000,1,106.54,1241.191,ריק במקור,שווי הוגן,3.40359860581589e-05,0.00653473687873384,0.0015029100747296089,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,מדינת ישראל,ממשל שקלית 0432,IL0011806606,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,6.289,2032-04-30 00:00:00,0.013,0.0402,0,5800000,1,85.09,4935.22,ריק במקור,שווי הוגן,0.000149959761,0.02598340153825223,0.005975866614410724,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,מדינת ישראל,ממשל שקלית 0229,IL0011948028,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,3.201,2029-02-28 00:00:00,0.0375,0.039,0,7211700,1,101.7,7334.2989,ריק במקור,שווי הוגן,0.000205899348,0.0386142934499904,0.00888081826881462,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,מדינת ישראל,ממשל צמודה 1028,IL0011973265,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,3.019,2028-10-31 00:00:00,0.011,0.0199,0,26465786,1,105.65,27961.10291,ריק במקור,שווי הוגן,0.000785424532,0.14721219405881053,0.033857015772746,,,,,,,,,,,,,,,,,,,,,,,,,,
13908.0,13911.0,מדינת ישראל,ממשל שקלית 0335,IL0012023326,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,NR,NR,ILS,7.927,2035-03-30 00:00:00,0.04,0.041,0,24636121,1,101.25,24944.07251,ריק במקור,שווי הוגן,0.000692597185,0.13132785408281883,0.030203810598098832,,,,,,,,,,,,,,,,,,,,,,,,,,
