"שם גיליון
(רלוונטי לגיליונות עם עמודה ""מאפיין עיקרי"")",שם עמודה,אפשרות בחירה,הערות והסברים,Unnamed: 4
,ענף מסחר,"אג""ח מובנות",,
,,אופנה והלבשה,,
,,אחסנה,,
,,אלקטרוניקה ואופטיקה,,
,,אנרגיה,,
,,אנרגיה מתחדשת,,
,,אנשים פרטיים,,
,,אשראי חוץ בנקאי,,
,,ביוטכנולוגיה,,
,,ביטוח,,
,,ביטחוניות,,
,,בנייה,,
,,בנקים,,
,,השקעות בהיי-טק,,
,,השקעות במדעי החיים,,
,,השקעה ואחזקות,,
,,חברות ללא פעילות ומעטפת,חברות מעטפת,נוסף במסגרת עדכון הרשימה
,,חיפושי נפט וגז,,
,,חשמל,,
,,"כימיה, גומי ופלסטיק",,
,,ליסינג,,
,,מוליכים למחצה,,
,,מזון,,
,,מכשור רפואי,,
,,מלונאות ותיירות,,
,,מסחר,,
,,מתכת ומוצרי בניה,,
,,"נדל""ן מניב בישראל",,
,,"נדל""ן מניב בחו""ל",,
,,"עץ, נייר ודפוס",,
,,פארמה,,
,,פודטק,,
,,ציוד תקשורת,,
,,קנאביס,,
,,קלינטק,,
,,קרנות היי טק,,
,,קרנות סל,,
,,רובוטיקה ותלת מימד,,
,,רשויות מקומיות,,
,,רשתות שיווק,,
,,שירותי מידע,,
,,שירותים,,
,,שירותים פיננסיים,,
,,שירותים ציבוריים,,
,,תוכנה ואינטרנט,,
,,תחבורה,,
,,תעופה,,
,,תעשיה,,
,,תקשורת ומדיה,,
,,תשתיות,,
,,אחר,,
,,Energy Equipment & Services,,
,,"Oil, Gas & Consumable Fuels",,
,,Chemicals,,
,,Construction Materials,,
,,Containers & Packaging,,
,,Metals & Mining,,
,,Paper & Forest Products,,
,,Aerospace & Defense,,
,,Building Products,,
,,Construction & Engineering,,
,,Electrical Equipment,,
,,Industrial Conglomerates,,
,,Machinery,,
,,Trading Companies & Distributors,,
,,Commercial Services & Supplies,,
,,Professional Services,,
,,Air Freight & Logistics,,
,,Passenger Airlines,Airlines Passenger Airlines,נוסף במסגרת עדכון הרשימה
,,Marine Transportation,Marine Marine Transportation,נוסף במסגרת עדכון הרשימה
,,Ground Transportation,Road & Rail Ground Transportation,נוסף במסגרת עדכון הרשימה
,,Transportation Infrastructure,,
,,Automobile Components,Auto Components Automobile Components,נוסף במסגרת עדכון הרשימה
,,Automobiles,,
,,Household Durables,,
,,Leisure Products,,
,,"Textiles, Apparel & Luxury Goods",,
,,"Hotels, Restaurants & Leisure",,
,,Diversified Consumer Services,,
,,Distributors,,
,,Broadline Retail,Multiline Retail Broadline Retail,נוסף במסגרת עדכון הרשימה
,,Specialty Retail,,
,,Consumer Staples Distribution & Retail,Food & Staples Retailing Consumer Staples Distribution & Retail,נוסף במסגרת עדכון הרשימה
,,Beverages,,
,,Food Products,,
,,Tobacco,,
,,Household Products,,
,,Personal Care Products,Personal Products Personal Care Products,נוסף במסגרת עדכון הרשימה
,,Health Care Equipment & Supplies,,
,,Health Care Providers & Services,,
,,Health Care Technology,,
,,Biotechnology,,
,,Pharmaceuticals,,
,,Life Sciences Tools & Services,,
,,Banks,,
,,Financial Services,Diversified Financial Services Financial Services,נוסף במסגרת עדכון הרשימה
,,Consumer Finance,,
,,Capital Markets,,
,,Mortgage Real Estate Investment Trusts (REITs),,נוסף במסגרת עדכון הרשימה
,,Insurance,,
,,IT Services,,
,,Software,,
,,Communications Equipment,,
,,"Technology Hardware, Storage & Peripherals",,
,,"Electronic Equipment, Instruments & Components",,
,,Semiconductors & Semiconductor Equipment,,
,,Diversified Telecommunication Services,,
,,Wireless Telecommunication Services,,
,,Media,,נוסף במסגרת עדכון הרשימה
,,Entertainment,,נוסף במסגרת עדכון הרשימה
,,Interactive Media & Services,,נוסף במסגרת עדכון הרשימה
,,Electric Utilities,,
,,Gas Utilities,,
,,Multi-Utilities,,
,,Water Utilities,,
,,Independent Power and Renewable Electricity Producers,,
,,Diversified REITs,Equity Real Estate Investment Trusts,נוסף במסגרת עדכון הרשימה
,,Industrial REITs,,
,,Hotel & Resort REITs,,
,,Office REITs,,
,,Health Care REITs,,
,,Residential REITs,,
,,Retail REITs,,
,,Specialized REITs,,
,,Real Estate Management & Development,,
,,Other,,
,סיווג הקרן,"(ומעלה ו/ או מדינה AA) אג""ח בארץ - כללי-אג""ח כללי בארץ - ללא מניות-אג""ח כללי בארץ בדירוג גבוה בלבד",,נוסף במסגרת עדכון הרשימה
,,(ממונפות ואסטרטגיות - אסטרטגיות (לא ממונפות,,נוסף במסגרת עדכון הרשימה
,,"125 מניות בארץ - מניות כללי-ת""א",,נוסף במסגרת עדכון הרשימה
,,"20 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",,נוסף במסגרת עדכון הרשימה
,,"35 מניות בארץ - מניות כללי-ת""א",,נוסף במסגרת עדכון הרשימה
,,"40 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",,נוסף במסגרת עדכון הרשימה
,,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",,נוסף במסגרת עדכון הרשימה
,,"90 מניות בארץ - מניות כללי-ת""א",,נוסף במסגרת עדכון הרשימה
,,All Cap מניות בארץ - מניות לפי שווי שוק-מניות,,נוסף במסגרת עדכון הרשימה
,,"Banks מניות בחו""ל - מניות לפי ענפים בחו""ל - מנוטרלת מט""ח-אירופה- מניות",,נוסף במסגרת עדכון הרשימה
,,"CNX NIFTY - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה הודו",,נוסף במסגרת עדכון הרשימה
,,"DAX 30 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אירופה גרמניה",,נוסף במסגרת עדכון הרשימה
,,"DAX 30 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה גרמניה",,נוסף במסגרת עדכון הרשימה
,,"DJ INDUSTRIAL AVERAGE - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",,נוסף במסגרת עדכון הרשימה
,,"EURO STOXX 50 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אירופה כללי",,נוסף במסגרת עדכון הרשימה
,,"EURO STOXX 50 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה כללי",,נוסף במסגרת עדכון הרשימה
,,"Financial מניות בחו""ל - מניות לפי ענפים בחו""ל - חשופת מט""ח-ארה""ב- מניות",,נוסף במסגרת עדכון הרשימה
,,"FTSE 250 INDEX - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה אנגליה",,נוסף במסגרת עדכון הרשימה
,,"FTSE China 50 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה סין",,נוסף במסגרת עדכון הרשימה
,,"Health Care מניות בחו""ל - מניות לפי ענפים בחו""ל - חשופת מט""ח-ארה""ב- מניות",,נוסף במסגרת עדכון הרשימה
,,"Health Care מניות בחו""ל - מניות לפי ענפים בחו""ל - מנוטרלת מט""ח-ארה""ב- מניות",,נוסף במסגרת עדכון הרשימה
,,"IBOVESPA - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים ברזיל",,נוסף במסגרת עדכון הרשימה
,,"IBOXX USD LIQUID INVESTMENT GRADE TOP 30 INDEX - אג""ח בחו""ל - אג""ח חשופת דולר",,נוסף במסגרת עדכון הרשימה
,,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,,נוסף במסגרת עדכון הרשימה
,,"MDAX - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה גרמניה",,נוסף במסגרת עדכון הרשימה
,,"MSCI AC WORLD INDEX - מניות בחו""ל - מניות כללי בחו""ל - חשופת מט""ח-מניות כללי בחו""ל",,נוסף במסגרת עדכון הרשימה
,,"MSCI EMERGING MARKETS - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים כללי",,נוסף במסגרת עדכון הרשימה
,,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",,נוסף במסגרת עדכון הרשימה
,,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",,נוסף במסגרת עדכון הרשימה
,,"NIKKEI 225 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה יפן",,נוסף במסגרת עדכון הרשימה
,,"NIKKEI 225 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אסיה יפן",,נוסף במסגרת עדכון הרשימה
,,"Regional Banks מניות בחו""ל - מניות לפי ענפים בחו""ל - חשופת מט""ח-ארה""ב- מניות",,נוסף במסגרת עדכון הרשימה
,,"RUSSELL 2000 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",,נוסף במסגרת עדכון הרשימה
,,"RUSSELL 2000 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",,נוסף במסגרת עדכון הרשימה
,,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",,נוסף במסגרת עדכון הרשימה
,,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",,נוסף במסגרת עדכון הרשימה
,,"S&P/ASX 200 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-חו""ל גיאוגרפי אחר - אוסטרליה",,נוסף במסגרת עדכון הרשימה
,,Small Cap מניות בארץ - מניות לפי שווי שוק-מניות,,נוסף במסגרת עדכון הרשימה
,,"SME60 מניות בארץ - מניות כללי-ת""א",,נוסף במסגרת עדכון הרשימה
,,"STOXX EUROPE 600 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה כללי",,נוסף במסגרת עדכון הרשימה
,,"STOXX EUROPE 600 -מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אירופה כללי",,נוסף במסגרת עדכון הרשימה
,,"Technology מניות בחו""ל - מניות לפי ענפים בחו""ל - חשופת מט""ח-ארה""ב- מניות",,נוסף במסגרת עדכון הרשימה
,,"Technology מניות בחו""ל - מניות לפי ענפים בחו""ל - מנוטרלת מט""ח-ארה""ב- מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-חברות והמרה אחר",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-חברות והמרה בסיכון גבוה",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-חברות והמרה ללא מניות-חברות והמרה ללא מניות וללא סימן קריאה",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-חברות והמרה ללא מניות-חברות והמרה ללא מניות וללא סימן קריאה, עם מגבלת מח""מ עד 5 שנים",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-חברות והמרה ללא מניות-חברות והמרה ללא מניות עם סימן קריאה",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-חברות והמרה עם מניות-חברות והמרה עם מניות ועם סימן קריאה",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-חברות והמרה עם מניות-חברות והמרה עם מניות ללא סימן קריאה",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-חברות והמרה שקלי ללא מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-חברות והמרה שקלי עם מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-תל בונד אחר-אג""ח תל בונד משולבת",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-תל בונד אחר-מדד תל בונד אחר",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-תל בונד אחר-תל בונד מאגר",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד- תשואות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמוד מדד- אחר",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמודות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמודות- בנקים",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמודות- יתר",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- לא צמודות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- ריבית משתנה",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- שקלי",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- תשואות שקל",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד שקלי- אחר",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - כללי-אג""ח כללי בארץ- עד 15% מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - כללי-אג""ח כללי בארץ- עד 25% מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - כללי-אג""ח כללי בארץ- עד 5% מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - כללי-אג""ח כללי בארץ - חשיפה מרבית מעל 30% מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - כללי-אג""ח כללי בארץ - ללא מניות-אג""ח כללי בארץ ללא מניות וללא סימן קריאה",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - כללי-אג""ח כללי בארץ - ללא מניות-אג""ח כללי בארץ ללא מניות וללא סימן קריאה, עם מגבלת מח""מ עד 5 שנים",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - כללי-אג""ח כללי בארץ - ללא מניות-אג""ח כללי בארץ ללא מניות עם סימן קריאה",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - כללי-אג""ח כללי בארץ - עד 10% מניות-אג""ח כללי בארץ- עד 10% מניות ועם סימן קריאה",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - כללי-אג""ח כללי בארץ - עד 10% מניות-אג""ח כללי בארץ- עד 10% מניות ללא סימן קריאה",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - כללי-אג""ח כללי בארץ - עד 20% מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - כללי-אג""ח כללי בארץ - עד 30% מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה כללי- עד 20% מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה כללי - ללא מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה כללי - עד 10% מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה משולבת - חשיפה מרבית מעל 10% מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה משולבת - ללא מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה משולבת - עד 10% מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה צמוד מדד- ללא מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה צמוד מדד- עד 10% מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה צמוד מדד-צמודות מדד- מדד אחר",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה צמוד מדד-צמודות מדד - ממשלתיות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה צמוד מדד-צמודות מדד - ממשלתיות 0-2 שנים",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה צמוד מדד-צמודות מדד - ממשלתיות 2-5 שנים",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה צמוד מדד-צמודות מדד - ממשלתיות 5-10 שנים",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה שקליות- ללא מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה שקליות- עד 10% מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה שקליות -מק""מ",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה שקליות -שקליות- מדד אחר",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה שקליות -שקליות ממשלתיות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה שקליות -שקליות ריבית משתנה ממשלתיות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה שקליות -שקליות ריבית קבועה ממשלתיות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה שקליות -שקליות ריבית קבועה ממשלתיות 0-2 שנים",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה שקליות -שקליות ריבית קבועה ממשלתיות 2-5 שנים",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח מדינה שקליות -שקליות ריבית קבועה ממשלתיות 5+ שנים",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ - מדינה-אג""ח ממשלתיות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ משולבת - כללי-אג""ח כללי בארץ משולבת - חשיפה מרבית מעל 30% מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ משולבת - כללי-אג""ח כללי בארץ משולבת - ללא מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ משולבת - כללי-אג""ח כללי בארץ משולבת - עד 10% מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ משולבת - כללי-אג""ח כללי בארץ משולבת - עד 20% מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בארץ משולבת - כללי-אג""ח כללי בארץ משולבת - עד 30% מניות",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בחו""ל - אג""ח חשופת דולר - מדד אחר",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בחו""ל - אג""ח מנוטרלת מט""ח",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בחו""ל - אג""ח חשופת דולר",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בחו""ל - אג""ח חשופת מט""ח",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בחו""ל - אג""ח מוגנת מט""ח",,נוסף במסגרת עדכון הרשימה
,,"אג""ח בחו""ל - אג""ח נקובת מט""ח",,נוסף במסגרת עדכון הרשימה
,,אגד קרנות - אגד חוץ,,נוסף במסגרת עדכון הרשימה
,,אגד קרנות - אגד ישראלי,,נוסף במסגרת עדכון הרשימה
,,גמישות,,נוסף במסגרת עדכון הרשימה
,,"ממונפות-ממונפות בחסר בסיכון גבוה-אג""ח בארץ",,נוסף במסגרת עדכון הרשימה
,,ממונפות-ממונפות בחסר בסיכון גבוה-מניות בארץ,,נוסף במסגרת עדכון הרשימה
,,"ממונפות-ממונפות בחסר בסיכון גבוה-מניות בחו""ל",,נוסף במסגרת עדכון הרשימה
,,ממונפות-ממונפות בסיכון גבוה-מניות בארץ,,נוסף במסגרת עדכון הרשימה
,,"ממונפות-ממונפות בסיכון גבוה-מניות בחו""ל",,נוסף במסגרת עדכון הרשימה
,,ממונפות ואסטרטגיות-ממונפות אחר,,נוסף במסגרת עדכון הרשימה
