"שם גיליון
(רלוונטי לגיליונות עם עמודה ""מאפיין עיקרי"")",שם עמודה,אפשרות בחירה,הערות והסברים,Unnamed: 4
ריק במקור,ריק במקור,פנימי,,
ריק במקור,ריק במקור,LEI,,
ריק במקור,ריק במקור,אחר,,
ריק במקור,סוג מספר מזהה בנק,ח.פ.,,
ריק במקור,ריק במקור,סימול בנק,,
ריק במקור,ריק במקור,SWIFT,,
ריק במקור,סוג מספר מזהה מנהל קרן השקעות,ח.פ.,,
ריק במקור,ריק במקור,מספר שותפות,,
ריק במקור,ריק במקור,"מספר תאגיד או שותפות בחו""ל",,
ריק במקור,ריק במקור,LEI,,
ריק במקור,סוג מספר מזהה לווה,ח.פ.,,
ריק במקור,ריק במקור,מרשם,,
ריק במקור,ריק במקור,"מספר תאגיד או שותפות בחו""ל",,
ריק במקור,ריק במקור,פנימי,,
ריק במקור,ריק במקור,מספר שותפות,,
ריק במקור,ריק במקור,"ת""ז",,
ריק במקור,ריק במקור,דרכון,,
ריק במקור,ריק במקור,LEI,,
ריק במקור,ריק במקור,אחר,,
ריק במקור,סוג מספר נייר ערך,ISIN,,
ריק במקור,ריק במקור,OCC,,
ריק במקור,ריק במקור,FIGI,,
ריק במקור,ריק במקור,טיקר,,
ריק במקור,ריק במקור,פנימי,,
ריק במקור,סוג מספר קרן השקעה,ISIN,,
ריק במקור,ריק במקור,פנימי,,
ריק במקור,ריק במקור,אחר,,
ריק במקור,סטאטוס סחירות,סחיר,,
ריק במקור,ריק במקור,לא סחיר,,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,חסום,"ני""ע אשר מכירתו מוגבלת לפי הוראות דין או חוזה לתקופה שנקבעה.",
ריק במקור,ריק במקור,השעיה,"ני""ע שהמסחר בו בזירת המסחר בה הור נסחר הופסק לפרק זמן ",
ריק במקור,ריק במקור,בהשאלה,,
ריק במקור,ריק במקור,לא חסום בהשעיה,,
ריק במקור,ריק במקור,לא חסום בהשאלה,,
ריק במקור,ריק במקור,חסום בהשעיה,,
ריק במקור,ריק במקור,חסום בהשאלה,,
ריק במקור,ריק במקור,בשלבי רישום למסחר,,
ריק במקור,ריק במקור,אחר,,
ריק במקור,בעל  עניין/צד קשור,כן,,
ריק במקור,ריק במקור,לא,,
ריק במקור,זירת מסחר,TASE,TASE - Tel Aviv Stock Exchange,
ריק במקור,ריק במקור,TASE-UP,פלטפורמת TASE-UP,
ריק במקור,ריק במקור,NYSE,NYSE - New York Stock Exchange,
ריק במקור,ריק במקור,NASDAQ,NASDAQ - National Association of Securities Dealers Automated Quotations,
ריק במקור,ריק במקור,JPX,JPX - Japan Exchange Group,
ריק במקור,ריק במקור,AMEX,AMEX - American Stock Exchange,
ריק במקור,ריק במקור,ADX,ADX - Abu Dhabi Securities Exchange,
ריק במקור,ריק במקור,ASX,ASX -  Australian Securities Exchange,
ריק במקור,ריק במקור,BOVESPA,BOVESPA -  Brazilian Stock Exchange,
ריק במקור,ריק במקור,BSE,BSE - Bombay Stock Exchange,
ריק במקור,ריק במקור,CBOE,CBOE - Chicago Board Options Exchange,
ריק במקור,ריק במקור,CME,CME - Chicago Mercantile Exchange,
ריק במקור,ריק במקור,EURONEXT,EURONEXT - Euronext Group Stock Exchange,
ריק במקור,ריק במקור,EUREX,EUREX - Eurex Exchange,
ריק במקור,ריק במקור,FWB,FWB - Frankfurt Stock Exchange,
ריק במקור,ריק במקור,HKSE,HKSE - Hong Kong Stock Exchange,
ריק במקור,ריק במקור,ICE,ICE - Intercontinental Exchange,
ריק במקור,ריק במקור,ISE,ISE - Irish Stock Exchange,
ריק במקור,ריק במקור,JSE,JSE - Johannesburg Stock Exchange,
ריק במקור,ריק במקור,KRX,KRX - Korea Exchange,
ריק במקור,ריק במקור,LSE,LSE - London Stock Exchange,
ריק במקור,ריק במקור,MICEX - RTS,MICEX- RTS - Moscow Exchange,
ריק במקור,ריק במקור,NASDAQD,NASDAQD - NASDAQ Dubai,
ריק במקור,ריק במקור,NSE,NSE - National Stock Exchange of India,
ריק במקור,ריק במקור,SSE,SSE - Shanghai Stock Exchange,
ריק במקור,ריק במקור,SZSE,SZSE - Shenzen Stock Market,
ריק במקור,ריק במקור,SGX,SGX - Singapore Exchange,
ריק במקור,ריק במקור,BME,BME - Spanish Exchanges,
ריק במקור,ריק במקור,SIX,SIX - Swiss Exchange,
ריק במקור,ריק במקור,TSEC,TSEC - Taiwan Stock Exchange Corporation,
ריק במקור,ריק במקור,TSE,TSE - Tokyo Stock Exchange,
ריק במקור,ריק במקור,TSX,TSX - Toronto Stock Exchange,
ריק במקור,ריק במקור,FOREIGN_GOV_SEC,"זירת מסחר פיקטבית עבור הדיווח של אג""ח שהנפיקה ממשלה זרה",נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,אחר,אחר,
ריק במקור,דירוג נייר הערך/הלוואה/המנפיק ,נייר ערך,,
ריק במקור,ריק במקור,הלוואה,,
ריק במקור,ריק במקור,מנפיק,,
ריק במקור,ריק במקור,NR,,
ריק במקור,נחיתות חוזית,החוב נחות,,
ריק במקור,ריק במקור,החוב לא נחות,,
ריק במקור,שם מדרג,S&P מעלות,"סטנדרד & פורסס מעלות בע""מ (S&P)",
ריק במקור,ריק במקור,מידרוג Moodys,"מידרוג בע""מ (Moody's)",
ריק במקור,ריק במקור,פנימי,פנימי,
ריק במקור,ריק במקור,AM Best,"A.M Best Company, Inc",
ריק במקור,ריק במקור,DBRS,DBRS Ratings Limited.,
ריק במקור,ריק במקור,Egan-Jones,Egan-Jones Ratings Co.,
ריק במקור,ריק במקור,Fitch,"Fitch Investors Service, L.P.",
ריק במקור,ריק במקור,HR Ratings,"HR Ratings de México, S.A. de C.V.",
ריק במקור,ריק במקור,Japan Credit,Japan Credit Rating Agency Ltd.,
ריק במקור,ריק במקור,Kroll,"Kroll Bond Rating Agency, Inc",
ריק במקור,ריק במקור,Moodys,Moody's Investor Service,
ריק במקור,ריק במקור,S&P,Standard & Poor's Corporation,
ריק במקור,ריק במקור,אחר,אחר,
ריק במקור,ריק במקור,NR,Not rated,
ריק במקור,ענף מסחר,"אג""ח מובנות",,
ריק במקור,ריק במקור,אופנה והלבשה,,
ריק במקור,ריק במקור,אחסנה,,
ריק במקור,ריק במקור,אלקטרוניקה ואופטיקה,,
ריק במקור,ריק במקור,אנרגיה,,
ריק במקור,ריק במקור,אנרגיה מתחדשת,,
ריק במקור,ריק במקור,אנשים פרטיים,,
ריק במקור,ריק במקור,אשראי חוץ בנקאי,,
ריק במקור,ריק במקור,ביוטכנולוגיה,,
ריק במקור,ריק במקור,ביטוח,,
ריק במקור,ריק במקור,ביטחוניות,,
ריק במקור,ריק במקור,בנייה,,
ריק במקור,ריק במקור,בנקים,,
ריק במקור,ריק במקור,השקעות בהיי-טק,,
ריק במקור,ריק במקור,השקעות במדעי החיים,,
ריק במקור,ריק במקור,השקעה ואחזקות,,
ריק במקור,ריק במקור,חברות ללא פעילות ומעטפת,חברות מעטפת,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,חיפושי נפט וגז,,
ריק במקור,ריק במקור,חשמל,,
ריק במקור,ריק במקור,"כימיה, גומי ופלסטיק",,
ריק במקור,ריק במקור,ליסינג,,
ריק במקור,ריק במקור,מוליכים למחצה,,
ריק במקור,ריק במקור,מזון,,
ריק במקור,ריק במקור,מכשור רפואי,,
ריק במקור,ריק במקור,מלונאות ותיירות,,
ריק במקור,ריק במקור,מסחר,,
ריק במקור,ריק במקור,מתכת ומוצרי בניה,,
ריק במקור,ריק במקור,"נדל""ן מניב בישראל",,
ריק במקור,ריק במקור,"נדל""ן מניב בחו""ל",,
ריק במקור,ריק במקור,"עץ, נייר ודפוס",,
ריק במקור,ריק במקור,פארמה,,
ריק במקור,ריק במקור,פודטק,,
ריק במקור,ריק במקור,ציוד תקשורת,,
ריק במקור,ריק במקור,קנאביס,,
ריק במקור,ריק במקור,קלינטק,,
ריק במקור,ריק במקור,קרנות היי טק,,
ריק במקור,ריק במקור,קרנות סל,,
ריק במקור,ריק במקור,רובוטיקה ותלת מימד,,
ריק במקור,ריק במקור,רשויות מקומיות,,
ריק במקור,ריק במקור,רשתות שיווק,,
ריק במקור,ריק במקור,שירותי מידע,,
ריק במקור,ריק במקור,שירותים,,
ריק במקור,ריק במקור,שירותים פיננסיים,,
ריק במקור,ריק במקור,שירותים ציבוריים,,
ריק במקור,ריק במקור,תוכנה ואינטרנט,,
ריק במקור,ריק במקור,תחבורה,,
ריק במקור,ריק במקור,תעופה,,
ריק במקור,ריק במקור,תעשיה,,
ריק במקור,ריק במקור,תקשורת ומדיה,,
ריק במקור,ריק במקור,תשתיות,,
ריק במקור,ריק במקור,אחר,,
ריק במקור,ריק במקור,Energy Equipment & Services,,
ריק במקור,ריק במקור,"Oil, Gas & Consumable Fuels",,
ריק במקור,ריק במקור,Chemicals,,
ריק במקור,ריק במקור,Construction Materials,,
ריק במקור,ריק במקור,Containers & Packaging,,
ריק במקור,ריק במקור,Metals & Mining,,
ריק במקור,ריק במקור,Paper & Forest Products,,
ריק במקור,ריק במקור,Aerospace & Defense,,
ריק במקור,ריק במקור,Building Products,,
ריק במקור,ריק במקור,Construction & Engineering,,
ריק במקור,ריק במקור,Electrical Equipment,,
ריק במקור,ריק במקור,Industrial Conglomerates,,
ריק במקור,ריק במקור,Machinery,,
ריק במקור,ריק במקור,Trading Companies & Distributors,,
ריק במקור,ריק במקור,Commercial Services & Supplies,,
ריק במקור,ריק במקור,Professional Services,,
ריק במקור,ריק במקור,Air Freight & Logistics,,
ריק במקור,ריק במקור,Passenger Airlines,Airlines Passenger Airlines,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Marine Transportation,Marine Marine Transportation,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Ground Transportation,Road & Rail Ground Transportation,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Transportation Infrastructure,,
ריק במקור,ריק במקור,Automobile Components,Auto Components Automobile Components,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Automobiles,,
ריק במקור,ריק במקור,Household Durables,,
ריק במקור,ריק במקור,Leisure Products,,
ריק במקור,ריק במקור,"Textiles, Apparel & Luxury Goods",,
ריק במקור,ריק במקור,"Hotels, Restaurants & Leisure",,
ריק במקור,ריק במקור,Diversified Consumer Services,,
ריק במקור,ריק במקור,Distributors,,
ריק במקור,ריק במקור,Broadline Retail,Multiline Retail Broadline Retail,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Specialty Retail,,
ריק במקור,ריק במקור,Consumer Staples Distribution & Retail,Food & Staples Retailing Consumer Staples Distribution & Retail,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Beverages,,
ריק במקור,ריק במקור,Food Products,,
ריק במקור,ריק במקור,Tobacco,,
ריק במקור,ריק במקור,Household Products,,
ריק במקור,ריק במקור,Personal Care Products,Personal Products Personal Care Products,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Health Care Equipment & Supplies,,
ריק במקור,ריק במקור,Health Care Providers & Services,,
ריק במקור,ריק במקור,Health Care Technology,,
ריק במקור,ריק במקור,Biotechnology,,
ריק במקור,ריק במקור,Pharmaceuticals,,
ריק במקור,ריק במקור,Life Sciences Tools & Services,,
ריק במקור,ריק במקור,Banks,,
ריק במקור,ריק במקור,Financial Services,Diversified Financial Services Financial Services,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Consumer Finance,,
ריק במקור,ריק במקור,Capital Markets,,
ריק במקור,ריק במקור,Mortgage Real Estate Investment Trusts (REITs),,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Insurance,,
ריק במקור,ריק במקור,IT Services,,
ריק במקור,ריק במקור,Software,,
ריק במקור,ריק במקור,Communications Equipment,,
ריק במקור,ריק במקור,"Technology Hardware, Storage & Peripherals",,
ריק במקור,ריק במקור,"Electronic Equipment, Instruments & Components",,
ריק במקור,ריק במקור,Semiconductors & Semiconductor Equipment,,
ריק במקור,ריק במקור,Diversified Telecommunication Services,,
ריק במקור,ריק במקור,Wireless Telecommunication Services,,
ריק במקור,ריק במקור,Media,,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Entertainment,,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Interactive Media & Services,,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Electric Utilities,,
ריק במקור,ריק במקור,Gas Utilities,,
ריק במקור,ריק במקור,Multi-Utilities,,
ריק במקור,ריק במקור,Water Utilities,,
ריק במקור,ריק במקור,Independent Power and Renewable Electricity Producers,,
ריק במקור,ריק במקור,Diversified REITs,Equity Real Estate Investment Trusts,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Industrial REITs,,
ריק במקור,ריק במקור,Hotel & Resort REITs,,
ריק במקור,ריק במקור,Office REITs,,
ריק במקור,ריק במקור,Health Care REITs,,
ריק במקור,ריק במקור,Residential REITs,,
ריק במקור,ריק במקור,Retail REITs,,
ריק במקור,ריק במקור,Specialized REITs,,
ריק במקור,ריק במקור,Real Estate Management & Development,,
ריק במקור,ריק במקור,Other,,
ריק במקור,סיווג הקרן,"(ומעלה ו/ או מדינה AA) אג""ח בארץ - כללי-אג""ח כללי בארץ - ללא מניות-אג""ח כללי בארץ בדירוג גבוה בלבד",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,(ממונפות ואסטרטגיות - אסטרטגיות (לא ממונפות,,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"125 מניות בארץ - מניות כללי-ת""א",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"20 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"35 מניות בארץ - מניות כללי-ת""א",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"40 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"90 מניות בארץ - מניות כללי-ת""א",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,All Cap מניות בארץ - מניות לפי שווי שוק-מניות,,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"Banks מניות בחו""ל - מניות לפי ענפים בחו""ל - מנוטרלת מט""ח-אירופה- מניות",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"CNX NIFTY - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה הודו",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"DAX 30 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אירופה גרמניה",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"DAX 30 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה גרמניה",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"DJ INDUSTRIAL AVERAGE - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"EURO STOXX 50 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אירופה כללי",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"EURO STOXX 50 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה כללי",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"Financial מניות בחו""ל - מניות לפי ענפים בחו""ל - חשופת מט""ח-ארה""ב- מניות",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"FTSE 250 INDEX - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה אנגליה",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"FTSE China 50 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה סין",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"Health Care מניות בחו""ל - מניות לפי ענפים בחו""ל - חשופת מט""ח-ארה""ב- מניות",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"Health Care מניות בחו""ל - מניות לפי ענפים בחו""ל - מנוטרלת מט""ח-ארה""ב- מניות",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"IBOVESPA - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים ברזיל",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"IBOXX USD LIQUID INVESTMENT GRADE TOP 30 INDEX - אג""ח בחו""ל - אג""ח חשופת דולר",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"MDAX - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה גרמניה",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"MSCI AC WORLD INDEX - מניות בחו""ל - מניות כללי בחו""ל - חשופת מט""ח-מניות כללי בחו""ל",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"MSCI EMERGING MARKETS - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים כללי",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"NIKKEI 225 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה יפן",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"NIKKEI 225 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אסיה יפן",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"Regional Banks מניות בחו""ל - מניות לפי ענפים בחו""ל - חשופת מט""ח-ארה""ב- מניות",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"RUSSELL 2000 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"RUSSELL 2000 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"S&P/ASX 200 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-חו""ל גיאוגרפי אחר - אוסטרליה",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,Small Cap מניות בארץ - מניות לפי שווי שוק-מניות,,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"SME60 מניות בארץ - מניות כללי-ת""א",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"STOXX EUROPE 600 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-אירופה כללי",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"STOXX EUROPE 600 -מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אירופה כללי",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"Technology מניות בחו""ל - מניות לפי ענפים בחו""ל - חשופת מט""ח-ארה""ב- מניות",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"Technology מניות בחו""ל - מניות לפי ענפים בחו""ל - מנוטרלת מט""ח-ארה""ב- מניות",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"אג""ח בארץ - חברות והמרה-חברות והמרה אחר",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"אג""ח בארץ - חברות והמרה-חברות והמרה בסיכון גבוה",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"אג""ח בארץ - חברות והמרה-חברות והמרה ללא מניות-חברות והמרה ללא מניות וללא סימן קריאה",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"אג""ח בארץ - חברות והמרה-חברות והמרה ללא מניות-חברות והמרה ללא מניות וללא סימן קריאה, עם מגבלת מח""מ עד 5 שנים",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"אג""ח בארץ - חברות והמרה-חברות והמרה ללא מניות-חברות והמרה ללא מניות עם סימן קריאה",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"אג""ח בארץ - חברות והמרה-חברות והמרה עם מניות-חברות והמרה עם מניות ועם סימן קריאה",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"אג""ח בארץ - חברות והמרה-חברות והמרה עם מניות-חברות והמרה עם מניות ללא סימן קריאה",,נוסף במסגרת עדכון הרשימה
ריק במקור,ריק במקור,"אג""ח בארץ - חברות והמרה-חברות והמרה שקלי ללא מניות",,נוסף במסגרת עדכון הרשימה
