כלל פנסיה עוקב מדדים גמיש,14233,,,,,
כלל פנסיה מניות סחיר,15432,,,,,
כלל פנסיה כספי (שקלי),13213,,,,,
כלל פנסיה מסלול הלכה למקבלי קצבה,12176,,,,,
כלל פנסיה קצבה לזכאים קיימים,9649,,,,,
"כלל פנסיה אג""ח סחיר",15433,,,,,
כלל פנסיה מסלול הלכה למקבלי קצבה קיימים,9650,,,,,
כלל פנסיה משלימה,667,,,,,
כלל פנסיה משלימה לבני 50 ומטה,9633,,,,,
כלל פנסיה משלימה - כללי,2176,,,,,
כלל פנסיה משלימה לבני 50 עד 60,9634,,,,,
כלל פנסיה משלימה עוקב מדד  s;p500,14795,,,,,
כלל פנסיה משלימה מניות,13698,,,,,
כלל פנסיה משלימה בסיסי למקבלי קצבה,12251,,,,,
כלל פנסיה משלימה לבני 60 ומעלה,9635,,,,,
כלל פנסיה משלימה למקבלי קצבה קיימים,2206,,,,,
כלל פנסיה משלימה עוקב מדדי מניות,15091,,,,,
כלל פנסיה משלימה עוקב מדדים גמיש,14238,,,,,
כלל פנסיה משלימה מניות סחיר,15434,,,,,
כלל פנסיה משלימה משולב סחיר,14231,,,,,
כלל פנסיה משלימה כספי(שקלי),13214,,,,,
"כלל פנסיה משלימה אג""ח סחיר",15435,,,,,
מגדל מקפת אישית,162,,,,,
מגדל מקפת אישית כללי,2102,,,,,
מגדל מקפת אישית לבני 50 ומטה,8801,,,,,
מגדל מקפת אישית עוקב מדד S;P500,13572,,,,,
מגדל מקפת אישית לבני 50 עד 60,8802,,,,,
מגדל מקפת אישית בסיסי למקבלי קצבה,12145,,,,,
מגדל מקפת אישית מניות,2142,,,,,
מגדל מקפת אישית לבני 60 ומעלה,8803,,,,,
מגדל מקפת אישית  למקבלי קצבה קיימים,2207,,,,,
מגדל מקפת אישית הלכה,2112,,,,,
מגדל מקפת אישית עוקב מדדי מניות,14929,,,,,
מגדל מקפת אישית מניות סחיר,15524,,,,,
"מגדל מקפת אישית אשראי ואג""ח",2144,,,,,
מגדל מקפת אישית כספי (שקלי),2143,,,,,
מגדל מקפת אישית עוקב מדדים - גמיש,14243,,,,,
מגדל מקפת אישית עוקב מדדים למקבלי קצבה,12147,,,,,
מגדל מקפת אישית הלכה למקבלי קצבה,12146,,,,,
מגדל מקפת אישית משולב סחיר,14242,,,,,
מגדל מקפת אישית קצבה לזכאים קיימים,8602,,,,,
"מגדל מקפת אישית עוקב מדדי אג""ח",15525,,,,,
מגדל מקפת אישית הלכה למקבלי קצבה קיימים,8603,,,,,
מגדל מקפת משלימה,659,,,,,
מגדל מקפת משלימה עוקב מדד S;P500,13627,,,,,
מגדל מקפת משלימה לבני 50 ומטה,9453,,,,,
מגדל מקפת משלימה מניות,2146,,,,,
מגדל מקפת משלימה כללי,2145,,,,,
מגדל מקפת משלימה לבני 50 עד 60,9454,,,,,
מגדל מקפת משלימה בסיסי למקבלי קצבה,12152,,,,,
מגדל מקפת משלימה לבני 60 ומעלה,9455,,,,,
מגדל מקפת משלימה עוקב מדדי מניות,14930,,,,,
מגדל מקפת משלימה למקבלי קצבה קיימים,2208,,,,,
מגדל מקפת משלימה הלכה,2149,,,,,
מגדל מקפת משלימה מניות סחיר,15526,,,,,
מגדל מקפת משלימה עוקב מדדים - גמיש,14245,,,,,
מגדל מקפת משלימה כספי (שקלי),2147,,,,,
"מגדל מקפת משלימה אשראי ואג""ח",2148,,,,,
מגדל מקפת משלימה משולב סחיר,14244,,,,,
מגדל מקפת משלימה הלכה למקבלי קצבה,8604,,,,,
"מגדל מקפת משלימה עוקב מדדי אג""ח",15527,,,,,
מור פנסיה כללית,13918,,,,,
מור פנסיה כללית - מסלול לבני 50 ומטה,13919,,,,,
מור פנסיה כללית - מניות,13922,,,,,
מור פנסיה כללית - מסלול לבני 50 עד 60,13920,,,,,
מור פנסיה כללית מתמחים באפיקי השקעה סחירים מניות סחיר,15270,,,,,
מור פנסיה כללית עוקבי מדדים עוקב מדד s;p 500,15273,,,,,
מור פנסיה כללית - מסלול לבני 60 ומעלה,13921,,,,,
מור פנסיה כללית - עוקב מדדי מניות,13925,,,,,
מור פנסיה כללית - מסלול בסיסי למקבלי קצבה,13927,,,,,
מור פנסיה כללית - משולב סחיר,14337,,,,,
"מור פנסיה כללית - אשראי ואג""ח",13923,,,,,
מור פנסיה כללית - עוקב מדדים גמיש,14338,,,,,
"מור פנסיה כללית מתמחים באפיקי השקעה סחירים אג""ח סחיר",15271,,,,,
מור פנסיה כללית - כספי (שקלי),13926,,,,,
מור פנסיה כללית עוקבי מדדים עוקב מדדים - למקבלי קצבה,15274,,,,,
"מור פנסיה כללית עוקבי מדדים עוקב מדדי אג""ח",15272,,,,,
מור פנסיה מקיפה ,13908,,,,,
מור פנסיה מקיפה - מסלול לבני 50 ומטה,13909,,,,,
מור פנסיה מקיפה - מניות,13912,,,,,
מור פנסיה מקיפה - מסלול לבני 50 עד 60,13910,,,,,
מור פנסיה מקיפה - מסלול לבני 60 ומעלה,13911,,,,,
מור פנסיה מקיפה  מתמחים באפיקי השקעה סחירים מניות סחיר,15263,,,,,
מור פנסיה מקיפה  עוקבי מדדים עוקב מדד s;p 500,15266,,,,,
מור פנסיה מקיפה - עוקב מדדי מניות,13915,,,,,
מור פנסיה מקיפה - מסלול בסיסי למקבלי קצבה,13916,,,,,
מור פנסיה מקיפה - משולב סחיר,14339,,,,,
"מור פנסיה מקיפה - אשראי ואג""ח",13913,,,,,
מור פנסיה מקיפה - עוקב מדדים גמיש,14340,,,,,
"מור פנסיה מקיפה מתמחים באפיקי השקעה סחירים אג""ח סחיר",15264,,,,,
מור פנסיה מקיפה - כספי (שקלי),13914,,,,,
מור פנסיה מקיפה עוקבי מדדים עוקב מדדים - למקבלי קצבה,15267,,,,,
"מור פנסיה מקיפה עוקבי מדדים עוקב מדדי אג""ח",15265,,,,,
מיטב פנסיה כללית,660,,,,,
מיטב פנסיה כללית לבני 50 ומטה,2158,,,,,
מיטב פנסיה כללית עוקב מדד S;P500,13285,,,,,
מיטב פנסיה כללית לבני 50 עד 60,9972,,,,,
מיטב פנסיה כללית מניות,2109,,,,,
מיטב פנסיה כללית לבני 60 ומעלה,9973,,,,,
מיטב פנסיה כללית בסיסי למקבלי קצבה,12158,,,,,
מיטב פנסיה כללית עוקב מדדי מניות,15362,,,,,
מיטב פנסיה כללית משולב סחיר,14267,,,,,
מיטב פנסיה כללית מקבלי קצבה קיימים,2160,,,,,
מיטב פנסיה כללית מניות סחיר,15361,,,,,
מיטב פנסיה כללית עוקב מדדים גמיש,14268,,,,,
מיטב פנסיה כללית קיימות,14269,,,,,
"מיטב פנסיה כללית אשראי ואג""ח",2108,,,,,
מיטב פנסיה כללית הלכה,2159,,,,,
מיטב פנסיה כללית  עוקב מדדים למקבלי קצבה,15665,,,,,
מיטב פנסיה כללית הלכה למקבלי קצבה,13286,,,,,
מיטב פנסיה מקיפה,163,,,,,
מיטב פנסיה מקיפה לבני 50 ומטה,2155,,,,,
מיטב פנסיה מקיפה לבני 50 עד 60,9967,,,,,
מיטב פנסיה מקיפה עוקב מדד S;P500,13260,,,,,
מיטב פנסיה מקיפה לבני 60 ומעלה,9968,,,,,
מיטב פנסיה מקיפה בסיסי למקבלי קצבה,12157,,,,,
מיטב פנסיה מקיפה עוקב מדדי מניות,1589,,,,,
מיטב פנסיה מקיפה מניות,2105,,,,,
מיטב פנסיה מקיפה הלכה,2156,,,,,
מיטב פנסיה מקיפה משולב סחיר,14259,,,,,
מיטב פנסיה מקיפה מניות סחיר,15360,,,,,
מיטב פנסיה מקיפה מקבלי קצבה קיימים,2157,,,,,
"מיטב פנסיה מקיפה אשראי ואג""ח",2104,,,,,
מיטב פנסיה מקיפה עוקב מדדים גמיש,14260,,,,,
מיטב פנסיה מקיפה קיימות,14261,,,,,
מיטב פנסיה מקיפה הלכה למקבלי קצבה,12966,,,,,
מיטב פנסיה מקיפה עוקב מדדים למקבלי קצבה,15666,,,,,
"מיטב פנסיה מקיפה אג""ח סחיר",15359,,,,,
מיטב פנסיה מקיפה קצבה לזכאים קיימים,8645,,,,,
מנורה מבטחים משלימה,665,,,,,
מנורה מבטחים משלימה - יעד לפרישה 2040,1645,,,,,
מנורה מבטחים משלימה - יעד לפרישה 2045,1651,,,,,
מנורה מבטחים משלימה עוקב מדד S;P500,13875,,,,,
מנורה מבטחים משלימה - יעד לפרישה 2035,1638,,,,,
מנורה מבטחים משלימה - בסיסי למקבלי קצבה,12154,,,,,
מנורה מבטחים משלימה -יעד לפרישה 2050,1652,,,,,
מנורה מבטחים משלימה - יעד לפרישה 2030,1619,,,,,
מנורה מבטחים משלימה עוקב מדדי מניות,13352,,,,,
מנורה מבטחים משלימה מניות,14677,,,,,
מנורה מבטחים משלימה - יעד לפרישה 2025,1609,,,,,
מנורה מבטחים משלימה - יעד לפרישה 2055,1653,,,,,
מנורה מבטחים משלימה - יעד לפרישה 2060,1666,,,,,
מנורה מבטחים משלימה - מקבלי קצבה קיימים,2213,,,,,
מנורה מבטחים משלימה יעד לפרישה 2065,13307,,,,,
מנורה מבטחים משלימה עוקב מדדים גמיש,14309,,,,,
"מנורה מבטחים משלימה אשראי ואג""ח",13351,,,,,
מנורה מבטחים משלימה משולב סחיר,14308,,,,,
מנורה מבטחים משלימה עוקב מדדים למקבלי קצבה,15673,,,,,
מנורה מבטחים משלימה קיימות,14349,,,,,
מנורה מבטחים פנסיה,168,,,,,
מנורה מבטחים פנסיה - כללי,2009,,,,,
מנורה מבטחים פנסיה בסיסי למקבלי קצבה,12155,,,,,
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2040,2015,,,,,
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2045,2016,,,,,
מנורה מבטחים פנסיה עוקב מדד S;P500,13887,,,,,
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2050,2183,,,,,
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2035,2014,,,,,
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2055,2184,,,,,
מנורה מבטחים פנסיה - מסלול מניות,2063,,,,,
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2060,8812,,,,,
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2030,2013,,,,,
מנורה מבטחים פנסיה - מסלול יעד לפרישה 2025,2012,,,,,
מנורה מבטחים פנסיה עוקב מדדי מניות,13350,,,,,
מנורה מבטחים פנסיה מקבלי קצבה קיימים,2212,,,,,
מנורה מבטחים פנסיה יעד לפרישה 2065,13303,,,,,
מנורה מבטחים פנסיה - מסלול הלכה,2182,,,,,
"מנורה מבטחים פנסיה מסלול אג""ח ממשלות",15342,,,,,
מנורה מבטחים פנסיה עוקב מדדים גמיש,14278,,,,,
מנורה מבטחים פנסיה משולב סחיר,14277,,,,,
מנורה מבטחים פנסיה קצבה לזכאים קיימים,8561,,,,,
"מנורה מבטחים פנסיה אשראי ואג""ח",13349,,,,,
מנורה מבטחים פנסיה קיימות,14348,,,,,
מנורה מבטחים פנסיה עוקב מדדים למקבלי קצבה,15661,,,,,
הראל פנסיה ה.ע.ל,283,,,,,
