"החברה לניהול קרן השתלמות למשפטנים בע""מ",520028861
"החברה לניהול קרן השתלמות לביוכימאים  ומקרוביולוגים בע""מ",520029620
"החברה לניהול קרן השתלמות לשופטים בע""מ",520030743
"ק.ה.ר - קרן השתלמות לרוקחים בע""מ",520030198
"שובל - חברה לניהול קופת גמל מפעלית בע""מ",520042631
"ק.ל.ע. - חברה לניהול קרן השתלמות לעובדים סוציאליים בע""מ",520030941
"החברה לניהול קרן ההשתלמות לעובדי המדינה בע""מ",520032269
"רעות חברה לניהול קופות גמל בע""מ",510806870
"החברה המנהלת של רום קרן ההשתלמות לעובדי הרשויות המקומיות בע""מ",520031824
"יהב אחים ואחיות - חברה לניהול קופות גמל בע""מ",510927536
"יחד רופאים - חברה לניהול קופות גמל בע""מ",510930654
"יהב - פ.ר.ח. - חברה לניהול קופות גמל בע""מ",510930670
"החברה המנהלת של קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",520034968
"עגור חברה לניהול קופות גמל וקרנות השתלמות בע""מ",520024985
"החברה המנהלת של מינהל קרן ההשתלמות לפקידים עובדי המנהל והשירותים בע""מ",520030990
"מחר - חברה לניהול קופות גמל בע""מ",520042615
"הנדסאים וטכנאים - חברה לניהול קופות גמל בע""מ",520042607
"מבטחים מוסד לביטוח סוציאלי של העובדים בע""מ",520019688
"קופת תגמולים של עובדי התעשיה האוירית לישראל בע""מ",570014928
"חברת הגמל לעובדי האוניברסיטה העברית בע""מ",510960586
"עמ""י - חברה לניהול קופות גמל ענפיות בע""מ",520042581
"קופת""ג של עובדי עירית חיפה",570005959
"תגמולים של עובדים בעירית ת""א-יפו א.ש. בע""מ",570002618
"עתודות - קרן פנסיה לשכירים ועצמאיים בע""מ",511789190
"החברה לניהול קופת התגמולים והפנסיה של עובדי הסוכנות היהודית לארץ ישראל בע""מ",520022518
"עוצ""מ חברה לניהול קופות גמל והשתלמות בע""מ",520031659
"קרן ביטוח ופנסיה לפועלים חקלאים ובלתי מקצועיים בישראל אגודה שיתופית בע""מ",570007476
"קרן מקפת מרכז לפנסיה ותגמולים אגודה שיתופית בע""מ",570009852
"קרן ביטוח הדדי לחברי הסתדרות עובדי המדינה בישראל בע""מ",510800402
ארם גמולים - חברה לניהול קופות גמל בע''מ,510773922
"קו הבריאות חברה לניהול קופות גמל בע""מ",512008335
"חברת ב'ת למ'ד דל'ת בע""מ",510142789
"החברה לניהול קרן ההשתלמות להנדסאים וטכנאים בע""מ",520028556
"שיבולת - חברה לניהול קופות גמל בע""מ",520030693
"עו""ס - חברה לניהול קופות גמל בע""מ",520042573
"לעתיד חברה לניהול קרנות פנסיה בע""מ",511423048
"קופת תגמולים של עובדי אל על נתיבי אוויר לישראל בע""מ אגודה שיתופית",570011767
"מיטב גמל ופנסיה בע""מ",512065202
"גל -ניהול קופות גמל לעובדי הוראה בע""מ",512711409
"החברה לניהול קופות התגמולים והפיצויים של עובדי בנק לאומי בע""מ ",520005497
היהלום - א.ש. לבטוח הדדי של חברי בורסת היהלומים,570024109
"קרן הגמלאות של חברי אגד בע""מ",520020447
"גילעד גימלאות לעובדים דתיים בע""מ",520023094
"החברה המנהלת של קרן הגמלאות של חברי ""דן"" בע""מ",520028812
"קופת הפנסיה לעובדי הדסה בע""מ",520022963
"קרנות השתלמות למורים ולגננות - חברה מנהלת בע""מ",520027251
"קרנות השתלמות למורים תיכוניים, מורי סמינרים ומפקחים - חברה מנהלת בע""מ",520028390
"הפניקס פנסיה וגמל בע""מ ",513026484
"אלטשולר שחם גמל ופנסיה בע""מ",513173393
"חברה לניהול קופות גמל של העובדים בעיריית תל - אביב יפו בע""מ",513452003
"ילין לפידות ניהול קופות גמל בע""מ",513611509
"אינפיניטי השתלמות, גמל ופנסיה בע""מ",513621110
"כלל פנסיה וגמל בע""מ",512244146
"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",512237744
"הראל פנסיה וגמל בע""מ",512267592
"סלייס גמל בע""מ ",514767490
"מור גמל ופנסיה בע""מ",514956465
"מנורה מבטחים פנסיה וגמל בע""מ",512245812
"הפניקס חח""י קופה מרכזית לקצבה בע""מ",515447035
"גלובלנט ניהול קופות גמל בע""מ",516463635
"אקטיון בע""מ",515977338
