"שם גיליון
(רלוונטי לגיליונות עם עמודה ""מאפיין עיקרי"")",שם עמודה,אפשרות בחירה,הערות והסברים,Unnamed: 4
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",קפריסין,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",רומניה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",רוסיה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",שוודיה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",שוויץ,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",תורכיה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אסיה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אפריקה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אמריקה הצפונית,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אמריקה הדרומית,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אירופה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אוקיאניה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","גלובלי ללא ארה""ב",הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",גלובלי,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Emerging Markets - Americas,שווקים מתעוררים לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","Emerging Markets - Euope, Middle East & Africa",לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Emerging Markets - Asia,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Developed Markets - Americas,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Developed Markets - Europe,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Developed Markets - Pacific,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Frontier Markets - Euope,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Frontier Markets - Africa,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Frontier Markets - Middle East,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Frontier Markets - Asia,לפי הגדרת MSCI,נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא",סוג מספר מזהה מנפיק,ח.פ.,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",מספר מנפיק,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",מספר שותפות,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","מספר תאגיד או שותפות בחו""ל",הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",פנימי,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LEI,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אחר,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא",סוג מספר מזהה בנק,ח.פ.,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",סימול בנק,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",SWIFT,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא",סוג מספר מזהה מנהל קרן השקעות,ח.פ.,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",מספר שותפות,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","מספר תאגיד או שותפות בחו""ל",הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LEI,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא",סוג מספר מזהה לווה,ח.פ.,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",מרשם,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","מספר תאגיד או שותפות בחו""ל",הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",פנימי,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",מספר שותפות,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","ת""ז",הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",דרכון,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LEI,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אחר,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא",סוג מספר נייר ערך,ISIN,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",OCC,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",FIGI,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",טיקר,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",פנימי,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא",סוג מספר קרן השקעה,ISIN,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",פנימי,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אחר,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא",סטאטוס סחירות,סחיר,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",לא סחיר,"תא ללא תוכן, המשך בתא הבא",נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",חסום,"ני""ע אשר מכירתו מוגבלת לפי הוראות דין או חוזה לתקופה שנקבעה.",
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",השעיה,"ני""ע שהמסחר בו בזירת המסחר בה הור נסחר הופסק לפרק זמן ",
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",בהשאלה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",לא חסום בהשעיה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",לא חסום בהשאלה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",חסום בהשעיה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",חסום בהשאלה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",בשלבי רישום למסחר,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אחר,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא",בעל  עניין/צד קשור,כן,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",לא,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא",זירת מסחר,TASE,TASE - Tel Aviv Stock Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",TASE-UP,פלטפורמת TASE-UP,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",NYSE,NYSE - New York Stock Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",NASDAQ,NASDAQ - National Association of Securities Dealers Automated Quotations,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",JPX,JPX - Japan Exchange Group,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",AMEX,AMEX - American Stock Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ADX,ADX - Abu Dhabi Securities Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ASX,ASX -  Australian Securities Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",BOVESPA,BOVESPA -  Brazilian Stock Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",BSE,BSE - Bombay Stock Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",CBOE,CBOE - Chicago Board Options Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",CME,CME - Chicago Mercantile Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",EURONEXT,EURONEXT - Euronext Group Stock Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",EUREX,EUREX - Eurex Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",FWB,FWB - Frankfurt Stock Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",HKSE,HKSE - Hong Kong Stock Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ICE,ICE - Intercontinental Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ISE,ISE - Irish Stock Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",JSE,JSE - Johannesburg Stock Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",KRX,KRX - Korea Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LSE,LSE - London Stock Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",MICEX - RTS,MICEX- RTS - Moscow Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",NASDAQD,NASDAQD - NASDAQ Dubai,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",NSE,NSE - National Stock Exchange of India,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",SSE,SSE - Shanghai Stock Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",SZSE,SZSE - Shenzen Stock Market,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",SGX,SGX - Singapore Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",BME,BME - Spanish Exchanges,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",SIX,SIX - Swiss Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",TSEC,TSEC - Taiwan Stock Exchange Corporation,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",TSE,TSE - Tokyo Stock Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",TSX,TSX - Toronto Stock Exchange,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",FOREIGN_GOV_SEC,"זירת מסחר פיקטבית עבור הדיווח של אג""ח שהנפיקה ממשלה זרה",נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אחר,אחר,
"תא ללא תוכן, המשך בתא הבא",דירוג נייר הערך/הלוואה/המנפיק ,נייר ערך,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",הלוואה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",מנפיק,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",NR,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא",נחיתות חוזית,החוב נחות,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",החוב לא נחות,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא",שם מדרג,S&P מעלות,"סטנדרד & פורסס מעלות בע""מ (S&P)",
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",מידרוג Moodys,"מידרוג בע""מ (Moody's)",
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",פנימי,פנימי,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",AM Best,"A.M Best Company, Inc",
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",DBRS,DBRS Ratings Limited.,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Egan-Jones,Egan-Jones Ratings Co.,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Fitch,"Fitch Investors Service, L.P.",
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",HR Ratings,"HR Ratings de México, S.A. de C.V.",
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Japan Credit,Japan Credit Rating Agency Ltd.,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Kroll,"Kroll Bond Rating Agency, Inc",
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Moodys,Moody's Investor Service,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",S&P,Standard & Poor's Corporation,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אחר,אחר,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",NR,Not rated,
"תא ללא תוכן, המשך בתא הבא",ענף מסחר,"אג""ח מובנות",הגעת לשדה האחרון בשורה זו,
