מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס,מאפיין עיקרי,"מדינת מיקום נדל""ן",בעל עניין/צד קשור,תאריך רכישה,שימוש עיקרי בנכס,מחזור חיי הנכס,כתובת הנכס,שיעור תשואה בפועל במהלך הרבעון,השיטה שבאמצעותה נקבע שווי הנכס,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,מטבע פעילות,שווי הוגן (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
660,9973,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,12157,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,12158,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,12966,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,13286,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,13260,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,13285,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,14259,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,14260,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,14261,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,14267,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,14268,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,14269,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,15359,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,15360,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,15361,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,15362,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,15666,,,,,,,,,,,,,,,,,,,,,,
660,15665,,,,,,,,,,,,,,,,,,,,,,
